mos_into_deployment,pdf_resolution,statistic,plottype,value
0,179,mean,meas,0.28450805652849004
0,179,mean,ref,0.219193893129771
0,179,sd,meas,0.426282186382449
0,179,sd,ref,0.13882501898206542
0,179,kurtosis,meas,323.56337428120105
0,179,kurtosis,ref,15.922703229558833
0,179,skewness,meas,16.046419202457493
0,179,skewness,ref,3.0309949979000685
0,179,KL,NA,0.17503515992351815
0,179,hellinger,NA,0.2561846602187065
0,179,euclidean,NA,0.1451487806553426
1,28,mean,meas,0.2679012319502455
1,28,mean,ref,0.24082978723404255
1,28,sd,meas,0.20584927163783498
1,28,sd,ref,0.16449261508736046
1,28,kurtosis,meas,7.938411924908126
1,28,kurtosis,ref,11.147300511603476
1,28,skewness,meas,2.1521900547820425
1,28,skewness,ref,2.846279595316963
1,28,KL,NA,0.12849532329620725
1,28,hellinger,NA,0.19586059182948776
1,28,euclidean,NA,0.18561174896237478
2,26,mean,meas,0.2427736068606191
2,26,mean,ref,0.21698055555555557
2,26,sd,meas,0.16018872663084768
2,26,sd,ref,0.0974323753769575
2,26,kurtosis,meas,9.252657705139132
2,26,kurtosis,ref,28.982979777156498
2,26,skewness,meas,2.1805056050687024
2,26,skewness,ref,3.9950577987735274
2,26,KL,NA,0.19902052240622092
2,26,hellinger,NA,0.2520138657144384
2,26,euclidean,NA,0.21142275164442303
3,28,mean,meas,0.23714827573694014
3,28,mean,ref,0.2118211508553655
3,28,sd,meas,0.14131086795001901
3,28,sd,ref,0.08865815577944541
3,28,kurtosis,meas,14.983132627036188
3,28,kurtosis,ref,15.317667948878354
3,28,skewness,meas,2.738528975876263
3,28,skewness,ref,3.225565190205728
3,28,KL,NA,0.21796079736129378
3,28,hellinger,NA,0.2577722062380502
3,28,euclidean,NA,0.27527904056319474
4,27,mean,meas,0.20086687200818157
4,27,mean,ref,0.19625920245398773
4,27,sd,meas,0.11673719467039065
4,27,sd,ref,0.08110893468283534
4,27,kurtosis,meas,28.0052051447918
4,27,kurtosis,ref,16.223088159435623
4,27,skewness,meas,3.8993692243998486
4,27,skewness,ref,3.2181241131553575
4,27,KL,NA,0.19908100104698606
4,27,hellinger,NA,0.23373343798021956
4,27,euclidean,NA,0.3014778785833528
5,16,mean,meas,0.18847850318266807
5,16,mean,ref,0.1695
5,16,sd,meas,0.08137949208190916
5,16,sd,ref,0.041726570272030104
5,16,kurtosis,meas,13.238884808334245
5,16,kurtosis,ref,11.305276049550347
5,16,skewness,meas,2.496014877302498
5,16,skewness,ref,2.449596144716666
5,16,KL,NA,0.11684133432574231
5,16,hellinger,NA,0.20532378151218558
5,16,euclidean,NA,0.15951769347416933
6,13,mean,meas,0.19203805327072637
6,13,mean,ref,0.16910169491525423
6,13,sd,meas,0.0729709260073168
6,13,sd,ref,0.05000077337402036
6,13,kurtosis,meas,6.161294028504047
6,13,kurtosis,ref,7.181775047363933
6,13,skewness,meas,1.191331437991467
6,13,skewness,ref,1.7667905903145287
6,13,KL,NA,0.20397888811131012
6,13,hellinger,NA,0.2609402681442672
6,13,euclidean,NA,0.25358465939866165
7,16,mean,meas,0.28079576735433653
7,16,mean,ref,0.28144894894894895
7,16,sd,meas,0.14244356587562204
7,16,sd,ref,0.17399189664072862
7,16,kurtosis,meas,6.1330453984865825
7,16,kurtosis,ref,5.341715195454832
7,16,skewness,meas,1.845895494898839
7,16,skewness,ref,1.8315682116469905
7,16,KL,NA,0.06719040634616961
7,16,hellinger,NA,0.12276687945700046
7,16,euclidean,NA,0.09543915781562758
8,13,mean,meas,0.233767331759136
8,13,mean,ref,0.21545788667687596
8,13,sd,meas,0.0669148960903195
8,13,sd,ref,0.06311808598937865
8,13,kurtosis,meas,3.075863691331472
8,13,kurtosis,ref,8.116296602006795
8,13,skewness,meas,0.5894247934526804
8,13,skewness,ref,1.198733280709472
8,13,KL,NA,0.0695197023049024
8,13,hellinger,NA,0.12610144984890279
8,13,euclidean,NA,0.08920028249716816
9,13,mean,meas,0.2493453048132195
9,13,mean,ref,0.23784203102961918
9,13,sd,meas,0.07673413637610912
9,13,sd,ref,0.06132814751176677
9,13,kurtosis,meas,5.520208081805138
9,13,kurtosis,ref,8.398234868928565
9,13,skewness,meas,1.2514283173866996
9,13,skewness,ref,1.6243003011591053
9,13,KL,NA,0.06623723156267827
9,13,hellinger,NA,0.14367620835732245
9,13,euclidean,NA,0.10601034714098281
10,16,mean,meas,0.25507434666378354
10,16,mean,ref,0.24044918032786886
10,16,sd,meas,0.09699303343247247
10,16,sd,ref,0.08407142678867
10,16,kurtosis,meas,8.457481924416193
10,16,kurtosis,ref,7.321716282502388
10,16,skewness,meas,1.9873134816007252
10,16,skewness,ref,1.7450975472752503
10,16,KL,NA,0.04085703209261601
10,16,hellinger,NA,0.11300188488254356
10,16,euclidean,NA,0.102038633651781
11,20,mean,meas,0.2838336756798802
11,20,mean,ref,0.2434632768361582
11,20,sd,meas,0.15851180633985815
11,20,sd,ref,0.1061634274656562
11,20,kurtosis,meas,6.632397059574149
11,20,kurtosis,ref,8.300731882645612
11,20,skewness,meas,1.8788835216900441
11,20,skewness,ref,2.099776871207989
11,20,KL,NA,0.11013167052536468
11,20,hellinger,NA,0.18403530295523898
11,20,euclidean,NA,0.14550767316698537
12,22,mean,meas,0.2983502841378428
12,22,mean,ref,0.24844283646888568
12,22,sd,meas,0.20056354470733173
12,22,sd,ref,0.1184485731497773
12,22,kurtosis,meas,6.110351056180001
12,22,kurtosis,ref,10.055685069553238
12,22,skewness,meas,1.8752589831474236
12,22,skewness,ref,2.485502053436394
12,22,KL,NA,0.14317648976783395
12,22,hellinger,NA,0.20919372085222623
12,22,euclidean,NA,0.17159386219347436
13,23,mean,meas,0.3010085229411855
13,23,mean,ref,0.29304634831460674
13,23,sd,meas,0.1869241409986517
13,23,sd,ref,0.181770297042138
13,23,kurtosis,meas,4.2276860119173145
13,23,kurtosis,ref,8.395565752026279
13,23,skewness,meas,1.3599092381709659
13,23,skewness,ref,2.232309549927725
13,23,KL,NA,0.1784470489145966
13,23,hellinger,NA,0.19773308768665576
13,23,euclidean,NA,0.16838370382023113
14,23,mean,meas,0.2309477656200081
14,23,mean,ref,0.22807552447552448
14,23,sd,meas,0.13853038581989785
14,23,sd,ref,0.0980725444757177
14,23,kurtosis,meas,12.60420749495961
14,23,kurtosis,ref,27.644921006763234
14,23,skewness,meas,2.6819932063253713
14,23,skewness,ref,4.131905807811813
14,23,KL,NA,0.27695107025375537
14,23,hellinger,NA,0.30901120083820055
14,23,euclidean,NA,0.2794400807426392
15,23,mean,meas,0.23596160944444983
15,23,mean,ref,0.23953191489361703
15,23,sd,meas,0.14333831661680357
15,23,sd,ref,0.13182373632172328
15,23,kurtosis,meas,9.603466469348348
15,23,kurtosis,ref,15.556464090275627
15,23,skewness,meas,2.208444814532597
15,23,skewness,ref,3.2443968735610285
15,23,KL,NA,0.3749694811001067
15,23,hellinger,NA,0.33224251251910486
15,23,euclidean,NA,0.3353886509872252
16,16,mean,meas,0.18586717735960157
16,16,mean,ref,0.19582477341389729
16,16,sd,meas,0.09362385447008764
16,16,sd,ref,0.07609661898966413
16,16,kurtosis,meas,10.046638606659375
16,16,kurtosis,ref,23.108311574157092
16,16,skewness,meas,2.2509984254208937
16,16,skewness,ref,3.804993633307223
16,16,KL,NA,0.4307033269713337
16,16,hellinger,NA,0.3421626191817433
16,16,euclidean,NA,0.4748634101592512
17,16,mean,meas,0.17617172357971625
17,16,mean,ref,0.19813513513513514
17,16,sd,meas,0.07263326876643414
17,16,sd,ref,0.0830557572547562
17,16,kurtosis,meas,14.945951257226291
17,16,kurtosis,ref,14.652147428749979
17,16,skewness,meas,2.702948687890593
17,16,skewness,ref,3.0875896639376
17,16,KL,NA,0.41871305176625234
17,16,hellinger,NA,0.3222718117413108
17,16,euclidean,NA,0.4589150266120068
18,0,mean,meas,0.18231976018242047
18,0,mean,ref,NA
18,0,sd,meas,0.0594159498498086
18,0,sd,ref,NA
18,0,kurtosis,meas,5.221768134534639
18,0,kurtosis,ref,NA
18,0,skewness,meas,1.2226872067020043
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,0.17571870049840413
19,0,mean,ref,NA
19,0,sd,meas,0.05122430448320376
19,0,sd,ref,NA
19,0,kurtosis,meas,4.823944091968696
19,0,kurtosis,ref,NA
19,0,skewness,meas,1.0077500296304798
19,0,skewness,ref,NA
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,NA
20,0,mean,ref,NA
20,0,sd,meas,NA
20,0,sd,ref,NA
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,NA
20,0,skewness,meas,NA
20,0,skewness,ref,NA
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,0.2359901843794162
21,0,mean,ref,NA
21,0,sd,meas,0.07297916398879063
21,0,sd,ref,NA
21,0,kurtosis,meas,3.473811448416795
21,0,kurtosis,ref,NA
21,0,skewness,meas,0.6530643844209152
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,0.21682080254067337
22,0,mean,ref,NA
22,0,sd,meas,0.0730945908164689
22,0,sd,ref,NA
22,0,kurtosis,meas,4.122431388431925
22,0,kurtosis,ref,NA
22,0,skewness,meas,1.0335946508400862
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.2425198578992621
23,0,mean,ref,NA
23,0,sd,meas,0.13599902371889494
23,0,sd,ref,NA
23,0,kurtosis,meas,14.114914827624924
23,0,kurtosis,ref,NA
23,0,skewness,meas,2.451361474096817
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,0.2190905051810383
24,0,mean,ref,NA
24,0,sd,meas,0.14268542178999716
24,0,sd,ref,NA
24,0,kurtosis,meas,7.714508624573825
24,0,kurtosis,ref,NA
24,0,skewness,meas,2.041514755424194
24,0,skewness,ref,NA
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,0.24600542224014355
25,0,mean,ref,NA
25,0,sd,meas,0.18170427020650934
25,0,sd,ref,NA
25,0,kurtosis,meas,6.853159468205071
25,0,kurtosis,ref,NA
25,0,skewness,meas,1.9372287210278993
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,0.22775002099059852
26,0,mean,ref,NA
26,0,sd,meas,0.170031481059378
26,0,sd,ref,NA
26,0,kurtosis,meas,6.470811721479776
26,0,kurtosis,ref,NA
26,0,skewness,meas,1.768139850998438
26,0,skewness,ref,NA
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,0.186355129675321
27,0,mean,ref,NA
27,0,sd,meas,0.112617545116732
27,0,sd,ref,NA
27,0,kurtosis,meas,13.093584586832272
27,0,kurtosis,ref,NA
27,0,skewness,meas,2.40431512300237
27,0,skewness,ref,NA
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,0,mean,meas,0.18672512526374896
28,0,mean,ref,NA
28,0,sd,meas,0.10294138564969893
28,0,sd,ref,NA
28,0,kurtosis,meas,11.867577849127768
28,0,kurtosis,ref,NA
28,0,skewness,meas,2.547575898978851
28,0,skewness,ref,NA
28,0,KL,NA,NA
28,0,hellinger,NA,NA
28,0,euclidean,NA,NA
29,0,mean,meas,0.17511279439832728
29,0,mean,ref,NA
