mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,1,0,0,0,NA,NA
1,1,0,0,0,NA,NA
2,1,0,0,0,NA,NA
3,1,0,0,0,NA,NA
4,1,0,0,0,NA,NA
5,1,0,0,0,NA,NA
6,1,0,0,0,NA,NA
7,1,0,0,0,NA,NA
8,1,0,0,0,NA,NA
9,1,0,0,0,NA,NA
10,1,0,0,0,NA,NA
11,1,0,0,0,NA,NA
12,2.064797065297601e-6,0.4632124333397442,-0.008060712538852518,0.022424821445747894,229.69616776872397,-12.243346565102062
13,0.0021030912185216904,0.2860614770531891,0.03310729099093998,0.024113345552303357,4.335807956040098,-0.45144618618162413
14,0.04366382741419724,0.18886267700118764,-0.011825841240611009,0.0011189831640409376,8.11903390599961,-0.44257979802982855
15,0.08079328010846741,0.17049498266493132,0.0032329419775482134,0.008430829715977098,11.396472992932052,-0.6856064771052768
16,4.494125930438087e-6,0.1501386511459907,-0.014999694648579998,-0.006093522336284712,15.87736182952515,-1.7245962600913851
17,0.007603350362111577,0.10492488142510294,-0.012279985419875565,-0.007332249881757499,8.449356097631753,-0.6545054652771612
18,0.11040010077714903,0.07784770578097913,-0.009718293088305905,-0.003120640119863141,4.3762896782547,-0.4881120781953876
19,0.007059417233349087,0.1822431014633601,-0.10405341029843097,-0.05914628601175152,6.357819677565693,-1.8789486792182104
20,NA,NA,NA,NA,NA,NA
21,0.16008712100660683,0.08380730160096474,-0.013914096413152704,-0.0181232809562855,3.5920540989325396,0.04836131798895802
22,0.07897101656210588,0.11051788901968768,-0.03825354412311017,-0.029485164971842948,6.2753623195090205,-1.0017136702581548
23,0.004724751241954172,0.20637210292630498,-0.04155015763872565,-0.033163201873094156,7.257985212570074,0.014553549979705826
24,7.443062682285719e-4,0.4595934807127813,-0.05730222609039026,-0.019330887245242505,253.51656142321147,-13.287280677652427
25,8.550415223424409e-4,0.27126361764270424,-0.021895809710101962,0.013725944598909308,5.402668726792474,-0.8103622967956257
26,0.030441630307548078,0.21267782127193158,-0.015023585870020591,-0.019251124760044917,4.986369115403027,0.08119706013029289
27,0.02203738476163222,0.17637416915311357,-0.05335345599296183,-0.0417344605422072,9.660963263310308,-0.7191994764274435
28,0.00418047814949338,0.1513541714122323,-0.012585402236615884,-0.0116771462356427,14.80074360373836,-1.3863913212072698
29,0.0179498368810275,0.09864258140547019,-0.013359001878833111,-0.008566411071952301,7.787304417685853,-0.8782512401397268
30,0.12463646884832201,0.07780223305554813,-0.005181891418795614,-0.005177508006970803,3.9070769499093045,0.010115547460644051
31,0.19692214681370634,0.07779091350893312,-0.018833730993825366,-0.016550860241895005,3.1691468239642746,0.05498935267927098
