mos_into_deployment,pdf_resolution,statistic,plottype,value
0,179,mean,meas,0.26687597162153803
0,179,mean,ref,0.26687597162153803
0,179,sd,meas,0.4431323732568173
0,179,sd,ref,0.4431323732568173
0,179,kurtosis,meas,316.3275291911948
0,179,kurtosis,ref,316.3275291911948
0,179,skewness,meas,16.25472901130308
0,179,skewness,ref,16.25472901130308
0,179,KL,NA,0
0,179,hellinger,NA,0
0,179,euclidean,NA,0
1,28,mean,meas,0.24439459687443588
1,28,mean,ref,0.24439459687443588
1,28,sd,meas,0.19044451678667104
1,28,sd,ref,0.19044451678667104
1,28,kurtosis,meas,11.095521653057865
1,28,kurtosis,ref,11.095521653057865
1,28,skewness,meas,2.628827551532039
1,28,skewness,ref,2.628827551532039
1,28,KL,NA,0
1,28,hellinger,NA,0
1,28,euclidean,NA,0
2,24,mean,meas,0.22594677653638984
2,24,mean,ref,0.22594677653638984
2,24,sd,meas,0.13917327398620652
2,24,sd,ref,0.13917327398620652
2,24,kurtosis,meas,10.716526695400248
2,24,kurtosis,ref,10.716526695400248
2,24,skewness,meas,2.291393004066432
2,24,skewness,ref,2.291393004066432
2,24,KL,NA,0
2,24,hellinger,NA,0
2,24,euclidean,NA,0
3,28,mean,meas,0.2303077966145701
3,28,mean,ref,0.2303077966145701
3,28,sd,meas,0.1417956409265005
3,28,sd,ref,0.1417956409265005
3,28,kurtosis,meas,15.79937078381023
3,28,kurtosis,ref,15.79937078381023
3,28,skewness,meas,2.833152556005038
3,28,skewness,ref,2.833152556005038
3,28,KL,NA,0
3,28,hellinger,NA,0
3,28,euclidean,NA,0
4,26,mean,meas,0.19780524632204682
4,26,mean,ref,0.19780524632204682
4,26,sd,meas,0.11690435293261131
4,26,sd,ref,0.11690435293261131
4,26,kurtosis,meas,29.171056298647507
4,26,kurtosis,ref,29.171056298647507
4,26,skewness,meas,3.963721156740208
4,26,skewness,ref,3.963721156740208
4,26,KL,NA,0
4,26,hellinger,NA,0
4,26,euclidean,NA,0
5,15,mean,meas,0.18990618056898098
5,15,mean,ref,0.18990618056898098
5,15,sd,meas,0.08372478733767084
5,15,sd,ref,0.08372478733767084
5,15,kurtosis,meas,14.171306973060302
5,15,kurtosis,ref,14.171306973060302
5,15,skewness,meas,2.7454217333252355
5,15,skewness,ref,2.7454217333252355
5,15,KL,NA,0
5,15,hellinger,NA,0
5,15,euclidean,NA,0
6,13,mean,meas,0.2011042587855916
6,13,mean,ref,0.2011042587855916
6,13,sd,meas,0.07672152386200584
6,13,sd,ref,0.07672152386200584
6,13,kurtosis,meas,6.248925325752898
6,13,kurtosis,ref,6.248925325752898
6,13,skewness,meas,1.2859379003267686
6,13,skewness,ref,1.2859379003267686
6,13,KL,NA,0
6,13,hellinger,NA,0
6,13,euclidean,NA,0
7,15,mean,meas,0.2927604773571251
7,15,mean,ref,0.2927604773571251
7,15,sd,meas,0.14450969653700174
7,15,sd,ref,0.14450969653700174
7,15,kurtosis,meas,6.259065508729144
7,15,kurtosis,ref,6.259065508729144
7,15,skewness,meas,1.952001051403789
7,15,skewness,ref,1.952001051403789
7,15,KL,NA,0
7,15,hellinger,NA,0
7,15,euclidean,NA,0
8,8,mean,meas,0.2606757357935673
8,8,mean,ref,0.2606757357935673
8,8,sd,meas,0.06459887387304071
8,8,sd,ref,0.06459887387304071
8,8,kurtosis,meas,3.013318190991728
8,8,kurtosis,ref,3.013318190991728
8,8,skewness,meas,0.4780477501232695
8,8,skewness,ref,0.4780477501232695
8,8,KL,NA,0
8,8,hellinger,NA,0
8,8,euclidean,NA,0
9,12,mean,meas,0.26979824967217997
9,12,mean,ref,0.26979824967217997
9,12,sd,meas,0.07685511051232927
9,12,sd,ref,0.07685511051232927
9,12,kurtosis,meas,6.019828515149056
9,12,kurtosis,ref,6.019828515149056
9,12,skewness,meas,1.4726000913060833
9,12,skewness,ref,1.4726000913060833
9,12,KL,NA,0
9,12,hellinger,NA,0
9,12,euclidean,NA,0
10,15,mean,meas,0.26847675162336254
10,15,mean,ref,0.26847675162336254
10,15,sd,meas,0.0915512896432042
10,15,sd,ref,0.0915512896432042
10,15,kurtosis,meas,11.760670984626838
10,15,kurtosis,ref,11.760670984626838
10,15,skewness,meas,2.541822310399408
10,15,skewness,ref,2.541822310399408
10,15,KL,NA,0
10,15,hellinger,NA,0
10,15,euclidean,NA,0
11,20,mean,meas,0.2854634967074515
11,20,mean,ref,0.2854634967074515
11,20,sd,meas,0.16222440996444357
11,20,sd,ref,0.16222440996444357
11,20,kurtosis,meas,6.525323221367641
11,20,kurtosis,ref,6.525323221367641
11,20,skewness,meas,1.8878799635337393
11,20,skewness,ref,1.8878799635337393
11,20,KL,NA,0
11,20,hellinger,NA,0
11,20,euclidean,NA,0
12,179,mean,meas,0.2937142785012062
12,179,mean,ref,0.26687597162153803
12,179,sd,meas,0.19634827933720866
12,179,sd,ref,0.4431323732568173
12,179,kurtosis,meas,6.517385281672079
12,179,kurtosis,ref,316.3275291911948
12,179,skewness,meas,1.9473588899934031
12,179,skewness,ref,16.25472901130308
12,179,KL,NA,0.999030388511464
12,179,hellinger,NA,0.2849166783382256
12,179,euclidean,NA,0.1741043239011374
13,28,mean,meas,0.3085829593365216
13,28,mean,ref,0.24439459687443588
13,28,sd,meas,0.19005464021073676
13,28,sd,ref,0.19044451678667104
13,28,kurtosis,meas,4.075388614450978
13,28,kurtosis,ref,11.095521653057865
13,28,skewness,meas,1.3185553657360665
13,28,skewness,ref,2.628827551532039
13,28,KL,NA,0.22981013964120475
13,28,hellinger,NA,0.22171368172175726
13,28,euclidean,NA,0.21510626789304213
14,24,mean,meas,0.2338255487417175
14,24,mean,ref,0.22594677653638984
14,24,sd,meas,0.14085993270937153
14,24,sd,ref,0.13917327398620652
14,24,kurtosis,meas,12.135485942918677
14,24,kurtosis,ref,10.716526695400248
14,24,skewness,meas,2.619569348705713
14,24,skewness,ref,2.291393004066432
14,24,KL,NA,0.25037712686310787
14,24,hellinger,NA,0.15319119590118843
14,24,euclidean,NA,0.06657382567272738
15,28,mean,meas,0.2393227407509816
15,28,mean,ref,0.2303077966145701
15,28,sd,meas,0.14493874599778675
15,28,sd,ref,0.1417956409265005
15,28,kurtosis,meas,9.371395311746953
15,28,kurtosis,ref,15.79937078381023
15,28,skewness,meas,2.168629534145946
15,28,skewness,ref,2.833152556005038
15,28,KL,NA,0.08277005429074777
15,28,hellinger,NA,0.1263965568147189
15,28,euclidean,NA,0.055368701349216634
16,26,mean,meas,0.186495797949144
16,26,mean,ref,0.19780524632204682
16,26,sd,meas,0.09454055057886032
16,26,sd,ref,0.11690435293261131
16,26,kurtosis,meas,9.841902382401988
16,26,kurtosis,ref,29.171056298647507
16,26,skewness,meas,2.22270560102731
16,26,skewness,ref,3.963721156740208
16,26,KL,NA,0.11979400139930665
16,26,hellinger,NA,0.11563879893207049
16,26,euclidean,NA,0.06752875023909337
17,16,mean,meas,0.17754032897018188
17,16,mean,ref,0.18990618056898098
17,16,sd,meas,0.07387122284507268
17,16,sd,ref,0.08372478733767084
17,16,kurtosis,meas,14.511588040595896
17,16,kurtosis,ref,14.171306973060302
17,16,skewness,meas,2.6684269735305173
17,16,skewness,ref,2.7454217333252355
17,16,KL,NA,0.11028710843504085
17,16,hellinger,NA,0.1299897585249768
17,16,euclidean,NA,0.1521856822432541
18,13,mean,meas,0.19134030300132301
