mos_into_deployment,pdf_resolution,statistic,plottype,value
0,37,mean,meas,0.29657413914119996
0,37,mean,ref,0.4411132075471698
0,37,sd,meas,0.21134116202429531
0,37,sd,ref,0.27046575130788686
0,37,kurtosis,meas,8.257949715073401
0,37,kurtosis,ref,9.684010664334343
0,37,skewness,meas,2.172865761920857
0,37,skewness,ref,2.2508525437077496
0,37,KL,NA,0.6111234447669394
0,37,hellinger,NA,0.35985823300249953
0,37,euclidean,NA,0.2786704621105672
1,35,mean,meas,0.27147628461204054
1,35,mean,ref,0.41377405857740585
1,35,sd,meas,0.17299696670685458
1,35,sd,ref,0.20189551959982321
1,35,kurtosis,meas,10.001613737427256
1,35,kurtosis,ref,10.42429762465217
1,35,skewness,meas,2.34975567485591
1,35,skewness,ref,2.1522916743770937
1,35,KL,NA,0.7033914435240348
1,35,hellinger,NA,0.40925668576240426
1,35,euclidean,NA,0.2999134371608855
2,28,mean,meas,0.19790861720637973
2,28,mean,ref,0.32234015748031497
2,28,sd,meas,0.09211325256724719
2,28,sd,ref,0.12917298531667468
2,28,kurtosis,meas,53.389293016460805
2,28,kurtosis,ref,4.43768061769905
2,28,skewness,meas,4.956143839180307
2,28,skewness,ref,1.0336740558963562
2,28,KL,NA,1.2769412129355744
2,28,hellinger,NA,0.45816517241401267
2,28,euclidean,NA,0.3732713865175102
3,23,mean,meas,0.23130992644717868
3,23,mean,ref,0.3563609831029186
3,23,sd,meas,0.1322828133206262
3,23,sd,ref,0.17074245188394044
3,23,kurtosis,meas,7.99938677863141
3,23,kurtosis,ref,7.171663350224508
3,23,skewness,meas,2.120314753390404
3,23,skewness,ref,1.7421578885044746
3,23,KL,NA,0.8294300030433165
3,23,hellinger,NA,0.4469916292235267
3,23,euclidean,NA,0.3347389984184102
4,42,mean,meas,0.2141537127777776
4,42,mean,ref,0.3032274096385542
4,42,sd,meas,0.13857423984532985
4,42,sd,ref,0.1306869231679126
4,42,kurtosis,meas,93.84867900276127
4,42,kurtosis,ref,4.336754891153834
4,42,skewness,meas,7.354099599154338
4,42,skewness,ref,1.1152571280059898
4,42,KL,NA,0.5680083577331445
4,42,hellinger,NA,0.3629310040556777
4,42,euclidean,NA,0.2429931699600171
5,21,mean,meas,0.22813376042768616
5,21,mean,ref,0.3463275316455696
5,21,sd,meas,0.09687521354413015
5,21,sd,ref,0.15810121936311433
5,21,kurtosis,meas,9.19537121095301
5,21,kurtosis,ref,4.314779558620557
5,21,skewness,meas,1.6657697393518807
5,21,skewness,ref,1.1753819596715178
5,21,KL,NA,0.7821268880777277
5,21,hellinger,NA,0.36241835455129434
5,21,euclidean,NA,0.21729413231293088
6,54,mean,meas,0.2863450575640159
6,54,mean,ref,0.5289011532125206
6,54,sd,meas,0.15097447631668387
6,54,sd,ref,0.30542255009671243
6,54,kurtosis,meas,6.434571304374943
6,54,kurtosis,ref,7.598142540402576
6,54,skewness,meas,1.9106152705127049
6,54,skewness,ref,1.4244218626780074
6,54,KL,NA,1.3834224926951766
6,54,hellinger,NA,0.4254403587933797
6,54,euclidean,NA,0.2658473836147469
7,26,mean,meas,0.256923798339158
7,26,mean,ref,0.5938491704374057
7,26,sd,meas,0.08267525349293114
7,26,sd,ref,0.18265771613708667
