mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.19808265920010462,0.19808265920010462
1,1,0,0,0,0.177575633254594,0.177575633254594
2,1,0,0,0,0.09159204061910098,0.09159204061910098
3,1,0,0,0,0.1319390023511067,0.1319390023511067
4,1,0,0,0,0.15074709308074483,0.15074709308074483
5,1,0,0,0,0.0890178696871475,0.0890178696871475
6,1,0,0,0,0.15933489678014193,0.15933489678014193
7,1,0,0,0,0.075053535257058,0.075053535257058
8,1,0,0,0,0.08439731691379897,0.08439731691379897
9,1,0,0,0,0.10817967808730282,0.10817967808730282
10,1,0,0,0,0.16425999087846513,0.16425999087846513
11,1,0,0,0,0.18298654290095542,0.18298654290095542
12,2.4340888115836703e-4,0.26970446009430216,-0.008853074292515244,0.0241027492527056,0.1832195037597859,0.19808265920010462
13,0.014749231818139238,0.21034959155921076,-0.029200976891150424,-3.5593490487574597e-4,0.15326249276877532,0.177575633254594
14,0.04955565226860463,0.14209662399920492,0.03465372081437773,0.017847400028886018,0.12014679033903268,0.09159204061910098
15,2.938709585226228e-5,0.15692368060923426,-0.03802631172598604,-0.010375125077045438,0.09440314457145783,0.1319390023511067
16,0.0017054371940052728,0.1890175593035512,-0.01544684225722492,-0.003494612224555188,0.07537196571707792,0.15074709308074483
17,0.0999745848939416,0.09781670027880297,-0.010580443777325988,-0.002531045708163704,0.06924958220458012,0.0890178696871475
18,0.18312773402953086,0.09541994942672063,-0.04664281245474692,-0.022137269915668056,0.04423348065313956,0.15933489678014193
19,NA,NA,NA,NA,0.10348285723184773,0.075053535257058
20,0.24551506195394474,0.08780659350032786,-0.017371739062705383,-0.00980130640333604,0.08558177151033676,0.08439731691379897
21,0.03179081443182403,0.14032762037511415,-0.03850195987913349,-0.03631324722592408,0.09255693033647894,0.10817967808730282
22,1.6732913890156095e-5,0.2281442988644272,-0.04457951842413418,-0.03344873614121474,0.15879860538631868,0.16425999087846513
23,0.098936520596338,0.2127838161594506,-0.029297667172539062,-0.0267386104830796,0.1708338437801991,0.18298654290095542
24,0.0014392203303413974,0.27070199129978284,-0.042110247142582775,-0.02359743698260014,0.1721384133594317,0.19808265920010462
25,0.006397113636026602,0.2153189757375728,-0.04978128530775036,-0.03144823598930112,0.1405635733477679,0.177575633254594
26,0.010109452730391216,0.1343736375520794,-0.03186769747550681,-0.034264381064144894,0.0906392765593137,0.09159204061910098
27,NA,NA,NA,NA,0.04871767185423006,0.1319390023511067
28,0.008362362604125241,0.19534171479990442,0.004899245213926424,0.029055206040755496,0.08630918232611615,0.15074709308074483
29,0.16639501698579523,0.0913508953917083,0.0032700254406550166,-0.005906523204403075,0.07638070034244727,0.0890178696871475
30,0.8016635540827979,0.17436506388875656,-0.11262127591732389,-0.021234019580318397,0.030040628001492497,0.14474116355442032
