mos_into_deployment,pdf_resolution,statistic,plottype,value
0,28,mean,meas,0.29228833421180833
0,28,mean,ref,0.29228833421180833
0,28,sd,meas,0.19808265920010462
0,28,sd,ref,0.19808265920010462
0,28,kurtosis,meas,8.278743327720115
0,28,kurtosis,ref,8.278743327720115
0,28,skewness,meas,2.1306078767864207
0,28,skewness,ref,2.1306078767864207
0,28,KL,NA,0
0,28,hellinger,NA,0
0,28,euclidean,NA,0
1,26,mean,meas,0.275019630789228
1,26,mean,ref,0.275019630789228
1,26,sd,meas,0.177575633254594
1,26,sd,ref,0.177575633254594
1,26,kurtosis,meas,9.450302527602892
1,26,kurtosis,ref,9.450302527602892
1,26,skewness,meas,2.2729876306433514
1,26,skewness,ref,2.2729876306433514
1,26,KL,NA,0
1,26,hellinger,NA,0
1,26,euclidean,NA,0
2,28,mean,meas,0.19754702139261604
2,28,mean,ref,0.19754702139261604
2,28,sd,meas,0.09159204061910098
2,28,sd,ref,0.09159204061910098
2,28,kurtosis,meas,58.045633840123635
2,28,kurtosis,ref,58.045633840123635
2,28,skewness,meas,5.188989920234631
2,28,skewness,ref,5.188989920234631
2,28,KL,NA,0
2,28,hellinger,NA,0
2,28,euclidean,NA,0
3,16,mean,meas,0.22995804408311132
3,16,mean,ref,0.22995804408311132
3,16,sd,meas,0.1319390023511067
3,16,sd,ref,0.1319390023511067
3,16,kurtosis,meas,7.953246086691262
3,16,kurtosis,ref,7.953246086691262
3,16,skewness,meas,2.106775363050908
3,16,skewness,ref,2.106775363050908
3,16,KL,NA,0
3,16,hellinger,NA,0
3,16,euclidean,NA,0
4,42,mean,meas,0.23198783260189187
4,42,mean,ref,0.23198783260189187
4,42,sd,meas,0.15074709308074483
4,42,sd,ref,0.15074709308074483
4,42,kurtosis,meas,95.65494425397264
4,42,kurtosis,ref,95.65494425397264
4,42,skewness,meas,7.916516238551299
4,42,skewness,ref,7.916516238551299
4,42,KL,NA,0
4,42,hellinger,NA,0
4,42,euclidean,NA,0
5,16,mean,meas,0.2295225202361446
5,16,mean,ref,0.2295225202361446
5,16,sd,meas,0.0890178696871475
5,16,sd,ref,0.0890178696871475
5,16,kurtosis,meas,6.140283330314162
5,16,kurtosis,ref,6.140283330314162
5,16,skewness,meas,0.9809986709098136
5,16,skewness,ref,0.9809986709098136
5,16,KL,NA,0
5,16,hellinger,NA,0
5,16,euclidean,NA,0
6,15,mean,meas,0.3096200967915912
6,15,mean,ref,0.3096200967915912
6,15,sd,meas,0.15933489678014193
6,15,sd,ref,0.15933489678014193
6,15,kurtosis,meas,5.75957580159132
6,15,kurtosis,ref,5.75957580159132
6,15,skewness,meas,1.8587730627368353
6,15,skewness,ref,1.8587730627368353
6,15,KL,NA,0
6,15,hellinger,NA,0
6,15,euclidean,NA,0
7,11,mean,meas,0.2970346746100361
7,11,mean,ref,0.2970346746100361
7,11,sd,meas,0.075053535257058
7,11,sd,ref,0.075053535257058
7,11,kurtosis,meas,3.889068471908778
7,11,kurtosis,ref,3.889068471908778
7,11,skewness,meas,0.5610841046644394
7,11,skewness,ref,0.5610841046644394
7,11,KL,NA,0
7,11,hellinger,NA,0
7,11,euclidean,NA,0
8,13,mean,meas,0.29692186368572027
8,13,mean,ref,0.29692186368572027
8,13,sd,meas,0.08439731691379897
8,13,sd,ref,0.08439731691379897
8,13,kurtosis,meas,6.317177862293526
8,13,kurtosis,ref,6.317177862293526
8,13,skewness,meas,1.35570806919266
8,13,skewness,ref,1.35570806919266
8,13,KL,NA,0
8,13,hellinger,NA,0
8,13,euclidean,NA,0
9,15,mean,meas,0.28087852527203006
9,15,mean,ref,0.28087852527203006
9,15,sd,meas,0.10817967808730282
9,15,sd,ref,0.10817967808730282
9,15,kurtosis,meas,9.921935952286544
9,15,kurtosis,ref,9.921935952286544
9,15,skewness,meas,2.294534993643167
9,15,skewness,ref,2.294534993643167
9,15,KL,NA,0
9,15,hellinger,NA,0
9,15,euclidean,NA,0
10,28,mean,meas,0.2811090621045033
10,28,mean,ref,0.2811090621045033
10,28,sd,meas,0.16425999087846513
10,28,sd,ref,0.16425999087846513
10,28,kurtosis,meas,15.030960415730197
10,28,kurtosis,ref,15.030960415730197
10,28,skewness,meas,2.911930578488091
10,28,skewness,ref,2.911930578488091
10,28,KL,NA,0
10,28,hellinger,NA,0
10,28,euclidean,NA,0
11,27,mean,meas,0.2696805316718073
11,27,mean,ref,0.2696805316718073
11,27,sd,meas,0.18298654290095542
11,27,sd,ref,0.18298654290095542
11,27,kurtosis,meas,12.947038771469154
11,27,kurtosis,ref,12.947038771469154
11,27,skewness,meas,2.8938284588339105
11,27,skewness,ref,2.8938284588339105
11,27,KL,NA,0
11,27,hellinger,NA,0
11,27,euclidean,NA,0
12,28,mean,meas,0.2837132110094495
12,28,mean,ref,0.29228833421180833
12,28,sd,meas,0.1832195037597859
12,28,sd,ref,0.19808265920010462
12,28,kurtosis,meas,11.096956692101571
12,28,kurtosis,ref,8.278743327720115
12,28,skewness,meas,2.5709860650963603
12,28,skewness,ref,2.1306078767864207
12,28,KL,NA,0.15674045430027067
12,28,hellinger,NA,0.1741430252903474
12,28,euclidean,NA,0.10464610519462501
13,44,mean,meas,0.24402105656111922
13,44,mean,ref,0.275019630789228
13,44,sd,meas,0.15326249276877532
13,44,sd,ref,0.177575633254594
13,44,kurtosis,meas,58.586848694164196
13,44,kurtosis,ref,9.450302527602892
13,44,skewness,meas,5.874902880924056
13,44,skewness,ref,2.2729876306433514
13,44,KL,NA,0.4357108193128335
