mos_into_deployment,pdf_resolution,statistic,plottype,value
0,32,mean,meas,0.2200481581144152
0,32,mean,ref,0.22074085365853657
0,32,sd,meas,0.16462094011155404
0,32,sd,ref,0.13757247608354917
0,32,kurtosis,meas,18.664647239645163
0,32,kurtosis,ref,16.333814798152595
0,32,skewness,meas,3.3481275095021226
0,32,skewness,ref,3.0892764235116985
0,32,KL,NA,0.13127627713071
0,32,hellinger,NA,0.22081231199730483
0,32,euclidean,NA,0.1234660508714439
1,25,mean,meas,0.24953201327157587
1,25,mean,ref,0.24901980198019802
1,25,sd,meas,0.18610985366918784
1,25,sd,ref,0.16340839245116354
1,25,kurtosis,meas,11.975282590017708
1,25,kurtosis,ref,10.846360932908096
1,25,skewness,meas,2.7509074294401135
1,25,skewness,ref,2.7664377166558785
1,25,KL,NA,0.12884792694902697
1,25,hellinger,NA,0.20316850633716518
1,25,euclidean,NA,0.18928223330201244
2,64,mean,meas,0.22011435736800397
2,64,mean,ref,0.21649652294853963
2,64,sd,meas,0.1929248895825482
2,64,sd,ref,0.10309651305745683
2,64,kurtosis,meas,120.61365471622489
2,64,kurtosis,ref,25.467565100994534
2,64,skewness,meas,8.69980619883225
2,64,skewness,ref,3.8748189649733598
2,64,KL,NA,0.2670503812222765
2,64,hellinger,NA,0.2791478260345295
2,64,euclidean,NA,0.2658759163938597
3,19,mean,meas,0.19695556554043817
3,19,mean,ref,0.20324261275272162
3,19,sd,meas,0.10648852654098252
3,19,sd,ref,0.07936610378836842
3,19,kurtosis,meas,19.477225531402087
3,19,kurtosis,ref,17.443461713489057
3,19,skewness,meas,3.3817634115599873
3,19,skewness,ref,3.3904993565876547
3,19,KL,NA,0.34501128093435124
3,19,hellinger,NA,0.2935482665966454
3,19,euclidean,NA,0.3544169641273267
4,21,mean,meas,0.19764921878431627
4,21,mean,ref,0.2000646153846154
4,21,sd,meas,0.10842350834746876
4,21,sd,ref,0.08306022177260916
4,21,kurtosis,meas,14.40112983375957
4,21,kurtosis,ref,14.389803427371897
4,21,skewness,meas,2.7252965884081104
4,21,skewness,ref,2.9393418674201204
4,21,KL,NA,0.19834315493355859
4,21,hellinger,NA,0.2517935517642786
4,21,euclidean,NA,0.28053519016178996
5,19,mean,meas,0.18901279714084968
5,19,mean,ref,0.16506518518518518
5,19,sd,meas,0.07449012987364967
5,19,sd,ref,0.03747179219710058
