mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.1691795132230032,0.1691795132230032
1,1,0,0,0,0.1886237283140818,0.1886237283140818
2,1,0,0,0,0.19530271145832637,0.19530271145832637
3,1,0,0,0,0.10847865508970816,0.10847865508970816
4,1,0,0,0,0.11149044944008005,0.11149044944008005
5,1,0,0,0,0.07463397263627826,0.07463397263627826
6,1,0,0,0,0.09612579536266186,0.09612579536266186
7,1,0,0,0,0.1335984960309895,0.1335984960309895
8,1,0,0,0,0.059534669647062596,0.059534669647062596
9,1,0,0,0,0.07770621797615082,0.07770621797615082
10,1,0,0,0,0.09837480746343054,0.09837480746343054
11,1,0,0,0,0.16499281345568667,0.16499281345568667
12,0.009483965767532623,0.2830287775729493,0.05415181005420083,0.030379519327303817,0.20685837111674593,0.1691795132230032
13,0.006692608954899035,0.2289870053264148,0.0029769777447028133,0.01583231475224999,0.155541047792142,0.1886237283140818
14,0.007315885669709593,0.20408308028803393,2.395438960385887e-4,0.017598648544969286,0.10103927064353425,0.19530271145832637
15,6.135717422860994e-4,0.14535439511581283,4.2503508183664996e-4,0.006009794851282002,0.09895094783667142,0.10847865508970816
16,8.37803158776245e-5,0.1460037743865875,-0.0173839912596132,-0.008843072929353456,0.09389992377864245,0.11149044944008005
17,7.057837308252422e-4,0.10112335883812065,-0.0034134608269340313,3.751575188814249e-4,0.06106340641926172,0.07463397263627826
18,0.08552645427185392,0.09754453952582635,-0.019827379531449186,-0.009665432920382785,0.05601543833188291,0.09612579536266186
19,1.9790932391017173e-4,0.17977426349603154,-0.08463113062202235,-0.028846549482952108,0.052651096977061614,0.1335984960309895
20,0.5477302746775798,0.12190678311483301,-0.025261726284728458,-0.07381952290479789,0.057839062673496616,0.059534669647062596
21,0.058478102848818395,0.10264170375067211,-0.016461753278831537,-0.014165369712794099,0.07971669180311164,0.07770621797615082
22,0.02304394640411702,0.1255176030082997,-0.0430897797134359,-0.036824777257714325,0.08217445683148933,0.09837480746343054
23,0.001432344913241146,0.21786945616591546,-0.04675722000089272,-0.023629756361083887,0.1338323805000751,0.16499281345568667
24,0.00959234983173264,0.2151310393398369,-0.00561133635619985,0.006175902042306003,0.14435375838374112,0.1691795132230032
25,0.005023240448000304,0.2565203179524194,0.04248491243751015,0.038406349820320346,0.16758140677078442,0.1886237283140818
26,9.754613140294457e-4,0.26953270191947476,-0.04110601921522476,-0.02488130932537705,0.16421638545130018,0.19530271145832637
27,0.002086357469210522,0.14059438525359294,-0.026018562909980933,-0.017209653755978493,0.08597591309477808,0.10847865508970816
28,3.239713931127844e-4,0.11936439617950363,-0.014364618902657967,0.002808996332526653,0.05559284281561774,0.11149044944008005
29,0.007337249287517415,0.09721675053619731,-0.00573848325982073,-0.004112824013491556,0.06287853569381402,0.07463397263627826
30,0.24496524169108508,0.09622950276417287,7.290220592909214e-4,-0.0011225691833550988,0.06738032580165063,0.09612579536266186
