mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.16462094011155404,0.16462094011155404
1,1,0,0,0,0.18610985366918784,0.18610985366918784
2,1,0,0,0,0.1929248895825482,0.1929248895825482
3,1,0,0,0,0.10648852654098252,0.10648852654098252
4,1,0,0,0,0.10842350834746876,0.10842350834746876
5,1,0,0,0,0.07449012987364967,0.07449012987364967
6,1,0,0,0,0.09257806620395212,0.09257806620395212
7,1,0,0,0,0.13118077088533558,0.13118077088533558
8,1,0,0,0,0.29193923196207866,0.29193923196207866
9,1,0,0,0,0.08309544948150616,0.08309544948150616
10,1,0,0,0,0.10999013254454085,0.10999013254454085
11,1,0,0,0,0.16499778849007052,0.16499778849007052
12,0.004581376064665116,0.2655544556700754,0.0535760708971938,0.029139566391942,0.20200609669152236,0.16462094011155404
13,0.0020816813589962036,0.23572963178734774,0.005486337039222604,0.010961515577921514,0.1535717832536994,0.18610985366918784
14,0.007820706352522428,0.20141132358347302,0.0029526436021464217,0.01760382198798109,0.10023212096758236,0.1929248895825482
15,4.6901855094387764e-5,0.14483039497177805,5.236144805018121e-4,0.004734674732535804,0.09853629260666025,0.10648852654098252
16,1.8066651477326895e-5,0.14381818986736367,-0.011510164610561743,-0.00856273741268583,0.09347211691776344,0.10842350834746876
17,2.5614721212680644e-4,0.09490829462305468,-0.0028252774321963995,0.002032109665715452,0.06005440420303976,0.07449012987364967
18,0.08962060788837987,0.09206443402892446,-0.011118014843681077,0.0023358732703090967,0.05916865045428268,0.09257806620395212
19,0.010101587611498805,0.15474344334803583,-0.06971725682678924,-0.031822514517532347,0.05875886081134733,0.13118077088533558
20,0.006115700472279909,0.32257565710787217,-0.10271232669498445,-0.08593020730233937,0.0660734146409203,0.29193923196207866
21,0.1639570679707852,0.09200730504352786,-0.01898908030340336,-0.01826478064489545,0.08167898080020652,0.08309544948150616
22,0.0694713635304556,0.12292577908864834,-0.03284783979485858,-0.02576552785663061,0.08176350854695429,0.10999013254454085
23,0.0026773282374733354,0.2084571748601631,-0.03819143601122008,-0.023082310259463237,0.13060690424532212,0.16499778849007052
24,0.006564361160754,0.2271528144522155,8.293007644509776e-4,0.008084926626663089,0.14397508909825518,0.16462094011155404
25,0.0029756825113602847,0.25058760392547336,0.041279150053510794,0.03664453649212729,0.16704264521160536,0.18610985366918784
26,0.002348317520559113,0.2659275168230231,-0.029205945436597963,-0.014385845841016848,0.16529611152897208,0.1929248895825482
27,7.158138356193756e-4,0.1381377061230532,-0.024613047551694075,-0.0165346830835615,0.0856439790807578,0.10648852654098252
28,1.1460913917553614e-4,0.12291956241787544,-0.01741230224595681,0.004735750780528805,0.05653833629242491,0.10842350834746876
29,0.00975702658491792,0.09156168587990304,-3.4833294885917995e-4,8.501646681556008e-4,0.061213703023846905,0.07449012987364967
30,0.3510467491332813,0.08765059067312486,0.016029572635375577,0.0202395884802819,0.06568455445023413,0.09257806620395212
