mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.04873068289795137,0.1481525294402541,0.057954303005315115,0.05835084050771565,0.07355293353417322,0.06889482766753009
1,0.4190686514329437,0.0714635312009842,0.039507874007893885,0.03873896438928599,0.06882688163635516,0.05794138620638592
2,0.5674351126754715,0.0727950671891014,0.04343135647134543,0.0299266387247831,0.14413488411991798,0.06885716060327123
3,0.564549731980775,0.08866436702106406,0.04726031630721567,0.0364915833007399,0.15258937847828696,0.08975056747090397
4,0.4980182720491687,0.07727132110223646,0.03859480000566136,0.01497717314022455,0.1743270333572942,0.059710371614325984
5,0.6933835619479349,0.08154993552334311,0.04804070712612342,0.032563444694542906,0.14474327664990355,0.11124830087502358
6,0.5730476742575125,0.10254132012188016,0.05095748906586839,0.03649263990805081,0.14317103597591035,0.08245520606183511
7,0.4229037902908457,0.07394689144776569,0.03540839740386353,0.036783845513908106,0.10365445324826775,0.06665188219207058
8,0.4965064414347654,0.06836471635096253,0.032202863645172525,0.02758989647482439,0.07397914952643074,0.06043474733874658
9,0.4032254960086235,0.07623421766423641,0.04434305249299151,0.04623720979065071,0.0759118810895885,0.04197613577025225
10,0.6887259374411683,0.049177618150403904,0.02241760980986853,0.016644351840805996,0.08470996399519173,0.06302940640231805
11,0.8921161803588633,0.0960984371581325,0.03436532627373596,0.030582876717545726,0.14365459198674735,0.1805584654230523
12,0.18674247116148535,0.07439081693105527,0.05183689108549934,0.0508918017753084,0.064288327493881,0.05698638500510384
13,0.15556343497323621,0.0608221534145129,0.03751464623215488,0.03840773313075299,0.06494604044365332,0.04360599995979665
14,0.6986429228197223,0.05631800677907521,0.03201383980688126,0.029079747638883782,0.11533189734259107,0.07475073731978457
15,0.6487160877494771,0.07220228695673452,0.0362309761590176,0.0361555059261999,0.16328440387969095,0.10319479223163365
16,0.6807863320666123,0.0877922411073115,0.04619227472645477,0.0405544206423753,0.19787688961029487,0.10922686220499958
17,0.042364873545056206,0.2279036104614781,0.059967205888258844,0.0355893703100494,0.275276505030362,0.06450421388502475
18,0.44351162089524976,0.064250727983712,0.04135512955682125,0.03992203233027811,0.11508947030431278,0.05103992322728362
19,0.43964194245344956,0.053424621004631884,0.028407975436958725,0.0214948258833271,0.07104711272873529,0.04184863270546088
20,0.646312429906578,0.08788546497236371,0.03377447440544174,0.021192943398281358,0.09238047406839729,0.0998666691205093
21,NA,NA,NA,NA,0.06570630161733472,NA
22,NA,NA,NA,NA,0.05591306240234645,NA
23,NA,NA,NA,NA,0.052820512297365285,NA
24,NA,NA,NA,NA,0.06550378656478682,NA
25,NA,NA,NA,NA,0.07217629299513828,NA
26,NA,NA,NA,NA,0.11404118794287907,NA
27,NA,NA,NA,NA,0.09770054998110868,NA
28,NA,NA,NA,NA,0.1563809621548331,NA
29,NA,NA,NA,NA,0.19603956636484723,NA
30,NA,NA,NA,NA,0.08988915192992694,NA
31,NA,NA,NA,NA,0.07601707326183721,NA
32,NA,NA,NA,NA,0.05672103026016344,NA
33,NA,NA,NA,NA,0.05919924703326157,NA
34,NA,NA,NA,NA,0.06896800627347854,NA
