mos_into_deployment,pdf_resolution,statistic,plottype,value
0,24,mean,meas,0.2209733103429789
0,24,mean,ref,0.16650180505415163
0,24,sd,meas,0.07355293353417322
0,24,sd,ref,0.06889482766753009
0,24,kurtosis,meas,108.58190101677889
0,24,kurtosis,ref,100.97430934230614
0,24,skewness,meas,7.67669954047207
0,24,skewness,ref,8.183742482601069
0,24,KL,NA,0.7776835692297704
0,24,hellinger,NA,0.4381295289016935
0,24,euclidean,NA,0.47618881235969507
1,11,mean,meas,0.2173374425198196
1,11,mean,ref,0.16172923076923076
1,11,sd,meas,0.06882688163635516
1,11,sd,ref,0.05794138620638592
1,11,kurtosis,meas,5.697427985654317
1,11,kurtosis,ref,13.964428502392916
1,11,skewness,meas,1.2888021476870233
1,11,skewness,ref,2.804591260198973
1,11,KL,NA,0.49639699601161424
1,11,hellinger,NA,0.3595068510295255
1,11,euclidean,NA,0.4010577624607828
2,23,mean,meas,0.25782519451906555
2,23,mean,ref,0.16495373665480428
2,23,sd,meas,0.14413488411991798
2,23,sd,ref,0.06885716060327123
2,23,kurtosis,meas,11.573566588112964
2,23,kurtosis,ref,38.63214912321689
2,23,skewness,meas,2.492851331909459
2,23,skewness,ref,4.354428567138374
2,23,KL,NA,0.49207112482844056
2,23,hellinger,NA,0.37577876766049334
2,23,euclidean,NA,0.34043844474912444
3,26,mean,meas,0.2767054622623606
3,26,mean,ref,0.19136138613861386
3,26,sd,meas,0.15258937847828696
3,26,sd,ref,0.08975056747090397
3,26,kurtosis,meas,12.92303221181431
3,26,kurtosis,ref,9.006192549994543
3,26,skewness,meas,2.6185587433403343
3,26,skewness,ref,2.2501549163715504
3,26,KL,NA,0.4424777183892921
3,26,hellinger,NA,0.3443463414767308
3,26,euclidean,NA,0.35492355142420534
4,30,mean,meas,0.2539716266256125
4,30,mean,ref,0.1823638497652582
4,30,sd,meas,0.1743270333572942
4,30,sd,ref,0.059710371614325984
4,30,kurtosis,meas,17.342652945265627
4,30,kurtosis,ref,26.38138061329765
4,30,skewness,meas,3.335976403354976
4,30,skewness,ref,3.9714467646928013
4,30,KL,NA,0.20478545069466508
4,30,hellinger,NA,0.2661724344601914
4,30,euclidean,NA,0.2437094583161206
5,21,mean,meas,0.28943883368261064
5,21,mean,ref,0.22550735294117646
5,21,sd,meas,0.14474327664990355
5,21,sd,ref,0.11124830087502358
5,21,kurtosis,meas,11.158920469780027
5,21,kurtosis,ref,13.935135614668441
5,21,skewness,meas,2.4106842175650125
5,21,skewness,ref,3.047042751852603
5,21,KL,NA,0.287323879523249
5,21,hellinger,NA,0.27676853857220773
5,21,euclidean,NA,0.3041553264750005
6,28,mean,meas,0.2757157052387273
6,28,mean,ref,0.2031370449678801
6,28,sd,meas,0.14317103597591035
6,28,sd,ref,0.08245520606183511
6,28,kurtosis,meas,18.520253852293774
6,28,kurtosis,ref,12.054542182965202
6,28,skewness,meas,3.3176018013948996
6,28,skewness,ref,2.7925805609164676
6,28,KL,NA,0.4759886008099073
6,28,hellinger,NA,0.3382101832817229
6,28,euclidean,NA,0.3679779538037069
7,25,mean,meas,0.23032523979495087
7,25,mean,ref,0.18724925816023738
7,25,sd,meas,0.10365445324826775
7,25,sd,ref,0.06665188219207058
7,25,kurtosis,meas,22.882793807486344
7,25,kurtosis,ref,28.162480876275385
7,25,skewness,meas,3.2512936935907932
7,25,skewness,ref,4.1590804614674175
7,25,KL,NA,0.2618081152680879
7,25,hellinger,NA,0.26386406007103663
7,25,euclidean,NA,0.326484394055852
8,15,mean,meas,0.20973431456087205
8,15,mean,ref,0.18061682242990654
8,15,sd,meas,0.07397914952643074
8,15,sd,ref,0.06043474733874658
8,15,kurtosis,meas,9.732428284385605
8,15,kurtosis,ref,13.556107415962662
8,15,skewness,meas,1.9081023547595208
8,15,skewness,ref,2.843452179684015
8,15,KL,NA,0.20671786231375636
8,15,hellinger,NA,0.22737850893421013
8,15,euclidean,NA,0.24774311477307165
9,13,mean,meas,0.21742985064690012
9,13,mean,ref,0.15955381165919283
