mos_into_deployment,pdf_resolution,statistic,plottype,value
0,25,mean,meas,0.1991162061030559
0,25,mean,ref,0.17528975265017668
0,25,sd,meas,0.07385550588213571
0,25,sd,ref,0.06139096357022182
0,25,kurtosis,meas,61.829127336025
0,25,kurtosis,ref,77.59138838665064
0,25,skewness,meas,4.316857267179644
0,25,skewness,ref,6.074540304223656
0,25,KL,NA,0.2984347850691926
0,25,hellinger,NA,0.2853947449161734
0,25,euclidean,NA,0.26819834270312093
1,11,mean,meas,0.20145724969200499
1,11,mean,ref,0.1700518207282913
1,11,sd,meas,0.06784186704072812
1,11,sd,ref,0.06011054662664975
1,11,kurtosis,meas,5.793625928758704
1,11,kurtosis,ref,10.75293373941581
1,11,skewness,meas,1.2695455739794355
1,11,skewness,ref,2.437092299234987
1,11,KL,NA,0.21206648264944222
1,11,hellinger,NA,0.24447682492370557
1,11,euclidean,NA,0.27446777082852386
2,23,mean,meas,0.24819394346414045
2,23,mean,ref,0.19622525107604016
2,23,sd,meas,0.14051592346236677
2,23,sd,ref,0.09961696495223406
2,23,kurtosis,meas,12.203888410438582
2,23,kurtosis,ref,12.869805443929545
2,23,skewness,meas,2.5604434095909494
2,23,skewness,ref,2.682753394418435
2,23,KL,NA,0.14885393407276334
2,23,hellinger,NA,0.2000937992953621
2,23,euclidean,NA,0.18566625274518225
3,26,mean,meas,0.2739881992953344
3,26,mean,ref,0.21506002928257686
3,26,sd,meas,0.15242814380214517
3,26,sd,ref,0.12117941025760263
3,26,kurtosis,meas,12.933662733962409
3,26,kurtosis,ref,7.887399537137653
3,26,skewness,meas,2.6143553776885224
3,26,skewness,ref,2.2005056501521563
3,26,KL,NA,0.26191908111721696
3,26,hellinger,NA,0.26458329683771875
3,26,euclidean,NA,0.26191618675724837
4,30,mean,meas,0.25252517266789787
4,30,mean,ref,0.22153194650817237
4,30,sd,meas,0.17364321862557047
4,30,sd,ref,0.1587184331342531
4,30,kurtosis,meas,17.486718525924186
4,30,kurtosis,ref,15.76229714054319
4,30,skewness,meas,3.349079849967774
4,30,skewness,ref,3.404701031708283
4,30,KL,NA,0.119246110608818
4,30,hellinger,NA,0.1791420130652433
4,30,euclidean,NA,0.17241077379065517
5,21,mean,meas,0.28749101972450225
5,21,mean,ref,0.244302649930265
5,21,sd,meas,0.14445564933554708
5,21,sd,ref,0.13302182647890423
5,21,kurtosis,meas,11.206270099577175
5,21,kurtosis,ref,13.008320358467033
5,21,skewness,meas,2.4148281556584172
5,21,skewness,ref,2.917368869287461
5,21,KL,NA,0.15647126960910526
5,21,hellinger,NA,0.1937180920889283
5,21,euclidean,NA,0.2031771825759573
6,28,mean,meas,0.2757157052387273
6,28,mean,ref,0.22613566433566434
6,28,sd,meas,0.14317103597591035
6,28,sd,ref,0.11342790896863265
6,28,kurtosis,meas,18.520253852293774
6,28,kurtosis,ref,18.85627226538296
6,28,skewness,meas,3.3176018013948996
6,28,skewness,ref,3.3626358601547657
6,28,KL,NA,0.2640023276885417
6,28,hellinger,NA,0.2509483676914618
6,28,euclidean,NA,0.2815742129776302
7,25,mean,meas,0.23032523979495087
7,25,mean,ref,0.19734700854700854
7,25,sd,meas,0.10365445324826775
7,25,sd,ref,0.07978179313518
7,25,kurtosis,meas,22.882793807486344
7,25,kurtosis,ref,18.376559361467816
7,25,skewness,meas,3.2512936935907932
7,25,skewness,ref,3.469041166992052
7,25,KL,NA,0.16586862729907687
7,25,hellinger,NA,0.20541401021749145
7,25,euclidean,NA,0.26932178129394285
8,15,mean,meas,0.20700160907495563
8,15,mean,ref,0.17961267605633802
8,15,sd,meas,0.07438437038170247
8,15,sd,ref,0.054443439755969755
8,15,kurtosis,meas,9.298611469347602
8,15,kurtosis,ref,14.378902151840915
8,15,skewness,meas,1.7968399608890386
8,15,skewness,ref,2.88223244908235
8,15,KL,NA,0.19778889214887976
8,15,hellinger,NA,0.23423456024841782
8,15,euclidean,NA,0.25681384343134583
9,13,mean,meas,0.2034734657867726
9,13,mean,ref,0.1619558173784978
9,13,sd,meas,0.0749515666756759
9,13,sd,ref,0.04117784069363994
9,13,kurtosis,meas,4.837114368074308
9,13,kurtosis,ref,7.151691794316134
9,13,skewness,meas,0.986892768558442
9,13,skewness,ref,1.8602316735584596
9,13,KL,NA,0.3469419993585747
9,13,hellinger,NA,0.32433860328030484
9,13,euclidean,NA,0.3367549382666684
10,14,mean,meas,0.22770226232179996
10,14,mean,ref,0.20438676470588235
10,14,sd,meas,0.07900367263661053
10,14,sd,ref,0.07197738641035745
10,14,kurtosis,meas,8.088133496315502
10,14,kurtosis,ref,10.87796278625814
10,14,skewness,meas,1.7306818575679204
10,14,skewness,ref,2.0862147032932663
10,14,KL,NA,0.07853740160821675
10,14,hellinger,NA,0.1394570346831174
10,14,euclidean,NA,0.13274640806633842
11,17,mean,meas,0.279561287371043
11,17,mean,ref,0.2795693641618497
11,17,sd,meas,0.12934125631005908
11,17,sd,ref,0.16895054324987743
11,17,kurtosis,meas,6.152018314625076
11,17,kurtosis,ref,5.8106843249249485
11,17,skewness,meas,1.8171332637218172
11,17,skewness,ref,1.908550332797303
11,17,KL,NA,0.25137095004533394
11,17,hellinger,NA,0.18965995916857367
11,17,euclidean,NA,0.1115871694283154
12,12,mean,meas,0.2449597302150696
12,12,mean,ref,0.23008882082695253
12,12,sd,meas,0.07020879011354643
12,12,sd,ref,0.05875720616805145
12,12,kurtosis,meas,3.673708941724412
12,12,kurtosis,ref,9.975823629433796
12,12,skewness,meas,0.7642963523788171
12,12,skewness,ref,1.723183095069441
12,12,KL,NA,0.09836626061691715
12,12,hellinger,NA,0.1535272563084022
12,12,euclidean,NA,0.14253988799368664
13,10,mean,meas,0.2412624605895563
13,10,mean,ref,0.2188969889064976
13,10,sd,meas,0.07031471794737444
13,10,sd,ref,0.06081635515559106
13,10,kurtosis,meas,5.315310865796589
13,10,kurtosis,ref,6.191202090499004
13,10,skewness,meas,1.2369331134474086
13,10,skewness,ref,1.5469533832060467
13,10,KL,NA,0.08894582619514017
13,10,hellinger,NA,0.15535008585929744
13,10,euclidean,NA,0.1803638398491851
14,17,mean,meas,0.2927538144749253
14,17,mean,ref,0.2558212209302326
14,17,sd,meas,0.11531251210142623
14,17,sd,ref,0.10004987846443787
14,17,kurtosis,meas,6.6411594365595725
14,17,kurtosis,ref,7.973031022134467
14,17,skewness,meas,1.704596436789661
14,17,skewness,ref,1.8271477206296185
14,17,KL,NA,0.12195686236820126
14,17,hellinger,NA,0.1721533550224328
14,17,euclidean,NA,0.15546325399390437
15,27,mean,meas,0.30422338248480396
15,27,mean,ref,0.25459432624113476
15,27,sd,meas,0.16303724139171105
15,27,sd,ref,0.12466432187912031
15,27,kurtosis,meas,13.835279126479776
15,27,kurtosis,ref,7.304331185817552
15,27,skewness,meas,2.826176840067496
15,27,skewness,ref,2.0417488938949835
15,27,KL,NA,0.18627462003936432
15,27,hellinger,NA,0.2199020499198294
15,27,euclidean,NA,0.23996740457122312
16,31,mean,meas,0.32429391496984067
16,31,mean,ref,0.2964645441389291
16,31,sd,meas,0.19787688961029487
16,31,sd,ref,0.18315929505282666
16,31,kurtosis,meas,14.184670357138392
16,31,kurtosis,ref,8.398357737224273
16,31,skewness,meas,3.0227567899499146
16,31,skewness,ref,2.260052707637633
16,31,KL,NA,0.12611676662368188
16,31,hellinger,NA,0.17851075447599724
16,31,euclidean,NA,0.1834030855633603
17,106,mean,meas,0.28843735367364626
17,106,mean,ref,0.23589042995839113
17,106,sd,meas,0.27480926283918466
17,106,sd,ref,0.10783006398937992
17,106,kurtosis,meas,222.44619568926385
17,106,kurtosis,ref,19.5124245934043
17,106,skewness,meas,13.200015170580574
17,106,skewness,ref,3.3982309179372123
17,106,KL,NA,0.18875670118305574
17,106,hellinger,NA,0.2046304987776632
17,106,euclidean,NA,0.2261711567060865
18,22,mean,meas,0.27478950005869335
18,22,mean,ref,0.24488285714285715
18,22,sd,meas,0.11508947030431278
18,22,sd,ref,0.12886152971379725
18,22,kurtosis,meas,10.079798037282325
18,22,kurtosis,ref,15.625027047944847
18,22,skewness,meas,2.2272327332118196
18,22,skewness,ref,3.2176060493005476
18,22,KL,NA,0.2364340159902056
18,22,hellinger,NA,0.22919638212320323
18,22,euclidean,NA,0.2601784307929692
19,13,mean,meas,0.21146384307355487
19,13,mean,ref,0.19049763033175354
19,13,sd,meas,0.07004193611579276
19,13,sd,ref,0.06209902064146384
19,13,kurtosis,meas,12.022027323624116
19,13,kurtosis,ref,22.284029719803335
19,13,skewness,meas,2.3053672860413132
19,13,skewness,ref,3.8208161476289675
19,13,KL,NA,0.12650134700899462
19,13,hellinger,NA,0.18831685347276697
19,13,euclidean,NA,0.22966006701482056
20,21,mean,meas,0.21631687444265763
20,21,mean,ref,0.2020427135678392
20,21,sd,meas,0.0931367350645989
20,21,sd,ref,0.0854608528211028
20,21,kurtosis,meas,21.626464519513032
20,21,kurtosis,ref,20.14565682360308
20,21,skewness,meas,3.412161355598761
20,21,skewness,ref,3.485189585178764
20,21,KL,NA,0.24082910531694707
20,21,hellinger,NA,0.23823635630418707
20,21,euclidean,NA,0.31956257058504045
21,0,mean,meas,0.20342284832212137
21,0,mean,ref,NA
21,0,sd,meas,0.06330699531097789
21,0,sd,ref,NA
21,0,kurtosis,meas,10.180175126521084
21,0,kurtosis,ref,NA
21,0,skewness,meas,1.8920648544777647
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,0.20626574223112074
22,0,mean,ref,NA
22,0,sd,meas,0.05834852275765483
22,0,sd,ref,NA
22,0,kurtosis,meas,3.6175684266843464
22,0,kurtosis,ref,NA
22,0,skewness,meas,0.8180725896816207
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.21348360192440402
23,0,mean,ref,NA
23,0,sd,meas,0.05942352162603337
23,0,sd,ref,NA
23,0,kurtosis,meas,3.5542092052728416
23,0,kurtosis,ref,NA
23,0,skewness,meas,0.8482344425307143
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
