mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.053688055992249975,NA
2,NA,NA,NA,NA,0.1753221254947141,NA
3,NA,NA,NA,NA,0.037453429800591555,NA
4,NA,NA,NA,NA,0.027124664829780855,NA
5,NA,NA,NA,NA,0.035781599321346926,NA
6,NA,NA,NA,NA,0.09746329797476702,NA
7,NA,NA,NA,NA,0.10700182766705911,NA
8,NA,NA,NA,NA,0.07810552483514613,NA
9,NA,NA,NA,NA,0.08736408510694182,NA
10,NA,NA,NA,NA,0.04886465624408311,NA
11,NA,NA,NA,NA,0.09945848076429642,NA
12,NA,NA,NA,NA,0.03990460129449091,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,0.08207384559187295,NA
18,NA,NA,NA,NA,0.10162018561620172,NA
19,NA,NA,NA,NA,0.166623105876353,NA
20,NA,NA,NA,NA,0.20862231512227386,NA
21,NA,NA,NA,NA,0.26752288868171803,NA
22,NA,NA,NA,NA,0.15797376613317457,NA
23,NA,NA,NA,NA,0.20115810355726071,NA
24,NA,NA,NA,NA,0.1344000536740644,NA
25,NA,NA,NA,NA,0.07807134108222047,NA
26,NA,NA,NA,NA,0.0550400489649499,NA
27,NA,NA,NA,NA,0.05199102831048232,NA
28,NA,NA,NA,NA,0.05437753175718541,NA
29,NA,NA,NA,NA,0.06473732844808805,NA
30,NA,NA,NA,NA,0.07927373513693609,NA
31,NA,NA,NA,NA,0.16147164766721678,NA
32,NA,NA,NA,NA,0.15136803286013167,NA
33,NA,NA,NA,NA,0.19725150903914695,NA
34,NA,NA,NA,NA,0.19921485120838117,NA
35,NA,NA,NA,NA,0.0761788254680991,NA
36,NA,NA,NA,NA,0.07979001350685339,NA
37,NA,NA,NA,NA,0.06447891033090113,NA
38,NA,NA,NA,NA,0.04922944879792176,NA
39,NA,NA,NA,NA,0.060343334983390694,NA
