mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.053688055992249975,NA
2,NA,NA,NA,NA,0.1667266641101672,NA
3,NA,NA,NA,NA,0.03744874220905015,NA
4,NA,NA,NA,NA,0.027124664829780855,NA
5,NA,NA,NA,NA,0.035781599321346926,NA
6,NA,NA,NA,NA,0.09524668686118293,NA
7,NA,NA,NA,NA,0.10742877335491162,NA
8,0.5219487618427499,0.30480659068107274,-0.2215659741132535,-0.17823056294642747,0.07810552483514613,0.2638886313568836
9,0.661899037923573,0.306634930954232,-0.23083130682419017,-0.19043452887445758,0.08736408510694182,0.26760418130904845
10,0.34845926980391256,0.25945360193514,-0.2009000453146837,-0.1763452401804377,0.04886465624408311,0.18826762431814115
11,0.16337074474930371,0.23128929353592675,-0.1728762320385816,-0.1573496067809066,0.09945848076429642,0.1635160113502946
12,0.3723182347881496,0.23036105643477559,-0.17250241235888591,-0.15581201678513532,0.03990460129449091,0.16633438539075387
13,NA,NA,NA,NA,NA,0.13349561427008605
14,NA,NA,NA,NA,NA,0.14553438004193928
15,NA,NA,NA,NA,NA,0.3074206043716902
16,NA,NA,NA,NA,NA,0.16704869591218316
17,0.012214874025521714,0.2747760277461462,-0.18099240952570164,-0.1947131260507129,0.1470749103198972,0.1592428844238602
18,0.3922276096557917,0.17180750273248308,-0.09317617648095594,-0.05501417974410219,0.09624298307029203,0.18433023465667958
19,0.37382183859015444,0.21267343274810263,-0.133595527399384,-0.13740792664571913,0.16054264330223603,0.20381607265197174
20,0.47910426843555615,0.21123501740455905,-0.13082664356145174,-0.13899123460826696,0.20521942991778594,0.2255170974844806
21,0.594071910456336,0.20693424570228725,-0.09313474395609857,-0.09357980354099993,0.2595156423483914,0.28443044418919783
22,0.31332741432747535,0.1795258875943264,-0.06203776158062365,-0.06221920420209784,0.15534491296309005,0.19643551457983793
23,0.3796166049399669,0.16829113357318337,-0.04164990652878682,-0.034588672719520805,0.19339083579771532,0.18670275435534375
24,0.30243132231858855,0.1638481674741488,-0.07467934374749403,-0.0736468480505542,0.13125648167049472,0.1676540643812206
25,0.36016187336378597,0.14120979353685237,-0.07363165625109754,-0.0396580050589905,0.07651506994475692,0.14995404799759005
26,0.1757413533217937,0.14226566380498204,-0.08322813167343236,-0.043839017473233405,0.053594884858554105,0.12642957026030566
27,0.11266079331021137,0.182203843675337,-0.13976518004532776,-0.13533297898795837,0.05076148911910399,0.12350367404159597
28,0.12780106316161627,0.20026525898281716,-0.15169377078914834,-0.1545689077115167,0.055142233723323414,0.1398562105226809
29,0.18630563461659527,0.22094251939176174,-0.16339939022148253,-0.1674504332420009,0.062299877476557616,0.1646067624204646
30,0.19907806791403734,0.16272293698032975,-0.06668539101375455,-0.03256469833727699,0.07528063228159373,0.1656112527911949
31,0.26315150936391785,0.24007341452091743,-0.1527050107922706,-0.18046356854823042,0.1564210729375051,0.20548812712512854
32,0.4823540058246755,0.2343025836403346,-0.17333730815244255,-0.175585488073466,0.1481620383961044,0.21197994560474145
33,0.4582233748846971,0.20610528362238592,-0.09364791495870287,-0.09885749552315452,0.19156327450680743,0.24245023745058256
34,NA,NA,NA,NA,0.19803785009180308,NA
35,NA,NA,NA,NA,0.07570398826464014,NA
36,NA,NA,NA,NA,0.07808078279576028,NA
37,NA,NA,NA,NA,0.061458433711981966,NA
38,NA,NA,NA,NA,0.049665737247396105,NA
39,NA,NA,NA,NA,0.05913439137156489,NA
