mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.053688055992249975,0.053688055992249975
2,1,0,0,0,0.1753221254947141,0.1753221254947141
3,1,0,0,0,0.037453429800591555,0.037453429800591555
4,1,0,0,0,0.027124664829780855,0.027124664829780855
5,1,0,0,0,0.035781599321346926,0.035781599321346926
6,1,0,0,0,0.09746329797476702,0.09746329797476702
7,1,0,0,0,0.10700182766705911,0.10700182766705911
8,1,0,0,0,0.07810552483514613,0.07810552483514613
9,1,0,0,0,0.08736408510694182,0.08736408510694182
10,1,0,0,0,0.04886465624408311,0.04886465624408311
11,1,0,0,0,0.09945848076429642,0.09945848076429642
12,6.629872178492852e-4,0.08130226806124548,-0.04662575914557507,-0.0393615382284451,0.03990460129449091,0.053688055992249975
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,0.1753221254947141
15,NA,NA,NA,NA,NA,0.037453429800591555
16,NA,NA,NA,NA,NA,0.027124664829780855
17,0.0846873380352795,0.15362445416220286,0.11696911840524522,0.12195106190712444,0.08207384559187295,0.035781599321346926
18,0.012810076056117519,0.19015365527687894,0.1030084945297127,0.08750835746556325,0.10162018561620172,0.09746329797476702
19,0.00337961104143647,0.21570990365110107,0.08672445191645001,0.07259340831611791,0.166623105876353,0.10700182766705911
20,1.888989788137833e-4,0.2731834972273417,0.15599967773209095,0.10000849823959346,0.20862231512227386,0.07810552483514613
21,0.0037045177673892646,0.36656426411258214,0.22794212225320987,0.13959079215287712,0.26752288868171803,0.08736408510694182
22,0.018168685737908374,0.2205430538394001,0.15280402608704988,0.11370620458737307,0.15797376613317457,0.04886465624408311
23,0.009626602407459309,0.27622625647605525,0.1748082471550252,0.1275891117603234,0.20115810355726071,0.09945848076429642
24,0.02558072561317874,0.18221714075148282,0.07234701088323424,0.03392346952448619,0.1344000536740644,0.053688055992249975
25,NA,NA,NA,NA,0.07807134108222047,NA
26,0.051118012998791984,0.051137791947483885,0.009593333952019029,0.006543964180896811,0.0550400489649499,0.1753221254947141
27,0.0628167481716588,0.05770417490327972,0.013805738335883722,0.009044362554591318,0.05199102831048232,0.037453429800591555
28,0.00947205704896773,0.07542235242581641,0.046767712567089,0.03963375747500794,0.05437753175718541,0.027124664829780855
29,0.01163314614211692,0.09519020714914656,0.06250760807131339,0.05776898560986629,0.06473732844808805,0.035781599321346926
30,0.02996409020433791,0.1187293380465826,0.06951106225982823,0.0618391052959785,0.07927373513693609,0.09746329797476702
31,0.12455136571648184,0.16797087871853492,0.041015938514230695,0.023789548409907962,0.16147164766721678,0.10700182766705911
32,3.7715270124754106e-4,0.18314350997257434,0.055935674580809475,0.026971387962218152,0.15136803286013167,0.07810552483514613
33,4.913628217328322e-4,0.25670854102579704,0.13411053543793625,0.0867244728968696,0.19725150903914695,0.08736408510694182
34,0.0119236714947946,0.22859105102004845,0.11114527770422569,0.0510441204944925,0.19921485120838117,0.04886465624408311
35,0.011539645497280699,0.09681578728414415,0.02292257665203142,0.02155902511420621,0.0761788254680991,0.09945848076429642
36,0.005299922494885015,0.14523618256296936,0.011906436984666008,-0.005809123000981881,0.07979001350685339,0.053688055992249975
37,NA,NA,NA,NA,0.06447891033090113,NA
38,0.00995015210612763,0.07517846310597605,0.05184538146384056,0.05356081728604489,0.04922944879792176,0.1753221254947141
39,0.015663888775232976,0.10247630516037338,0.07993611538602817,0.0809638779009319,0.060343334983390694,0.03134359130306478
