mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.053688055992249975,0.053688055992249975
2,1,0,0,0,0.1667266641101672,0.1667266641101672
3,1,0,0,0,0.03744874220905015,0.03744874220905015
4,1,0,0,0,0.027124664829780855,0.027124664829780855
5,1,0,0,0,0.035781599321346926,0.035781599321346926
6,1,0,0,0,0.09524668686118293,0.09524668686118293
7,1,0,0,0,0.10742877335491162,0.10742877335491162
8,1,0,0,0,0.07810552483514613,0.07810552483514613
9,1,0,0,0,0.08736408510694182,0.08736408510694182
10,1,0,0,0,0.04886465624408311,0.04886465624408311
11,1,0,0,0,0.09945848076429642,0.09945848076429642
12,6.629872178492852e-4,0.08130226806124548,-0.04662575914557507,-0.0393615382284451,0.03990460129449091,0.053688055992249975
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,0.1667266641101672
15,NA,NA,NA,NA,NA,0.03744874220905015
16,NA,NA,NA,NA,NA,0.027124664829780855
17,0.004211629336219544,0.18537638089656308,0.1064130330565506,0.08954965940340309,0.1470749103198972,0.035781599321346926
18,0.017036205018194653,0.17248369065316058,0.09401255692704079,0.08279500224992706,0.09624298307029203,0.09524668686118293
19,0.0040574462558835905,0.20208339218509516,0.07426019497809377,0.0671733837235911,0.16054264330223603,0.10742877335491162
20,2.499620740889907e-5,0.2691632818731991,0.15537148351182692,0.10151081033739251,0.20521942991778594,0.07810552483514613
21,0.002618907590916341,0.3461483737753258,0.20644906817835765,0.1155380147664409,0.2595156423483914,0.08736408510694182
22,0.02001753611899137,0.2147004158149105,0.14750320242152276,0.10864558108058044,0.15534491296309005,0.04886465624408311
23,0.006503273811232373,0.26733192134559014,0.16291527915030043,0.11537454579754515,0.19339083579771532,0.09945848076429642
24,0.020961002778914672,0.1774125718195102,0.07403349604062603,0.03941247678259169,0.13125648167049472,0.053688055992249975
25,NA,NA,NA,NA,0.07651506994475692,NA
26,0.005221547941377122,0.16933203242390724,-0.007184015648173502,0.00390131046154249,0.053594884858554105,0.1667266641101672
27,0.02590950350217526,0.06014937386176809,0.016072970087068813,0.012051875031795695,0.05076148911910399,0.03744874220905015
28,0.008469519341103616,0.07432033087390194,0.04501581750569125,0.036325031066573796,0.055142233723323414,0.027124664829780855
29,0.027922527121113372,0.08317843615895308,0.05010238559955906,0.04432058688754399,0.062299877476557616,0.035781599321346926
30,0.006642617316738055,0.13154886779803568,0.060990554188463636,0.058915182710579383,0.07528063228159373,0.09524668686118293
31,0.1280371990644072,0.15909648680626892,0.03254959215018047,0.020793451957559106,0.1564210729375051,0.10742877335491162
32,3.553846675181374e-4,0.18001136267949483,0.054829436398259115,0.026971387962218152,0.1481620383961044,0.07810552483514613
33,1.4419657111863193e-4,0.24680365289381895,0.1273380003525781,0.0830504259104565,0.19156327450680743,0.08736408510694182
34,0.012891463273781132,0.22923097072163837,0.11486177237068924,0.05777119073606189,0.19803785009180308,0.04886465624408311
35,0.012526606943161185,0.09588768066512975,0.023060197315274835,0.022048890526074588,0.07570398826464014,0.09945848076429642
36,0.005299922494885015,0.14523618256296936,0.011906436984666008,-0.005809123000981881,0.07808078279576028,0.053688055992249975
37,NA,NA,NA,NA,0.061458433711981966,NA
38,0.016481618504058326,0.18302584049110596,0.03949273436357522,0.05827576431928047,0.049665737247396105,0.1667266641101672
39,0.014377645841049213,0.0990507841949105,0.076084725601049355,0.07889357098248831,0.05913439137156489,0.0315212190410898
