mos_into_deployment,pdf_resolution,statistic,plottype,value
0,12,mean,meas,0.21248440160009385
0,12,mean,ref,0.21248440160009385
0,12,sd,meas,0.053688055992249975
0,12,sd,ref,0.053688055992249975
0,12,kurtosis,meas,16.204795194414476
0,12,kurtosis,ref,16.204795194414476
0,12,skewness,meas,2.5385518753502843
0,12,skewness,ref,2.5385518753502843
0,12,KL,NA,0
0,12,hellinger,NA,0
0,12,euclidean,NA,0
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,38,mean,meas,0.19645901444141867
2,38,mean,ref,0.19645901444141867
2,38,sd,meas,0.1667266641101672
2,38,sd,ref,0.1667266641101672
2,38,kurtosis,meas,110.33127713999403
2,38,kurtosis,ref,110.33127713999403
2,38,skewness,meas,10.225683275053646
2,38,skewness,ref,10.225683275053646
2,38,KL,NA,0
2,38,hellinger,NA,0
2,38,euclidean,NA,0
3,6,mean,meas,0.18129947052012774
3,6,mean,ref,0.18129947052012774
3,6,sd,meas,0.03744874220905015
3,6,sd,ref,0.03744874220905015
3,6,kurtosis,meas,4.977425581985412
3,6,kurtosis,ref,4.977425581985412
3,6,skewness,meas,1.1398592446222482
3,6,skewness,ref,1.1398592446222482
3,6,KL,NA,0
3,6,hellinger,NA,0
3,6,euclidean,NA,0
4,4,mean,meas,0.18564746796484788
4,4,mean,ref,0.18564746796484788
4,4,sd,meas,0.027124664829780855
4,4,sd,ref,0.027124664829780855
4,4,kurtosis,meas,3.5059014850376458
4,4,kurtosis,ref,3.5059014850376458
4,4,skewness,meas,0.4372889078617525
4,4,skewness,ref,0.4372889078617525
4,4,KL,NA,0
4,4,hellinger,NA,0
4,4,euclidean,NA,0
5,5,mean,meas,0.1926994708028174
5,5,mean,ref,0.1926994708028174
5,5,sd,meas,0.035781599321346926
5,5,sd,ref,0.035781599321346926
5,5,kurtosis,meas,4.647953227127112
5,5,kurtosis,ref,4.647953227127112
