mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.16609685268286098,0.06433514748603007,0.025027587283194656,0.02909500731323672,0.06024227730678378,0.044565482443630365
1,0.7413089311217385,0.04464342765575165,0.019136253893686332,0.017534604573841102,0.07658391810558048,0.07074476633766048
2,0.8309223301066456,0.034453955189662266,0.02020492044059631,0.0171169016100626,0.06689206323241342,0.05745206931965428
3,0.9522230239512414,0.02934267844958487,0.009254326744341469,0.00920463799339341,0.12308364144621238,0.12747049343600392
4,0.9340972475359897,0.036194532446685496,-0.0010731872848404884,-0.004912616162802752,0.12193972650721402,0.13746809950525357
5,0.9746959288007364,0.03550985518660882,-0.015011872170318952,-0.0127774472528695,0.14150037555440714,0.16364849814741098
6,0.9400486932765431,0.027536602184543187,-0.011180042103113894,-0.013071803169864588,0.09848275941923955,0.10284085173848911
7,0.9269573312773313,0.02854531761938433,-0.018809229295951316,-0.021368599688229406,0.07597309388343254,0.0794798746785465
8,0.9122269602764842,0.030694400067541004,-0.01866424753917929,-0.0213237679135721,0.07722445758169508,0.08231320257841498
9,0.5121858409781417,0.03586506259671685,0.002066844511340742,-7.453280195381939e-4,0.05121819433376192,0.03891025561580189
10,0.6969474098936168,0.04531357098390697,0.006105154879609144,0.007697559834117296,0.08129043392076563,0.07486102557602434
11,0.9009221259583945,0.06423690151109401,-0.012982544180624481,0.0011557465345838902,0.13379849948193634,0.17469638072331015
12,0.5844465388518125,0.04386779711963822,0.0052334702635987015,0.009162985707788049,0.06566560530529612,0.0630238356503588
13,0.698954085275393,0.040287359962058324,0.0015337644498476946,0.004208126733442508,0.07262830314972873,0.06525699579108456
14,0.8698031106516936,0.030597101275885396,0.007042784655044155,0.005880131113928488,0.07986672312033569,0.08164753123272346
15,0.9318279666900248,0.029432310746638685,-0.005873102818456315,-0.0027194585883226763,0.09932900910830644,0.10921505354354409
16,0.9763080378794475,0.043606634384282576,-0.02506099934954009,-0.018775919064902613,0.13339393874977792,0.1634515524557957
17,0.9511165732541634,0.04547787721468375,-0.022896837715387225,-0.0185598647769684,0.13849644400226133,0.16053079066075154
18,0.935941626244219,0.03777683596935833,-0.025609165959695823,-0.026972666883685797,0.0936746224067985,0.10500870291493651
19,0.9588294888845849,0.04518282361855572,-0.03355199034897991,-0.028655849669897315,0.08260156454734514,0.10476302587052812
20,0.9219619409626479,0.03135250568095637,-0.02210926552359269,-0.02281585839281995,0.07125442542153346,0.0791904356308528
21,0.7863105236405851,0.026371617873624364,-0.020233277635552,-0.02238294121071316,0.08808772574696096,0.036218267611496394
22,NA,NA,NA,NA,0.08328959834935243,NA
23,NA,NA,NA,NA,0.07512648531128277,NA
24,NA,NA,NA,NA,0.07722838367007284,NA
25,NA,NA,NA,NA,0.08857446110287566,NA
26,NA,NA,NA,NA,0.09369834563171062,NA
27,NA,NA,NA,NA,0.133503639955143,NA
28,NA,NA,NA,NA,0.14873086308481123,NA
29,NA,NA,NA,NA,0.1414827241377663,NA
30,NA,NA,NA,NA,0.14904442545364563,NA
31,NA,NA,NA,NA,0.08846492478285249,NA
32,NA,NA,NA,NA,0.08204819828414521,NA
33,NA,NA,NA,NA,0.069213160970261145,NA
34,NA,NA,NA,NA,0.06772395977309285,NA
35,NA,NA,NA,NA,0.06346290905550875,NA
