mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.20781132720350842
0,11,mean,ref,0.16526839826839826
0,11,sd,meas,0.05159947346278134
0,11,sd,ref,0.047454388137560664
0,11,kurtosis,meas,8.209329975226854
0,11,kurtosis,ref,3.577110582999562
0,11,skewness,meas,1.269692947198981
0,11,skewness,ref,0.4326743369730348
0,11,KL,NA,0.6770193607213845
0,11,hellinger,NA,0.30762218091142945
0,11,euclidean,NA,0.3215305059923358
1,20,mean,meas,0.21676034735003955
1,20,mean,ref,0.16809593023255814
1,20,sd,meas,0.07758821670252382
1,20,sd,ref,0.07432231897008683
1,20,kurtosis,meas,19.603908024030066
1,20,kurtosis,ref,63.28584698222031
1,20,skewness,meas,2.730533418611435
1,20,skewness,ref,6.16850665859006
1,20,KL,NA,0.4350064676294181
1,20,hellinger,NA,0.33233496329786366
1,20,euclidean,NA,0.36111455288206445
2,10,mean,meas,0.18778216924448374
2,10,mean,ref,0.14845921450151056
2,10,sd,meas,0.0688154817325843
2,10,sd,ref,0.04666814497861211
2,10,kurtosis,meas,5.724855487965685
2,10,kurtosis,ref,8.43931003942668
2,10,skewness,meas,1.5653823672350118
2,10,skewness,ref,1.8287073765192112
2,10,KL,NA,0.2747875650820405
2,10,hellinger,NA,0.2516458892712706
2,10,euclidean,NA,0.2648727899081374
3,16,mean,meas,0.24285411485456113
3,16,mean,ref,0.1853014705882353
3,16,sd,meas,0.12544990001866868
3,16,sd,ref,0.08345459201097738
3,16,kurtosis,meas,6.53727401206417
3,16,kurtosis,ref,20.382059657102012
3,16,skewness,meas,1.8966975165494087
3,16,skewness,ref,3.3896707775482464
3,16,KL,NA,0.2661684215544078
3,16,hellinger,NA,0.2693179686208102
3,16,euclidean,NA,0.2531010637586194
4,23,mean,meas,0.21928366973212352
4,23,mean,ref,0.19288968824940048
4,23,sd,meas,0.1222273604145985
4,23,sd,ref,0.08643145524583161
4,23,kurtosis,meas,12.74212725751622
4,23,kurtosis,ref,12.692733524987018
4,23,skewness,meas,2.5524159727125246
4,23,skewness,ref,2.7360195892466392
4,23,KL,NA,0.06927938152894966
4,23,hellinger,NA,0.13344281276769074
4,23,euclidean,NA,0.09626436452217388
5,17,mean,meas,0.23318638666810368
5,17,mean,ref,0.2046040609137056
5,17,sd,meas,0.14158364427095402
5,17,sd,ref,0.09259958168370028
5,17,kurtosis,meas,9.437630585067255
5,17,kurtosis,ref,22.05810203454645
5,17,skewness,meas,2.480965458476971
5,17,skewness,ref,3.8640905018359426
5,17,KL,NA,0.11628076765327758
