mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.1862283098396214
0,11,mean,ref,0.167025
0,11,sd,meas,0.06024227730678378
0,11,sd,ref,0.044565482443630365
0,11,kurtosis,meas,4.60456130170358
0,11,kurtosis,ref,4.092449414169549
0,11,skewness,meas,0.6763047051483245
0,11,skewness,ref,0.5133353745428934
0,11,KL,NA,0.09307804878983009
0,11,hellinger,NA,0.16220945643065607
0,11,euclidean,NA,0.16393896946886338
1,21,mean,meas,0.19237111769936077
1,21,mean,ref,0.17610298507462688
1,21,sd,meas,0.07658391810558048
1,21,sd,ref,0.07074476633766048
1,21,kurtosis,meas,16.231517242886518
1,21,kurtosis,ref,40.90902223564871
1,21,skewness,meas,2.226290157831982
1,21,skewness,ref,4.3258371467825185
1,21,KL,NA,0.12619639583300535
1,21,hellinger,NA,0.18232566705757586
1,21,euclidean,NA,0.18942954691993474
2,10,mean,meas,0.18473718322159297
2,10,mean,ref,0.1645021582733813
2,10,sd,meas,0.06689206323241342
2,10,sd,ref,0.05745206931965428
2,10,kurtosis,meas,6.021024579962506
2,10,kurtosis,ref,7.5148867369823815
2,10,skewness,meas,1.5951466351410115
2,10,skewness,ref,1.8623678407628792
2,10,KL,NA,0.062863486902614
2,10,hellinger,NA,0.12619527024962662
2,10,euclidean,NA,0.13998050861111677
3,17,mean,meas,0.23395681945963967
3,17,mean,ref,0.2254656381486676
3,17,sd,meas,0.12308364144621238
3,17,sd,ref,0.12747049343600392
3,17,kurtosis,meas,6.9784929716160375
3,17,kurtosis,ref,8.024392179065371
3,17,skewness,meas,1.9724907934862377
3,17,skewness,ref,2.238767914022945
3,17,KL,NA,0.039339726669921214
3,17,hellinger,NA,0.09912618472474338
3,17,euclidean,NA,0.07269371702639556
4,26,mean,meas,0.21825147363158262
4,26,mean,ref,0.22157469512195122
4,26,sd,meas,0.12193972650721402
4,26,sd,ref,0.13746809950525357
4,26,kurtosis,meas,12.809830631238892
4,26,kurtosis,ref,16.308205923329506
4,26,skewness,meas,2.562233983565389
4,26,skewness,ref,3.0801928704055337
4,26,KL,NA,0.10880844131955943
4,26,hellinger,NA,0.11655328950679589
4,26,euclidean,NA,0.07530627236493022
5,20,mean,meas,0.23290079814102174
5,20,mean,ref,0.24851202263083452
5,20,sd,meas,0.14150037555440714
5,20,sd,ref,0.16364849814741098
5,20,kurtosis,meas,9.455277575517533
5,20,kurtosis,ref,10.818585885422833
5,20,skewness,meas,2.483562493116213
5,20,skewness,ref,2.761406625201441
5,20,KL,NA,0.11551384839638978
5,20,hellinger,NA,0.1189537270905125
5,20,euclidean,NA,0.10538768410446879
6,23,mean,meas,0.2053424956111081
6,23,mean,ref,0.21705424200278164
6,23,sd,meas,0.09848275941923955
6,23,sd,ref,0.10284085173848911
6,23,kurtosis,meas,16.570379696887795
6,23,kurtosis,ref,25.634318142337396
6,23,skewness,meas,2.938183046552555
6,23,skewness,ref,3.8913204911665265
6,23,KL,NA,0.11169281556125797
6,23,hellinger,NA,0.17140604246949814
6,23,euclidean,NA,0.15042932235831066
7,13,mean,meas,0.184413708054775
7,13,mean,ref,0.203049766718507
7,13,sd,meas,0.07597309388343254
7,13,sd,ref,0.0794798746785465
7,13,kurtosis,meas,12.796458379441049
7,13,kurtosis,ref,17.378783133610046
7,13,skewness,meas,2.771646446595144
7,13,skewness,ref,3.380625671051285
7,13,KL,NA,0.24716406764568402
7,13,hellinger,NA,0.23912737129946138
7,13,euclidean,NA,0.3302995109266433
8,16,mean,meas,0.180291351283401
8,16,mean,ref,0.19914307692307692
8,16,sd,meas,0.07722445758169508
8,16,sd,ref,0.08231320257841498
8,16,kurtosis,meas,11.824720491309247
8,16,kurtosis,ref,14.965678990630645
8,16,skewness,meas,2.5415998227555967
8,16,skewness,ref,3.0149672138551318
8,16,KL,NA,0.2024330374211477
8,16,hellinger,NA,0.2221460234391359
8,16,euclidean,NA,0.3331856039385253
9,8,mean,meas,0.167315996173633
9,8,mean,ref,0.16527111111111112
9,8,sd,meas,0.05121819433376192
9,8,sd,ref,0.03891025561580189
9,8,kurtosis,meas,5.570909229024072
9,8,kurtosis,ref,13.794052006211967
9,8,skewness,meas,1.3492150587857212
9,8,skewness,ref,2.612014944665963
9,8,KL,NA,0.08548841026998297
9,8,hellinger,NA,0.1759413692815547
9,8,euclidean,NA,0.15681118017446713
10,15,mean,meas,0.19675441506926017
10,15,mean,ref,0.1897510548523207
10,15,sd,meas,0.08129043392076563
10,15,sd,ref,0.07486102557602434
10,15,kurtosis,meas,5.38591855520522
10,15,kurtosis,ref,10.378289455265316
10,15,skewness,meas,1.2276822900593345
10,15,skewness,ref,2.1451824671360273
10,15,KL,NA,0.12152899970964576
10,15,hellinger,NA,0.20803539272320354
10,15,euclidean,NA,0.14675862506039208
11,17,mean,meas,0.2487613293505402
11,17,mean,ref,0.26380576631259484
11,17,sd,meas,0.13379849948193634
11,17,sd,ref,0.17469638072331015
11,17,kurtosis,meas,6.899956993711602
11,17,kurtosis,ref,5.98316650244296
11,17,skewness,meas,2.0821672969704297
11,17,skewness,ref,2.03625816483247
11,17,KL,NA,0.19000969522188543
11,17,hellinger,NA,0.16409133338019874
11,17,euclidean,NA,0.054251960132128005
12,13,mean,meas,0.22966470211354953
12,13,mean,ref,0.22531467473524963
12,13,sd,meas,0.06566560530529612
12,13,sd,ref,0.0630238356503588
12,13,kurtosis,meas,3.5270153394020585
12,13,kurtosis,ref,8.195390794738442
12,13,skewness,meas,0.5156546879713072
12,13,skewness,ref,1.1844718507540497
12,13,KL,NA,0.0543282916077198
12,13,hellinger,NA,0.0934381946851154
12,13,euclidean,NA,0.08198015178299585
13,13,mean,meas,0.23846641015070866
13,13,mean,ref,0.23812056737588652
13,13,sd,meas,0.07262830314972873
13,13,sd,ref,0.06525699579108456
13,13,kurtosis,meas,3.934096221458553
13,13,kurtosis,ref,7.2964632946740675
13,13,skewness,meas,0.9357940223984963
13,13,skewness,ref,1.4852513639501062
13,13,KL,NA,0.06443534546794318
13,13,hellinger,NA,0.13067021193511366
13,13,euclidean,NA,0.10453980007827673
14,12,mean,meas,0.23877534557181426
14,12,mean,ref,0.23498045602605863
14,12,sd,meas,0.07986672312033569
14,12,sd,ref,0.08164753123272346
14,12,kurtosis,meas,6.553890633434161
14,12,kurtosis,ref,8.293958300040147
14,12,skewness,meas,1.5416715468314375
14,12,skewness,ref,1.938317005380947
14,12,KL,NA,0.05458247775028392
14,12,hellinger,NA,0.10241954774588594
14,12,euclidean,NA,0.10161221165895025
15,17,mean,meas,0.24081257361524008
15,17,mean,ref,0.248734375
15,17,sd,meas,0.09932900910830644
15,17,sd,ref,0.10921505354354409
15,17,kurtosis,meas,6.759962975933361
15,17,kurtosis,ref,7.337721895615286
15,17,skewness,meas,1.814414515292383
15,17,skewness,ref,1.9158819939489284
15,17,KL,NA,0.05642691976741997
15,17,hellinger,NA,0.08998216628958491
15,17,euclidean,NA,0.042935484443692565
16,21,mean,meas,0.24197831793259872
16,21,mean,ref,0.2703806078147612
16,21,sd,meas,0.13339393874977792
16,21,sd,ref,0.1634515524557957
16,21,kurtosis,meas,8.570141909649717
16,21,kurtosis,ref,9.738044009224884
16,21,skewness,meas,2.27014838290757
16,21,skewness,ref,2.5496729674956073
16,21,KL,NA,0.15644354668013372
16,21,hellinger,NA,0.17607737406510482
16,21,euclidean,NA,0.14629273842476323
17,22,mean,meas,0.24893202189037814
17,22,mean,ref,0.2737262569832402
17,22,sd,meas,0.13849644400226133
17,22,sd,ref,0.16053079066075154
17,22,kurtosis,meas,7.606665463414595
17,22,kurtosis,ref,10.562405151245182
17,22,skewness,meas,2.0302081354865384
17,22,skewness,ref,2.480317364255167
17,22,KL,NA,0.1338800421206216
17,22,hellinger,NA,0.15771088450742776
17,22,euclidean,NA,0.12226948654051083
18,22,mean,meas,0.21426273037272675
18,22,mean,ref,0.23947759103641456
18,22,sd,meas,0.0936746224067985
18,22,sd,ref,0.10500870291493651
18,22,kurtosis,meas,13.67520721062056
18,22,kurtosis,ref,21.236217454563732
18,22,skewness,meas,2.639111596393587
18,22,skewness,ref,3.4878071841494647
18,22,KL,NA,0.2789814969624724
18,22,hellinger,NA,0.28934319229361405
18,22,euclidean,NA,0.20959828273674444
19,19,mean,meas,0.18597103442313614
19,19,mean,ref,0.21783920367534457
19,19,sd,meas,0.08260156454734514
19,19,sd,ref,0.10476302587052812
19,19,kurtosis,meas,14.398261453740455
19,19,kurtosis,ref,20.627183398075093
19,19,skewness,meas,3.0167891955521307
19,19,skewness,ref,3.815653560661989
19,19,KL,NA,0.4352520940037942
19,19,hellinger,NA,0.35747976054583935
19,19,euclidean,NA,0.41576880354942836
20,16,mean,meas,0.173383362868713
20,16,mean,ref,0.19819427710843374
20,16,sd,meas,0.07125442542153346
20,16,sd,ref,0.0791904356308528
20,16,kurtosis,meas,14.985935694430458
20,16,kurtosis,ref,21.65480344162685
20,16,skewness,meas,2.880268273240264
20,16,skewness,ref,3.6463204649614585
20,16,KL,NA,0.42228222322846304
20,16,hellinger,NA,0.3096845550479907
20,16,euclidean,NA,0.4600210918173044
21,23,mean,meas,0.21168786550295676
21,23,mean,ref,0.17367857142857143
21,23,sd,meas,0.08808772574696096
21,23,sd,ref,0.036218267611496394
21,23,kurtosis,meas,36.114038220367334
21,23,kurtosis,ref,11.879975682400188
21,23,skewness,meas,4.167113280773543
21,23,skewness,ref,2.514435602089894
21,23,KL,NA,0.34477368378708206
21,23,hellinger,NA,0.3256656071379881
21,23,euclidean,NA,0.40594543383232745
22,0,mean,meas,0.23791483109262032
22,0,mean,ref,NA
22,0,sd,meas,0.08328959834935243
22,0,sd,ref,NA
22,0,kurtosis,meas,11.577140483254118
22,0,kurtosis,ref,NA
22,0,skewness,meas,2.1460685792228458
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.22230072012350197
23,0,mean,ref,NA
23,0,sd,meas,0.07512648531128277
23,0,sd,ref,NA
23,0,kurtosis,meas,48.77851517851438
23,0,kurtosis,ref,NA
23,0,skewness,meas,4.1556736452647645
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,0.25453471552867
24,0,mean,ref,NA
24,0,sd,meas,0.07722838367007284
24,0,sd,ref,NA
24,0,kurtosis,meas,3.9838118174151007
24,0,kurtosis,ref,NA
24,0,skewness,meas,1.026496500267668
24,0,skewness,ref,NA
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,0.28514580656782895
25,0,mean,ref,NA
25,0,sd,meas,0.08857446110287566
25,0,sd,ref,NA
25,0,kurtosis,meas,4.9151631659075825
25,0,kurtosis,ref,NA
25,0,skewness,meas,1.074000747073294
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,0.269317054234834
26,0,mean,ref,NA
26,0,sd,meas,0.09369834563171062
26,0,sd,ref,NA
26,0,kurtosis,meas,4.974873291163438
26,0,kurtosis,ref,NA
26,0,skewness,meas,1.379800182761301
26,0,skewness,ref,NA
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,0.2977823784215852
27,0,mean,ref,NA
27,0,sd,meas,0.133503639955143
27,0,sd,ref,NA
27,0,kurtosis,meas,9.799635226289304
27,0,kurtosis,ref,NA
27,0,skewness,meas,2.0296365509028393
27,0,skewness,ref,NA
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,0,mean,meas,0.2928730484208977
28,0,mean,ref,NA
28,0,sd,meas,0.14873086308481123
28,0,sd,ref,NA
28,0,kurtosis,meas,9.222686286784961
28,0,kurtosis,ref,NA
28,0,skewness,meas,2.2002873497460955
28,0,skewness,ref,NA
28,0,KL,NA,NA
28,0,hellinger,NA,NA
28,0,euclidean,NA,NA
29,0,mean,meas,0.27879330347779835
29,0,mean,ref,NA
29,0,sd,meas,0.1414827241377663
29,0,sd,ref,NA
29,0,kurtosis,meas,5.395035455432132
29,0,kurtosis,ref,NA
29,0,skewness,meas,1.5621008623091654
29,0,skewness,ref,NA
29,0,KL,NA,NA
29,0,hellinger,NA,NA
29,0,euclidean,NA,NA
30,0,mean,meas,0.28947566510321027
30,0,mean,ref,NA
30,0,sd,meas,0.14904442545364563
30,0,sd,ref,NA
30,0,kurtosis,meas,8.228713688222022
30,0,kurtosis,ref,NA
30,0,skewness,meas,2.1224986419905365
30,0,skewness,ref,NA
30,0,KL,NA,NA
30,0,hellinger,NA,NA
30,0,euclidean,NA,NA
31,0,mean,meas,0.22243615724372143
31,0,mean,ref,NA
31,0,sd,meas,0.08846492478285249
31,0,sd,ref,NA
31,0,kurtosis,meas,6.360252567783166
31,0,kurtosis,ref,NA
31,0,skewness,meas,1.6412326040067977
31,0,skewness,ref,NA
31,0,KL,NA,NA
31,0,hellinger,NA,NA
31,0,euclidean,NA,NA
32,0,mean,meas,0.20727598564189492
32,0,mean,ref,NA
32,0,sd,meas,0.08204819828414521
32,0,sd,ref,NA
32,0,kurtosis,meas,18.036096327190887
32,0,kurtosis,ref,NA
32,0,skewness,meas,3.0844108644658146
32,0,skewness,ref,NA
32,0,KL,NA,NA
32,0,hellinger,NA,NA
32,0,euclidean,NA,NA
33,0,mean,meas,0.19997908648497514
33,0,mean,ref,NA
33,0,sd,meas,0.069213160970261145
33,0,sd,ref,NA
33,0,kurtosis,meas,8.797112713237697
33,0,kurtosis,ref,NA
33,0,skewness,meas,1.8863769614248056
33,0,skewness,ref,NA
33,0,KL,NA,NA
33,0,hellinger,NA,NA
33,0,euclidean,NA,NA
34,0,mean,meas,0.21890610043310638
34,0,mean,ref,NA
