mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.05159947346278134,0.05159947346278134
1,1,0,0,0,0.07758821670252382,0.07758821670252382
2,1,0,0,0,0.0688154817325843,0.0688154817325843
3,1,0,0,0,0.12544990001866868,0.12544990001866868
4,1,0,0,0,0.1222273604145985,0.1222273604145985
5,1,0,0,0,0.14158364427095402,0.14158364427095402
6,1,0,0,0,0.0986043715741452,0.0986043715741452
7,1,0,0,0,0.07597309388343254,0.07597309388343254
8,1,0,0,0,0.07737401976968458,0.07737401976968458
9,1,0,0,0,0.05098198662186648,0.05098198662186648
10,1,0,0,0,0.08354287293060682,0.08354287293060682
11,1,0,0,0,0.1390284883189157,0.1390284883189157
12,0.03218096441649599,0.08148711045419231,0.03948310626242838,0.041285154483541364,0.06060089166106393,0.05159947346278134
13,0.003381134023403769,0.11767153697831151,0.04058899213177568,0.04141874757929427,0.07288016940727593,0.07758821670252382
14,1.0412504836585304e-5,0.12177790573586045,0.06589519047679086,0.05549018364262842,0.08032482679927491,0.0688154817325843
15,0.001963401560467565,0.1596293172144309,-0.0030624161445412237,0.016299652845870483,0.10092976147044751,0.12544990001866868
16,0.0011507140352524064,0.1804966262435376,0.03188940525370413,0.022392325719125555,0.134584254158201,0.1222273604145985
17,8.056475723187411e-4,0.19753579208221955,0.024142497834867247,0.011363195192202108,0.14067698299909162,0.14158364427095402
18,0.028641275417446935,0.12523597256423774,0.009657557516392612,0.013135156432759296,0.09441906973744445,0.0986043715741452
19,6.19994273240412e-4,0.11541934742662453,0.0026603227468130655,0.002745324958829405,0.08479999661541034,0.07597309388343254
20,1.0494152347455328e-4,0.10397895258906455,-0.007382393591865004,-0.004523865285961964,0.07063326960669418,0.07737401976968458
21,0.005233270076172369,0.11806048859299871,0.03949859732102655,0.03670791819590141,0.0895533671767888,0.05098198662186648
22,0.020627691433969253,0.12249918042384982,0.03475410003597265,0.027238845442093443,0.0888179861168751,0.08354287293060682
23,1.0646520990390925e-4,0.1844802244133291,-0.043834674321574674,0.002708873035062842,0.0878651819915318,0.1390284883189157
24,0.015188734468377233,0.10782895075353491,0.05859339359657397,0.04573091654901655,0.07525044243142236,0.05159947346278134
25,0.07986871267072354,0.1361312636069836,0.08857947351729928,0.08558041627810485,0.0915577073109625,0.07758821670252382
26,0.03492706070982719,0.13876697619854414,0.08582455071493898,0.07547934956131541,0.09534347026148825,0.0688154817325843
27,0.05768627121477782,0.16857014694160094,0.06236667905412392,0.0663585767529215,0.12681087043726497,0.12544990001866868
28,0.0014136738951540514,0.21289566147400574,0.07362744370982607,0.06723070059293418,0.15270468310457852,0.1222273604145985
29,0.020260897779166495,0.22275624844854422,0.045188680496303785,0.05282455914493829,0.14192303981626425,0.14158364427095402
30,0.012829320306412243,0.1887445883684135,0.0819196644825335,0.07183675502162479,0.1490903527061744,0.0986043715741452
31,0.018190384725324128,0.11437011110964913,0.036932123833631,0.0334264312940627,0.08792920742892112,0.07597309388343254
32,0.033876084685360616,0.10510303923996656,0.03238022801592129,0.03224257388375394,0.0829044516911613,0.07737401976968458
33,0.03675050344472765,0.08654157159434449,0.031681126850309216,0.02446405686326135,0.07053183875717293,0.05098198662186648
34,0.13628014988211623,0.08714222197177643,0.013363014278631213,0.013633029035961697,0.0682325223568451,0.08354287293060682
35,0.12989458561869538,0.07263662877167722,0.013267678047880227,0.004114498868769953,0.06467620550897585,0.05699246148037935
