mos_into_deployment,pdf_resolution,statistic,plottype,value
0,9,mean,meas,0.20781132720350842
0,9,mean,ref,0.20781132720350842
0,9,sd,meas,0.05159947346278134
0,9,sd,ref,0.05159947346278134
0,9,kurtosis,meas,8.209329975226854
0,9,kurtosis,ref,8.209329975226854
0,9,skewness,meas,1.269692947198981
0,9,skewness,ref,1.269692947198981
0,9,KL,NA,0
0,9,hellinger,NA,0
0,9,euclidean,NA,0
1,17,mean,meas,0.21676034735003955
1,17,mean,ref,0.21676034735003955
1,17,sd,meas,0.07758821670252382
1,17,sd,ref,0.07758821670252382
1,17,kurtosis,meas,19.603908024030066
1,17,kurtosis,ref,19.603908024030066
1,17,skewness,meas,2.730533418611435
1,17,skewness,ref,2.730533418611435
1,17,KL,NA,0
1,17,hellinger,NA,0
1,17,euclidean,NA,0
2,10,mean,meas,0.18778216924448374
2,10,mean,ref,0.18778216924448374
2,10,sd,meas,0.0688154817325843
2,10,sd,ref,0.0688154817325843
2,10,kurtosis,meas,5.724855487965685
2,10,kurtosis,ref,5.724855487965685
2,10,skewness,meas,1.5653823672350118
2,10,skewness,ref,1.5653823672350118
2,10,KL,NA,0
2,10,hellinger,NA,0
2,10,euclidean,NA,0
3,15,mean,meas,0.24285411485456113
3,15,mean,ref,0.24285411485456113
3,15,sd,meas,0.12544990001866868
3,15,sd,ref,0.12544990001866868
3,15,kurtosis,meas,6.53727401206417
3,15,kurtosis,ref,6.53727401206417
3,15,skewness,meas,1.8966975165494087
3,15,skewness,ref,1.8966975165494087
3,15,KL,NA,0
3,15,hellinger,NA,0
3,15,euclidean,NA,0
4,23,mean,meas,0.21928366973212352
4,23,mean,ref,0.21928366973212352
4,23,sd,meas,0.1222273604145985
4,23,sd,ref,0.1222273604145985
4,23,kurtosis,meas,12.74212725751622
4,23,kurtosis,ref,12.74212725751622
4,23,skewness,meas,2.5524159727125246
4,23,skewness,ref,2.5524159727125246
4,23,KL,NA,0
4,23,hellinger,NA,0
4,23,euclidean,NA,0
5,17,mean,meas,0.23318638666810368
5,17,mean,ref,0.23318638666810368
5,17,sd,meas,0.14158364427095402
5,17,sd,ref,0.14158364427095402
5,17,kurtosis,meas,9.437630585067255
5,17,kurtosis,ref,9.437630585067255
5,17,skewness,meas,2.480965458476971
