mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.007380205307494838,0.1502497614615095,0.05608848793093255,0.029666923774877785,0.11309119576046826,0.03376820096042868
2,0.03789867520488721,0.14595442433288472,0.039534155959991345,0.030905350998162044,0.11274709735867912,0.04277363320240282
3,0.5046873877756618,0.048293118166737356,0.03307265149444469,0.0320048783690009,0.034460134460947395,0.04990673526965498
4,0.3065830429855262,0.06596128466637348,0.02626756990779283,0.032023716625433296,0.02920201638534881,0.07175205782149158
5,0.00558705473667797,0.35002299318236585,0.06354803008979355,0.036883986086751,0.22816463096723125,0.05804475922589105
6,0.6242530390846219,0.05036003684158375,0.028044911519844687,0.03221580202104645,0.06168408916296595,0.06663804922586447
7,0.5169240267804219,0.060529464843591424,0.013912228630738281,0.021367298717890892,0.08817293810288769,0.08452064385709424
8,0.6407393412202509,0.04531914218771372,-0.005119161392904927,0.0022987641620814125,0.08702274890226089,0.07471943068146579
9,0.7570307375516429,0.05791736293657456,-0.01998351380004604,-0.006024010179291189,0.09372156750930878,0.09491715462631291
10,0.6414048827225655,0.054823414297962246,-0.008005738679621743,-0.0019923024036684334,0.07046783058387239,0.08990904236702865
11,0.08717250712076897,0.08494675277492665,0.001809204658860141,-0.0030050757215037,0.10989512518280452,0.03770530433081714
12,0.4463110812207537,0.13901810506898596,0.0893040848116474,0.07859320993351121,0.1394744818457064,0.07842568085672177
13,0.05631911764416067,0.15310843538485752,0.10095811263236351,0.08554663524888026,0.10889463304263215,0.037142545451831696
14,NA,NA,NA,NA,NA,0.06330303329182467
15,NA,NA,NA,NA,NA,0.2159234410018994
16,NA,NA,NA,NA,NA,0.05349745862777183
17,NA,6.478840432952607,6.478840432952607,6.478840432952607,NA,0.05333790745739856
18,NA,NA,NA,NA,NA,0.056539515479575704
19,1,4.043697530249345,3.706345737793563,3.706345737793563,2.06468602285172,0.0850974902626561
20,NA,NA,NA,NA,NA,0.11177450261606937
21,NA,NA,NA,NA,NA,0.09384091632355021
22,NA,NA,NA,NA,NA,0.049890438325774236
23,NA,NA,NA,NA,NA,0.05288029817029627
24,NA,NA,NA,NA,NA,0.07871938882504168
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,0.11515297011327068,NA
30,NA,NA,NA,NA,0.08291783562362244,NA
31,NA,NA,NA,NA,0.18020030122712394,NA
32,NA,NA,NA,NA,0.21208378326115734,NA
33,NA,NA,NA,NA,0.1785529870946053,NA
34,NA,NA,NA,NA,0.19278809421825954,NA
35,NA,NA,NA,NA,0.12543735806743322,NA
36,NA,NA,NA,NA,0.09354611413290839,NA
37,NA,NA,NA,NA,0.07588243918489797,NA
38,NA,NA,NA,NA,0.04475615011343666,NA
