mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.0012195391511718933,0.12690362457929438,0.026969771045832775,0.011574217669204495,0.11309119576046826,0.042609017151933784
2,0.04856940560652945,0.1182101183982435,0.03512218211662628,0.031907540803327354,0.11191499967535824,0.04193019206780026
3,0.4762794687057808,0.04861589885751034,0.026863741810468866,0.02898302764469282,0.034460134460947395,0.055855789224317456
4,0.3488084496551858,0.05166443150221694,0.02138360515740781,0.02621434184187721,0.02920201638534881,0.05795993953716247
5,0.02907633337646907,0.21001969266736759,0.031021070451404356,0.02277170288240954,0.20340732396900177,0.060032752596627284
6,0.6764353558884878,0.05417326366106738,0.022265827814387625,0.028469506181144293,0.06168408916296595,0.08560680509490962
7,0.6753204668931122,0.07056128182818416,0.006302158483009654,0.01865921144598709,0.08817293810288769,0.12152418327680736
8,0.666330371984211,0.08002037766283238,-0.012579544492700295,0.007811926389342083,0.08702274890226089,0.1325827532711999
9,0.7466986608446619,0.099984815103530425,-0.03448523032379742,-0.010410538001235203,0.09372156750930878,0.16270329570327163
10,0.5380137549883877,0.08044912522972082,-0.011994389072486903,-0.0027910174467816184,0.07046783058387239,0.11538812182159876
11,0.07622208415824364,0.10996296205814098,0.0014854924956212358,-0.0014387664076795925,0.10989512518280452,0.057262323739951
12,0.35961695599958754,0.13876107146222122,0.07913865970798513,0.0619395388501722,0.13733459865295436,0.07779075163424246
13,0.09554775759336803,0.1241254284903974,0.06867701674774139,0.033620030730357256,0.1082969550173466,0.035906958321864545
14,NA,NA,NA,NA,NA,0.07538091533093942
15,NA,NA,NA,NA,NA,0.17650935192332098
16,NA,NA,NA,NA,NA,0.052330794660788424
17,NA,6.478840432952607,6.478840432952607,6.478840432952607,NA,0.06798907933976561
18,NA,NA,NA,NA,NA,0.08861616512368836
19,0.1386733589372162,3.0510664276834776,2.463963367854292,2.0954550153588727,2.06468602285172,0.11432128726134959
20,NA,NA,NA,NA,NA,0.1654859351485836
21,NA,NA,NA,NA,NA,0.15392715440374308
22,NA,NA,NA,NA,NA,0.10715568184791417
23,NA,NA,NA,NA,NA,0.10492841217718145
24,NA,NA,NA,NA,NA,0.07349601368845475
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,0.10124359116870008,NA
30,NA,NA,NA,NA,0.08166150522250577,NA
31,NA,NA,NA,NA,0.18068965795485772,NA
32,NA,NA,NA,NA,0.20400313713437815,NA
33,NA,NA,NA,NA,0.18063915317322837,NA
34,NA,NA,NA,NA,0.1895766711754953,NA
35,NA,NA,NA,NA,0.12240155063143073,NA
36,NA,NA,NA,NA,0.09999844639740005,NA
37,NA,NA,NA,NA,0.07117805818165691,NA
38,NA,NA,NA,NA,0.044211783740511934,NA
