mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.11309119576046826,0.11309119576046826
2,1,0,0,0,0.11191499967535824,0.11191499967535824
3,1,0,0,0,0.034460134460947395,0.034460134460947395
4,1,0,0,0,0.02920201638534881,0.02920201638534881
5,1,0,0,0,0.20340732396900177,0.20340732396900177
6,1,0,0,0,0.06168408916296595,0.06168408916296595
7,1,0,0,0,0.08817293810288769,0.08817293810288769
8,1,0,0,0,0.08702274890226089,0.08702274890226089
9,1,0,0,0,0.09372156750930878,0.09372156750930878
10,1,0,0,0,0.07046783058387239,0.07046783058387239
11,1,0,0,0,0.10989512518280452,0.10989512518280452
12,7.962299039560742e-4,0.2203475263401144,0.06072759109884036,0.032864440908665804,0.13733459865295436,0.11309119576046826
13,NA,NA,NA,NA,0.1082969550173466,NA
14,NA,NA,NA,NA,NA,0.11191499967535824
15,NA,NA,NA,NA,NA,0.034460134460947395
16,NA,NA,NA,NA,NA,0.02920201638534881
17,NA,NA,NA,NA,NA,0.20340732396900177
18,NA,NA,NA,NA,NA,0.06168408916296595
19,0.7531205734049933,3.0541075806048648,2.49860115912921,2.1175144057659514,2.06468602285172,0.08817293810288769
20,NA,NA,NA,NA,NA,0.08702274890226089
21,NA,NA,NA,NA,NA,0.09372156750930878
22,NA,NA,NA,NA,NA,0.07046783058387239
23,NA,NA,NA,NA,NA,0.10989512518280452
24,NA,NA,NA,NA,NA,0.11309119576046826
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,0.11191499967535824
27,NA,NA,NA,NA,NA,0.034460134460947395
28,NA,NA,NA,NA,NA,0.02920201638534881
29,0.0030325851840071793,0.22371614574511656,0.025989455243724535,0.0345349529290135,0.10124359116870008,0.20340732396900177
30,2.4225564582433823e-6,0.10319259745858442,0.014341598586866252,0.0038805286380033943,0.08166150522250577,0.06168408916296595
31,0.10578255816106544,0.17751126124954353,0.038612326948581605,-0.003929234305336801,0.18068965795485772,0.08817293810288769
32,0.004235407791857612,0.23345528310882935,0.055318235558137786,-0.00231232579826271,0.20400313713437815,0.08702274890226089
33,0.00457921687122754,0.21070708460505447,0.02661211480050991,-0.005161088732192093,0.18063915317322837,0.09372156750930878
34,0.022372148984821056,0.19343173753403564,0.023595137533535784,-0.020939430951416156,0.1895766711754953,0.07046783058387239
35,1.334789664254334e-4,0.15373487354513646,-0.001160216188242248,-0.02207858987791389,0.12240155063143073,0.10989512518280452
36,0.010409327349293016,0.18288102645906504,-0.004871041992222484,-0.02679798084289739,0.09999844639740005,0.11309119576046826
37,NA,NA,NA,NA,0.07117805818165691,NA
38,NA,NA,NA,NA,0.044211783740511934,0.11489954352205299
