mos_into_deployment,pdf_resolution,statistic,plottype,value
0,25,mean,meas,0.21367966372916863
0,25,mean,ref,0.21367966372916863
0,25,sd,meas,0.11309119576046826
0,25,sd,ref,0.11309119576046826
0,25,kurtosis,meas,73.32122049794404
0,25,kurtosis,ref,73.32122049794404
0,25,skewness,meas,7.660155279557355
0,25,skewness,ref,7.660155279557355
0,25,KL,NA,0
0,25,hellinger,NA,0
0,25,euclidean,NA,0
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,40,mean,meas,0.19093481063941944
2,40,mean,ref,0.19093481063941944
2,40,sd,meas,0.11191499967535824
2,40,sd,ref,0.11191499967535824
2,40,kurtosis,meas,257.3627274425025
2,40,kurtosis,ref,257.3627274425025
2,40,skewness,meas,15.098305285233518
2,40,skewness,ref,15.098305285233518
2,40,KL,NA,0
2,40,hellinger,NA,0
2,40,euclidean,NA,0
3,6,mean,meas,0.18254517086369446
3,6,mean,ref,0.18254517086369446
3,6,sd,meas,0.034460134460947395
3,6,sd,ref,0.034460134460947395
3,6,kurtosis,meas,5.098519032133453
3,6,kurtosis,ref,5.098519032133453
3,6,skewness,meas,1.038486861386266
3,6,skewness,ref,1.038486861386266
3,6,KL,NA,0
3,6,hellinger,NA,0
3,6,euclidean,NA,0
4,5,mean,meas,0.185263963883701
4,5,mean,ref,0.185263963883701
4,5,sd,meas,0.02920201638534881
4,5,sd,ref,0.02920201638534881
4,5,kurtosis,meas,4.55878560748032
4,5,kurtosis,ref,4.55878560748032
4,5,skewness,meas,0.8915819720581455
4,5,skewness,ref,0.8915819720581455
4,5,KL,NA,0
4,5,hellinger,NA,0
4,5,euclidean,NA,0
5,91,mean,meas,0.20302434884253953
5,91,mean,ref,0.20302434884253953
5,91,sd,meas,0.20340732396900177
5,91,sd,ref,0.20340732396900177
5,91,kurtosis,meas,363.6073896221309
5,91,kurtosis,ref,363.6073896221309
5,91,skewness,meas,17.763077916840864
5,91,skewness,ref,17.763077916840864
5,91,KL,NA,0
5,91,hellinger,NA,0
5,91,euclidean,NA,0
6,12,mean,meas,0.2005106223281058
6,12,mean,ref,0.2005106223281058
6,12,sd,meas,0.06168408916296595
6,12,sd,ref,0.06168408916296595
6,12,kurtosis,meas,16.653091557909026
6,12,kurtosis,ref,16.653091557909026
6,12,skewness,meas,2.7441114307246264
6,12,skewness,ref,2.7441114307246264
6,12,KL,NA,0
6,12,hellinger,NA,0
6,12,euclidean,NA,0
7,12,mean,meas,0.22264042501948686
7,12,mean,ref,0.22264042501948686
7,12,sd,meas,0.08817293810288769
7,12,sd,ref,0.08817293810288769
7,12,kurtosis,meas,8.752348653125162
7,12,kurtosis,ref,8.752348653125162
7,12,skewness,meas,2.204672936287967
7,12,skewness,ref,2.204672936287967
7,12,KL,NA,0
7,12,hellinger,NA,0
7,12,euclidean,NA,0
8,19,mean,meas,0.2030586332399896
8,19,mean,ref,0.2030586332399896
8,19,sd,meas,0.08702274890226089
8,19,sd,ref,0.08702274890226089
8,19,kurtosis,meas,27.180939629475464
8,19,kurtosis,ref,27.180939629475464
8,19,skewness,meas,4.004905119282393
8,19,skewness,ref,4.004905119282393
8,19,KL,NA,0
8,19,hellinger,NA,0
8,19,euclidean,NA,0
9,17,mean,meas,0.2158567843744058
9,17,mean,ref,0.2158567843744058
9,17,sd,meas,0.09372156750930878
9,17,sd,ref,0.09372156750930878
9,17,kurtosis,meas,15.580454695264818
9,17,kurtosis,ref,15.580454695264818
9,17,skewness,meas,3.062186209795235
9,17,skewness,ref,3.062186209795235
9,17,KL,NA,0
9,17,hellinger,NA,0
9,17,euclidean,NA,0
10,12,mean,meas,0.22073548368828125
10,12,mean,ref,0.22073548368828125
10,12,sd,meas,0.07046783058387239
10,12,sd,ref,0.07046783058387239
10,12,kurtosis,meas,14.133023887792708
10,12,kurtosis,ref,14.133023887792708
10,12,skewness,meas,2.5167058235972255
10,12,skewness,ref,2.5167058235972255
10,12,KL,NA,0
10,12,hellinger,NA,0
10,12,euclidean,NA,0
11,46,mean,meas,0.1896919863802013
11,46,mean,ref,0.1896919863802013
11,46,sd,meas,0.10989512518280452
11,46,sd,ref,0.10989512518280452
11,46,kurtosis,meas,262.2548443187122
11,46,kurtosis,ref,262.2548443187122
11,46,skewness,meas,14.59486517389576
11,46,skewness,ref,14.59486517389576
11,46,KL,NA,0
11,46,hellinger,NA,0
11,46,euclidean,NA,0
12,28,mean,meas,0.2619931425157641
12,28,mean,ref,0.21367966372916863
12,28,sd,meas,0.13733459865295436
12,28,sd,ref,0.11309119576046826
12,28,kurtosis,meas,13.191379293505618
12,28,kurtosis,ref,73.32122049794404
12,28,skewness,meas,2.297957634476785
12,28,skewness,ref,7.660155279557355
12,28,KL,NA,0.5896679839883888
12,28,hellinger,NA,0.39968857170219785
12,28,euclidean,NA,0.42487298973653315
13,0,mean,meas,0.23148597168168172
13,0,mean,ref,NA
13,0,sd,meas,0.1082969550173466
13,0,sd,ref,NA
13,0,kurtosis,meas,10.455276255402635
13,0,kurtosis,ref,NA
13,0,skewness,meas,1.9064383383033894
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,NA
14,0,mean,ref,0.19093481063941944
14,0,sd,meas,NA
14,0,sd,ref,0.11191499967535824
14,0,kurtosis,meas,NA
14,0,kurtosis,ref,257.3627274425025
14,0,skewness,meas,NA
14,0,skewness,ref,15.098305285233518
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,NA
15,0,mean,ref,0.18254517086369446
15,0,sd,meas,NA
15,0,sd,ref,0.034460134460947395
15,0,kurtosis,meas,NA
15,0,kurtosis,ref,5.098519032133453
15,0,skewness,meas,NA
15,0,skewness,ref,1.038486861386266
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,NA
16,0,mean,ref,0.185263963883701
16,0,sd,meas,NA
16,0,sd,ref,0.02920201638534881
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,4.55878560748032
16,0,skewness,meas,NA
16,0,skewness,ref,0.8915819720581455
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,6.702840432952607
17,0,mean,ref,0.20302434884253953
17,0,sd,meas,NA
17,0,sd,ref,0.20340732396900177
17,0,kurtosis,meas,NA
17,0,kurtosis,ref,363.6073896221309
17,0,skewness,meas,NA
17,0,skewness,ref,17.763077916840864
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,NA
18,0,mean,ref,0.2005106223281058
18,0,sd,meas,NA
18,0,sd,ref,0.06168408916296595
18,0,kurtosis,meas,NA
18,0,kurtosis,ref,16.653091557909026
18,0,skewness,meas,NA
18,0,skewness,ref,2.7441114307246264
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,109,mean,meas,2.6664633678542917
19,109,mean,ref,0.22264042501948686
19,109,sd,meas,2.06468602285172
19,109,sd,ref,0.08817293810288769
19,109,kurtosis,meas,2.0853580999513692
19,109,kurtosis,ref,8.752348653125162
19,109,skewness,meas,0.6150497974742561
19,109,skewness,ref,2.204672936287967
19,109,KL,NA,11.997139176411679
19,109,hellinger,NA,0.9737311822384451
19,109,euclidean,NA,0.7070045789253031
20,0,mean,meas,NA
20,0,mean,ref,0.2030586332399896
20,0,sd,meas,NA
20,0,sd,ref,0.08702274890226089
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,27.180939629475464
20,0,skewness,meas,NA
20,0,skewness,ref,4.004905119282393
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,NA
21,0,mean,ref,0.2158567843744058
21,0,sd,meas,NA
21,0,sd,ref,0.09372156750930878
21,0,kurtosis,meas,NA
21,0,kurtosis,ref,15.580454695264818
21,0,skewness,meas,NA
21,0,skewness,ref,3.062186209795235
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,NA
22,0,mean,ref,0.22073548368828125
22,0,sd,meas,NA
22,0,sd,ref,0.07046783058387239
22,0,kurtosis,meas,NA
22,0,kurtosis,ref,14.133023887792708
22,0,skewness,meas,NA
22,0,skewness,ref,2.5167058235972255
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,NA
23,0,mean,ref,0.1896919863802013
23,0,sd,meas,NA
23,0,sd,ref,0.10989512518280452
23,0,kurtosis,meas,NA
23,0,kurtosis,ref,262.2548443187122
23,0,skewness,meas,NA
23,0,skewness,ref,14.59486517389576
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,0.21367966372916863
24,0,sd,meas,NA
24,0,sd,ref,0.11309119576046826
24,0,kurtosis,meas,NA
24,0,kurtosis,ref,73.32122049794404
24,0,skewness,meas,NA
24,0,skewness,ref,7.660155279557355
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,NA
25,0,mean,ref,NA
25,0,sd,meas,NA
25,0,sd,ref,NA
25,0,kurtosis,meas,NA
25,0,kurtosis,ref,NA
25,0,skewness,meas,NA
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,NA
26,0,mean,ref,0.19093481063941944
26,0,sd,meas,NA
26,0,sd,ref,0.11191499967535824
26,0,kurtosis,meas,NA
26,0,kurtosis,ref,257.3627274425025
26,0,skewness,meas,NA
26,0,skewness,ref,15.098305285233518
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,NA
27,0,mean,ref,0.18254517086369446
27,0,sd,meas,NA
27,0,sd,ref,0.034460134460947395
27,0,kurtosis,meas,NA
27,0,kurtosis,ref,5.098519032133453
27,0,skewness,meas,NA
27,0,skewness,ref,1.038486861386266
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,0,mean,meas,NA
28,0,mean,ref,0.185263963883701
28,0,sd,meas,NA
28,0,sd,ref,0.02920201638534881
28,0,kurtosis,meas,NA
