mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.21078606065564853
0,0,mean,ref,NA
0,0,sd,meas,0.05348190221002797
0,0,sd,ref,NA
0,0,kurtosis,meas,3.726100222806954
0,0,kurtosis,ref,NA
0,0,skewness,meas,0.9156322314040737
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.2692343782996965
1,0,mean,ref,NA
1,0,sd,meas,0.20956898783934938
1,0,sd,ref,NA
1,0,kurtosis,meas,16.09240372208088
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.9538222878516596
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.25507620365575356
2,0,mean,ref,NA
2,0,sd,meas,0.1186859711001173
2,0,sd,ref,NA
2,0,kurtosis,meas,5.406000631032324
2,0,kurtosis,ref,NA
2,0,skewness,meas,1.4384239989033043
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.23333925377699466
3,0,mean,ref,NA
3,0,sd,meas,0.154525329033253
3,0,sd,ref,NA
3,0,kurtosis,meas,7.7517964948219875
3,0,kurtosis,ref,NA
3,0,skewness,meas,2.067737140226555
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.22189019708861
4,0,mean,ref,NA
4,0,sd,meas,0.16957889097834714
4,0,sd,ref,NA
4,0,kurtosis,meas,12.918717900261129
4,0,kurtosis,ref,NA
4,0,skewness,meas,2.6719073119221743
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.2074918412533513
5,0,mean,ref,NA
5,0,sd,meas,0.12467880358786546
5,0,sd,ref,NA
5,0,kurtosis,meas,9.486041604117515
5,0,kurtosis,ref,NA
5,0,skewness,meas,2.181624010898074
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.22959992563087794
6,0,mean,ref,NA
6,0,sd,meas,0.15694218693982076
6,0,sd,ref,NA
6,0,kurtosis,meas,33.4844942807278
6,0,kurtosis,ref,NA
6,0,skewness,meas,4.316912606709089
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.20493848920696042
7,0,mean,ref,NA
7,0,sd,meas,0.1432881312252449
7,0,sd,ref,NA
7,0,kurtosis,meas,31.742024862315805
7,0,kurtosis,ref,NA
7,0,skewness,meas,4.256117634942711
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.3220850730677642
8,0,mean,ref,NA
8,0,sd,meas,0.5010106616407468
8,0,sd,ref,NA
8,0,kurtosis,meas,102.21012497872393
8,0,kurtosis,ref,NA
8,0,skewness,meas,9.552817370007782
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.20914155098217005
9,0,mean,ref,NA
9,0,sd,meas,0.08390544254070532
9,0,sd,ref,NA
9,0,kurtosis,meas,6.329275740949913
9,0,kurtosis,ref,NA
9,0,skewness,meas,1.1938327060003742
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.2756394507081407
10,0,mean,ref,NA
10,0,sd,meas,0.12821199107698142
10,0,sd,ref,NA
10,0,kurtosis,meas,5.353869314728582
10,0,kurtosis,ref,NA
10,0,skewness,meas,1.6974787415703068
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.26145650476267585
11,0,mean,ref,NA
11,0,sd,meas,0.06675864451339895
11,0,sd,ref,NA
11,0,kurtosis,meas,2.710885591228266
11,0,kurtosis,ref,NA
11,0,skewness,meas,0.43630317904561977
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.26100869385619085
12,0,mean,ref,NA
12,0,sd,meas,0.0781185034155497
12,0,sd,ref,NA
12,0,kurtosis,meas,5.292073401385116
12,0,kurtosis,ref,NA
12,0,skewness,meas,1.2423032916804972
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.23687683264872256
13,0,mean,ref,NA
13,0,sd,meas,0.08381152946795059
13,0,sd,ref,NA
13,0,kurtosis,meas,7.9454669175148265
13,0,kurtosis,ref,NA
13,0,skewness,meas,1.9296244451816797
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.23291367421392273
14,0,mean,ref,NA
14,0,sd,meas,0.13876564594000235
14,0,sd,ref,NA
14,0,kurtosis,meas,9.62146748457439
14,0,kurtosis,ref,NA
14,0,skewness,meas,2.3440808123287993
14,0,skewness,ref,NA
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,0.20118870945730852
15,0,mean,ref,NA
15,0,sd,meas,0.12717383659947704
15,0,sd,ref,NA
15,0,kurtosis,meas,10.452866993166053
15,0,kurtosis,ref,NA
15,0,skewness,meas,2.4930174136246928
15,0,skewness,ref,NA
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,0.21749404036330083
16,0,mean,ref,NA
16,0,sd,meas,0.15103980149856625
16,0,sd,ref,NA
16,0,kurtosis,meas,7.1442750069801875
16,0,kurtosis,ref,NA
16,0,skewness,meas,2.0216954327977326
16,0,skewness,ref,NA
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,0.15012625984300457
17,0,mean,ref,NA
17,0,sd,meas,0.08446773000441236
17,0,sd,ref,NA
17,0,kurtosis,meas,20.1854962920373
17,0,kurtosis,ref,NA
17,0,skewness,meas,3.212715989758561
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,0.15669094180536955
18,0,mean,ref,NA
18,0,sd,meas,0.08887720200692327
18,0,sd,ref,NA
18,0,kurtosis,meas,14.905761313431304
18,0,kurtosis,ref,NA
18,0,skewness,meas,2.8447958164474496
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,0.15053577602314078
19,0,mean,ref,NA
19,0,sd,meas,0.07860169349091403
19,0,sd,ref,NA
19,0,kurtosis,meas,11.295024009089692
19,0,kurtosis,ref,NA
19,0,skewness,meas,2.2990977642938715
19,0,skewness,ref,NA
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,0.3752733018425022
20,0,mean,ref,NA
20,0,sd,meas,0.8236090354368553
20,0,sd,ref,NA
20,0,kurtosis,meas,28.64977771210736
20,0,kurtosis,ref,NA
20,0,skewness,meas,5.23874218511926
20,0,skewness,ref,NA
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,0.19169487954863826
21,0,mean,ref,NA
21,0,sd,meas,0.07761046692291244
21,0,sd,ref,NA
21,0,kurtosis,meas,53.68866311644324
21,0,kurtosis,ref,NA
21,0,skewness,meas,4.904736062350223
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,0.1972043937067184
22,0,mean,ref,NA
22,0,sd,meas,0.057647133054854076
22,0,sd,ref,NA
22,0,kurtosis,meas,2.729463588410028
22,0,kurtosis,ref,NA
22,0,skewness,meas,0.616311464085403
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.22488359119001228
23,0,mean,ref,NA
23,0,sd,meas,0.0634140437409004
23,0,sd,ref,NA
23,0,kurtosis,meas,11.739953323974321
23,0,kurtosis,ref,NA
23,0,skewness,meas,1.8910236489693013
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,0.24874762491180602
24,0,mean,ref,NA
24,0,sd,meas,0.06637767523836628
24,0,sd,ref,NA
24,0,kurtosis,meas,2.8739308109413613
24,0,kurtosis,ref,NA
24,0,skewness,meas,0.45761186091261813
24,0,skewness,ref,NA
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,0.20616175187170915
25,0,mean,ref,NA
25,0,sd,meas,0.06987308684469655
25,0,sd,ref,NA
25,0,kurtosis,meas,4.209002392838451
25,0,kurtosis,ref,NA
25,0,skewness,meas,1.2253252882482144
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,0.19765752179747959
26,0,mean,ref,NA
26,0,sd,meas,0.10383681294254936
26,0,sd,ref,NA
26,0,kurtosis,meas,11.117419580116685
26,0,kurtosis,ref,NA
