mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.19620819815878002
0,0,mean,ref,NA
0,0,sd,meas,0.057510653375287886
0,0,sd,ref,NA
0,0,kurtosis,meas,3.4284537737763334
0,0,kurtosis,ref,NA
0,0,skewness,meas,0.5938122146875808
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.25415555577555815
1,0,mean,ref,NA
1,0,sd,meas,0.19869792597995342
1,0,sd,ref,NA
1,0,kurtosis,meas,17.493765783600548
1,0,kurtosis,ref,NA
1,0,skewness,meas,3.1151009142928467
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.23972850722827851
2,0,mean,ref,NA
2,0,sd,meas,0.11752917117238476
2,0,sd,ref,NA
2,0,kurtosis,meas,5.663500840313357
2,0,kurtosis,ref,NA
2,0,skewness,meas,1.494353063348908
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,38,mean,meas,0.22935437955230767
3,38,mean,ref,0.42284787018255576
3,38,sd,meas,0.15194808076814956
3,38,sd,ref,0.26365240879449137
3,38,kurtosis,meas,8.114894720707943
3,38,kurtosis,ref,9.57729018238571
3,38,skewness,meas,2.1366353431610547
3,38,skewness,ref,2.219673566677758
3,38,KL,NA,0.9342144120948621
3,38,hellinger,NA,0.44500814011057305
3,38,euclidean,NA,0.36410589091224926
4,38,mean,meas,0.22154330007177112
4,38,mean,ref,0.43251146131805157
4,38,sd,meas,0.1688899567474223
4,38,sd,ref,0.26765142111652435
4,38,kurtosis,meas,13.012198198870623
4,38,kurtosis,ref,10.23959945904356
4,38,skewness,meas,2.681120709712978
4,38,skewness,ref,2.3668641937477943
4,38,KL,NA,1.0966744665608341
4,38,hellinger,NA,0.5153389521803855
4,38,euclidean,NA,0.41633336077414596
5,35,mean,meas,0.20658038802607642
5,35,mean,ref,0.3994554455445545
5,35,sd,meas,0.12388162739268564
5,35,sd,ref,0.18825831112854644
5,35,kurtosis,meas,9.640752804315072
5,35,kurtosis,ref,12.310262782450673
5,35,skewness,meas,2.2084384268291357
5,35,skewness,ref,2.247895539014624
5,35,KL,NA,1.2385875103424764
5,35,hellinger,NA,0.5402056044045916
5,35,euclidean,NA,0.4316246570891834
6,36,mean,meas,0.22919201425592625
6,36,mean,ref,0.3643191823899371
6,36,sd,meas,0.15677812152560394
6,36,sd,ref,0.1634946419983392
6,36,kurtosis,meas,33.5410835008764
6,36,kurtosis,ref,7.830043499968015
6,36,skewness,meas,4.320422028644974
6,36,skewness,ref,1.696355230945395
6,36,KL,NA,0.7607677298177116
6,36,hellinger,NA,0.4414626319980329
6,36,euclidean,NA,0.37250316462923133
7,34,mean,meas,0.20464419213337365
7,34,mean,ref,0.33375038284839204
7,34,sd,meas,0.1428525879428003
7,34,sd,ref,0.1662329852560049
7,34,kurtosis,meas,31.93095914647472
7,34,kurtosis,ref,8.480397654246298
7,34,skewness,meas,4.269178244163916
7,34,skewness,ref,1.993011374890157
7,34,KL,NA,0.8180387494125473
7,34,hellinger,NA,0.47238200685485116
7,34,euclidean,NA,0.36538690291343834
8,116,mean,meas,0.2726833453650543
8,116,mean,ref,0.3039700598802395
8,116,sd,meas,0.4323417577784333
8,116,sd,ref,0.13356924320527983
8,116,kurtosis,meas,136.33749652440042
8,116,kurtosis,ref,5.055076779600132
8,116,skewness,meas,10.922726847071093
8,116,skewness,ref,1.258921632590485
8,116,KL,NA,0.9487255455491266
8,116,hellinger,NA,0.3530974418788779
8,116,euclidean,NA,0.21776508465550587
