mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.05348190221002797,0.05348190221002797
1,1,0,0,0,0.20956898783934938,0.20956898783934938
2,1,0,0,0,0.1186859711001173,0.1186859711001173
3,1,0,0,0,0.154525329033253,0.154525329033253
4,1,0,0,0,0.16957889097834714,0.16957889097834714
5,1,0,0,0,0.12467880358786546,0.12467880358786546
6,1,0,0,0,0.15694218693982076,0.15694218693982076
7,1,0,0,0,0.1432881312252449,0.1432881312252449
8,1,0,0,0,0.5010106616407468,0.5010106616407468
9,1,0,0,0,0.08390544254070532,0.08390544254070532
10,1,0,0,0,0.12821199107698142,0.12821199107698142
11,1,0,0,0,0.06675864451339895,0.06675864451339895
12,0.05982658086770887,0.09589137305421981,0.043858943824006874,0.03762786300130595,0.0781185034155497,0.05348190221002797
13,0.0030588538539811803,0.290184011554154,-0.06110429379684861,-0.0021565472833542376,0.08381152946795059,0.20956898783934938
14,0.003796501070635509,0.17766522713177668,-0.0022590337197743123,-0.005577686490748107,0.13876564594000235,0.1186859711001173
15,0.013173502006384225,0.222839749289259,-0.038368656918791204,-0.016948084665324104,0.12717383659947704,0.154525329033253
16,0.00272079883412865,0.22665256857401866,-0.005426640030199273,-0.002656618959877094,0.15103980149856625,0.16957889097834714
17,0.04225318344455108,0.13789654172103816,-0.05019835661332241,-0.036385896275711496,0.08446773000441236,0.12467880358786546
18,0.03820214784603332,0.13435575097661048,-0.04379339212194628,-0.03651656069005539,0.08887720200692327,0.15694218693982076
19,2.172910073338906e-4,0.17958732114842568,-0.04973614519634064,-0.024892561882311648,0.07860169349091403,0.1432881312252449
20,0.4052683905130026,0.06737512167400542,-0.031037386220106204,-0.02354571215409365,0.8236090354368553,0.5010106616407468
21,0.013158834739235757,0.11834621622886456,-0.01336794643689408,-0.004923336259156752,0.07761046692291244,0.08390544254070532
22,0.04583034797323594,0.16443782780788957,-0.09246592839347897,-0.05238292986154672,0.057647133054854076,0.12821199107698142
23,0.00931975271769335,0.1035436938899881,-0.049386237647485655,-0.05774417485097026,0.0634140437409004,0.06675864451339895
24,0.03683893797745476,0.0841263698579851,0.031184491890113877,0.0270929932100918,0.06637767523836628,0.05348190221002797
25,0.014973997953487306,0.2074288751281371,-0.05790526536491229,-0.025162378140012,0.06987308684469655,0.20956898783934938
26,0.08096340011938129,0.14880683460082142,-0.05641911253525682,-0.04293051188019639,0.10383681294254936,0.1186859711001173
27,0.0019887380183355027,0.20448881991602438,-0.0678995979242223,-0.042563817121366004,0.1099355770378157,0.154525329033253
28,0.006947101733991405,0.22229644061024895,-0.06899706789778261,-0.04599094198338419,0.1198446726640483,0.16957889097834714
29,0.008779908485876802,0.17757654411632182,-0.059871942596622506,-0.05451512188153869,0.11908169588615483,0.12467880358786546
30,2.254227845233394e-5,0.17273397613659403,-0.09528916774395736,-0.07855891810414126,0.06557613466331819,0.15694218693982076
31,0.02169515324335456,0.10433709366804043,-0.038327751136239506,-0.026518154368882253,0.04843713150910098,0.1432881312252449
32,7.524319217399413e-4,0.6335139472188984,-0.19631962867606134,-0.11610888342300416,0.06243896951408987,0.5010106616407468
33,0.055914244565899794,0.10153759766560883,-0.03202334467939564,-0.024051614922566494,0.05615865713353427,0.08390544254070532
34,0.2782703714062347,0.08264198104319181,-0.029207185039672384,-0.015762984754855797,0.05634248886651761,0.08970054142239542
