mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,1,0,0,0,NA,NA
1,1,0,0,0,NA,NA
2,1,0,0,0,NA,NA
3,1,0,0,0,NA,NA
4,1,0,0,0,NA,NA
5,1,0,0,0,NA,NA
6,1,0,0,0,NA,NA
7,1,0,0,0,NA,NA
8,1,0,0,0,NA,NA
9,1,0,0,0,NA,NA
10,1,0,0,0,NA,NA
11,1,0,0,0,NA,NA
12,0.09664063707508838,0.09158639121389765,0.037782050492238914,0.031527878791202696,3.2873589002914128,0.44691926526238085
13,8.004169137801073e-4,0.21939784930257863,-0.031905833702107506,0.0011625618604619858,14.119278272785088,-2.3544176031795185
14,0.007828948923690522,0.17068965092190178,-0.0056396685647011075,0.0012376260142257095,6.865038451762562,0.6378791827780432
15,0.006954226171462023,0.21108535651131513,-0.02051074578997744,-0.004856745645123714,5.620629423441989,-0.36884337334728684
16,0.005873645581667172,0.23269616746326072,-8.982729804772329e-4,-0.005944121144239048,6.398606013239282,-0.5926140562479122
17,0.03309916352208989,0.1479649870179298,-0.0455941382147476,-0.028785553871732247,8.295205020264552,-1.2362555074112513
18,0.033950277149153066,0.17917900283436747,-0.051754568617252465,-0.032914803812452376,24.834353041878035,-2.949323011304363
19,0.004549602427974268,0.18402707879900468,-0.05940400739613561,-0.036351721975759047,18.676474787830966,-2.580796196915494
20,0.5652494749492856,0.06320159847355213,-0.030551356062991322,-0.02677737571289375,4.657447639913823,-0.37619932318692006
21,0.055102026951218956,0.09300678077015063,-0.019661999858522957,-0.016436396582244314,26.02366424806475,1.3215886554542482
22,0.03664520729769866,0.14328175445099509,-0.07405957932361114,-0.04053273532570509,6.026908298465099,-1.621504631427096
23,0.11077884639841974,0.07941303361217437,-0.016807550191041094,-0.01563603068950528,4.141267905191447,0.21016708353082975
24,0.2218784576462064,0.06797042958435791,0.016035254209459438,0.01861790609923416,3.6310138734889565,0.28016952438977893
25,0.03536826886647893,0.20427437868956408,-0.05040888032787042,-0.009627010679948506,16.222451357156558,-2.751126597037375
26,0.1162645441242584,0.139742463974816,-0.03457442008228673,-0.024023597912020446,7.776545615520536,0.23268609195183107
27,5.468380074538318e-4,0.1986215685169279,-0.06567692956965791,-0.0402998909229441,6.498707052327191,-0.8580422054023324
28,0.0014371163777750506,0.22049891446913608,-0.05329040357775223,-0.023858057564291185,6.337082133435828,-1.0083374916499392
29,0.005595404359298186,0.17270415891236235,-0.048180830546930065,-0.04826699723825245,6.730463224554439,-0.17506963972331613
30,5.062095464766394e-5,0.20784442243735457,-0.11244894275842522,-0.0806939864848748,23.844680652040203,-3.11352368124171
31,0.0076024292447596144,0.1451990288456252,-0.056279870008411594,-0.03209640107163004,8.985433224774603,-1.7728373815235379
32,5.133821198697613e-4,0.45893712586781554,-0.13593056700866019,-0.0871966501308466,127.44668729017754,-10.39397752053555
33,0.10726266234277003,0.08411873299017811,-0.026810214226713713,-0.02213748969179865,5.614288254964136,-0.5827608612589683
34,0.22349764217665677,0.08090562757491872,-0.013424777473560754,-0.006243134082266677,3.9937295209464825,-0.6973805147000318
