mos_into_deployment,pdf_resolution,statistic,plottype,value
0,8,mean,meas,0.19620819815878002
0,8,mean,ref,0.19620819815878002
0,8,sd,meas,0.057510653375287886
0,8,sd,ref,0.057510653375287886
0,8,kurtosis,meas,3.4284537737763334
0,8,kurtosis,ref,3.4284537737763334
0,8,skewness,meas,0.5938122146875808
0,8,skewness,ref,0.5938122146875808
0,8,KL,NA,0
0,8,hellinger,NA,0
0,8,euclidean,NA,0
1,33,mean,meas,0.25415555577555815
1,33,mean,ref,0.25415555577555815
1,33,sd,meas,0.19869792597995342
1,33,sd,ref,0.19869792597995342
1,33,kurtosis,meas,17.493765783600548
1,33,kurtosis,ref,17.493765783600548
1,33,skewness,meas,3.1151009142928467
1,33,skewness,ref,3.1151009142928467
1,33,KL,NA,0
1,33,hellinger,NA,0
1,33,euclidean,NA,0
2,16,mean,meas,0.23972850722827851
2,16,mean,ref,0.23972850722827851
2,16,sd,meas,0.11752917117238476
2,16,sd,ref,0.11752917117238476
2,16,kurtosis,meas,5.663500840313357
2,16,kurtosis,ref,5.663500840313357
2,16,skewness,meas,1.494353063348908
2,16,skewness,ref,1.494353063348908
2,16,KL,NA,0
2,16,hellinger,NA,0
2,16,euclidean,NA,0
3,21,mean,meas,0.22935437955230767
3,21,mean,ref,0.22935437955230767
3,21,sd,meas,0.15194808076814956
3,21,sd,ref,0.15194808076814956
3,21,kurtosis,meas,8.114894720707943
3,21,kurtosis,ref,8.114894720707943
3,21,skewness,meas,2.1366353431610547
3,21,skewness,ref,2.1366353431610547
3,21,KL,NA,0
3,21,hellinger,NA,0
3,21,euclidean,NA,0
4,30,mean,meas,0.22154330007177112
4,30,mean,ref,0.22154330007177112
4,30,sd,meas,0.1688899567474223
4,30,sd,ref,0.1688899567474223
4,30,kurtosis,meas,13.012198198870623
4,30,kurtosis,ref,13.012198198870623
4,30,skewness,meas,2.681120709712978
4,30,skewness,ref,2.681120709712978
4,30,KL,NA,0
4,30,hellinger,NA,0
4,30,euclidean,NA,0
5,18,mean,meas,0.20658038802607642
5,18,mean,ref,0.20658038802607642
5,18,sd,meas,0.12388162739268564
5,18,sd,ref,0.12388162739268564
5,18,kurtosis,meas,9.640752804315072
5,18,kurtosis,ref,9.640752804315072
5,18,skewness,meas,2.2084384268291357
5,18,skewness,ref,2.2084384268291357
5,18,KL,NA,0
5,18,hellinger,NA,0
5,18,euclidean,NA,0
6,36,mean,meas,0.22919201425592625
6,36,mean,ref,0.22919201425592625
6,36,sd,meas,0.15677812152560394
6,36,sd,ref,0.15677812152560394
6,36,kurtosis,meas,33.5410835008764
6,36,kurtosis,ref,33.5410835008764
6,36,skewness,meas,4.320422028644974
6,36,skewness,ref,4.320422028644974
6,36,KL,NA,0
6,36,hellinger,NA,0
6,36,euclidean,NA,0
7,34,mean,meas,0.20464419213337365
7,34,mean,ref,0.20464419213337365
7,34,sd,meas,0.1428525879428003
7,34,sd,ref,0.1428525879428003
7,34,kurtosis,meas,31.93095914647472
7,34,kurtosis,ref,31.93095914647472
7,34,skewness,meas,4.269178244163916
7,34,skewness,ref,4.269178244163916
7,34,KL,NA,0
7,34,hellinger,NA,0
7,34,euclidean,NA,0
8,116,mean,meas,0.2726833453650543
8,116,mean,ref,0.2726833453650543
8,116,sd,meas,0.4323417577784333
8,116,sd,ref,0.4323417577784333
8,116,kurtosis,meas,136.33749652440042
8,116,kurtosis,ref,136.33749652440042
8,116,skewness,meas,10.922726847071093
8,116,skewness,ref,10.922726847071093
8,116,KL,NA,0
8,116,hellinger,NA,0
8,116,euclidean,NA,0
9,15,mean,meas,0.19618391788980286
9,15,mean,ref,0.19618391788980286
9,15,sd,meas,0.07846369228756499
9,15,sd,ref,0.07846369228756499
9,15,kurtosis,meas,6.939271155533497
9,15,kurtosis,ref,6.939271155533497
9,15,skewness,meas,1.3006336607167819
9,15,skewness,ref,1.3006336607167819
9,15,KL,NA,0
9,15,hellinger,NA,0
9,15,euclidean,NA,0
10,16,mean,meas,0.25311730340449295
10,16,mean,ref,0.25311730340449295
10,16,sd,meas,0.11932859589742353
10,16,sd,ref,0.11932859589742353
10,16,kurtosis,meas,5.6083584052852835
10,16,kurtosis,ref,5.6083584052852835
10,16,skewness,meas,1.6576100887284058
10,16,skewness,ref,1.6576100887284058
10,16,KL,NA,0
10,16,hellinger,NA,0
10,16,euclidean,NA,0
11,9,mean,meas,0.22107107625177602
11,9,mean,ref,0.22107107625177602
11,9,sd,meas,0.07047537250146528
11,9,sd,ref,0.07047537250146528
11,9,kurtosis,meas,2.961747610728574
11,9,kurtosis,ref,2.961747610728574
11,9,skewness,meas,0.5818837059128678
11,9,skewness,ref,0.5818837059128678
11,9,KL,NA,0
11,9,hellinger,NA,0
11,9,euclidean,NA,0
12,12,mean,meas,0.23502430438987504
12,12,mean,ref,0.19620819815878002
12,12,sd,meas,0.0809205562792531
12,12,sd,ref,0.057510653375287886
12,12,kurtosis,meas,4.977341746296603
12,12,kurtosis,ref,3.4284537737763334
12,12,skewness,meas,1.101983496928116
12,12,skewness,ref,0.5938122146875808
12,12,KL,NA,0.1492673729873091
12,12,hellinger,NA,0.21166846237509884
12,12,euclidean,NA,0.15441124170579773
13,33,mean,meas,0.22244569397132843
13,33,mean,ref,0.25415555577555815
13,33,sd,meas,0.08239656228162091
13,33,sd,ref,0.19869792597995342
13,33,kurtosis,meas,9.117095394305856
13,33,kurtosis,ref,17.493765783600548
13,33,skewness,meas,1.9820432159311723
13,33,skewness,ref,3.1151009142928467
13,33,KL,NA,0.4288981743674361
13,33,hellinger,NA,0.23878963838732256
13,33,euclidean,NA,0.19938565821016133
14,22,mean,meas,0.2340888386635774
14,22,mean,ref,0.23972850722827851
14,22,sd,meas,0.13464629993933502
14,22,sd,ref,0.11752917117238476
14,22,kurtosis,meas,9.705837232930232
14,22,kurtosis,ref,5.663500840313357
14,22,skewness,meas,2.3140820482343827
14,22,skewness,ref,1.494353063348908
14,22,KL,NA,0.053296955311331634
14,22,hellinger,NA,0.11533485465109568
14,22,euclidean,NA,0.07086788347561324
15,21,mean,meas,0.21041816703150032
15,21,mean,ref,0.22935437955230767
15,21,sd,meas,0.13214374091871464
15,21,sd,ref,0.15194808076814956
15,21,kurtosis,meas,9.305043247996121
15,21,kurtosis,ref,8.114894720707943
15,21,skewness,meas,2.2969874775754215
15,21,skewness,ref,2.1366353431610547
15,21,KL,NA,0.10490986573001093
15,21,hellinger,NA,0.12251782242487988
15,21,euclidean,NA,0.06144778190356578
16,30,mean,meas,0.22064502709129388
16,30,mean,ref,0.22154330007177112
16,30,sd,meas,0.147877019066136
16,30,sd,ref,0.1688899567474223
16,30,kurtosis,meas,6.4999624967704825
16,30,kurtosis,ref,13.012198198870623
16,30,skewness,meas,1.8618278091709977
16,30,skewness,ref,2.681120709712978
16,30,KL,NA,0.15188165814298282
16,30,hellinger,NA,0.11563197489360587
16,30,euclidean,NA,0.03530625144237553
17,18,mean,meas,0.1609862498113288
17,18,mean,ref,0.20658038802607642
17,18,sd,meas,0.0932683668389336
17,18,sd,ref,0.12388162739268564
17,18,kurtosis,meas,13.828060306153807
17,18,kurtosis,ref,9.640752804315072
17,18,skewness,meas,2.665640267817651
17,18,skewness,ref,2.2084384268291357
17,18,KL,NA,0.2903430859730387
17,18,hellinger,NA,0.22264401453773672
17,18,euclidean,NA,0.213553232789991
18,37,mean,meas,0.17009055962000796
18,37,mean,ref,0.22919201425592625
18,37,sd,meas,0.10076622944724786
18,37,sd,ref,0.15677812152560394
18,37,kurtosis,meas,10.075224304544582
18,37,kurtosis,ref,33.5410835008764
18,37,skewness,meas,2.381575784259848
18,37,skewness,ref,4.320422028644974
18,37,KL,NA,0.3249457584339991
18,37,hellinger,NA,0.26847667642651907
18,37,euclidean,NA,0.2965258087563055
19,34,mean,meas,0.15194768113891974
19,34,mean,ref,0.20464419213337365
19,34,sd,meas,0.0782042305978535
19,34,sd,ref,0.1428525879428003
19,34,kurtosis,meas,9.859922774479102
19,34,kurtosis,ref,31.93095914647472
19,34,skewness,meas,2.0968834461167933
19,34,skewness,ref,4.269178244163916
19,34,KL,NA,0.36777022246889307
19,34,hellinger,NA,0.2443899335338991
19,34,euclidean,NA,0.2364275849173119
20,116,mean,meas,0.3360226123590015
20,116,mean,ref,0.2726833453650543
20,116,sd,meas,0.7484748053534789
20,116,sd,ref,0.4323417577784333
20,116,kurtosis,meas,35.06754827256187
20,116,kurtosis,ref,136.33749652440042
20,116,skewness,meas,5.794278367073787
20,116,skewness,ref,10.922726847071093
20,116,KL,NA,0.7103003834343786
20,116,hellinger,NA,0.2972357537826385
20,116,euclidean,NA,0.18734808837939693
21,22,mean,meas,0.1765911990034297
21,22,mean,ref,0.19618391788980286
21,22,sd,meas,0.06741449429910494
21,22,sd,ref,0.07846369228756499
21,22,kurtosis,meas,50.73411208362994
21,22,kurtosis,ref,6.939271155533497
21,22,skewness,meas,4.152962259446402
21,22,skewness,ref,1.3006336607167819
21,22,KL,NA,0.09997496043346618
21,22,hellinger,NA,0.1420970575461526
21,22,euclidean,NA,0.13945290125551102
22,16,mean,meas,0.18058825236070955
22,16,mean,ref,0.25311730340449295
