mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.5495845565723488,0.060643400964308446,-0.0038677450771943565,-0.0038014748411203947,0.08614682698017652,0.07952461710871604
1,0.6850849082329801,0.04734661161655465,-0.007778359586020101,-7.245831564787059e-4,0.06036760479293976,0.0819998558178874
2,0.48210627963023706,0.047930886946312694,0.024887014108839232,0.022990645022149397,0.05694552780534573,0.04008004064623935
3,0.5598637636608992,0.059229476100720206,0.025578127134286616,0.027448910039124613,0.0799870395541104,0.07265336212393403
4,0.9051403708440564,0.05999534209910891,0.012929445616056011,0.0223037749093489,0.14072106556205172,0.1744272414835151
5,0.3700492302636579,0.0637476274206639,0.026761227969509072,0.03166423034438161,0.06773206340581985,0.06276400981364272
6,0.47251801342434774,0.06330428627255988,0.024357718774937344,0.024193844375479695,0.07816310214380569,0.0652541939530759
7,0.6901213645962295,0.05234885237998211,0.021698310589841292,0.01778369064802013,0.0812613470537679,0.08205561280003938
8,0.737087479169447,0.06010100584931559,0.017221505546642386,0.016749163229337005,0.10599759802980101,0.10901798884306615
9,0.7736751571878946,0.08875538620087328,-0.028144967699663227,-0.008268948645019314,0.1152621257697271,0.16296958531219222
10,0.7712474425214327,0.08541358786772861,-0.03212200549996862,-0.0132398020784667,0.12161605636961877,0.16090897029771878
11,0.8028406760545516,0.055000396166223285,-0.023782996119028465,-0.01627031493729815,0.07365852031210834,0.10294278202876694
12,0.8142123301010764,0.05868248021418563,-0.027407033977234027,-0.017801249588727613,0.07710112929880916,0.10717738895200894
13,0.6839737717526851,0.04587271126972502,-0.011102382043794561,-0.00714290660870559,0.06476110691055745,0.07915455837339234
14,0.6052778349166896,0.022612900279161362,0.001949285104536827,0.004475821050010195,0.041836034780244204,0.033482641243020445
15,NA,NA,NA,NA,0.07443262648306924,NA
16,NA,NA,NA,NA,0.05576334700249426,NA
17,NA,NA,NA,NA,0.06173402634523063,NA
18,NA,NA,NA,NA,0.07074019305444663,NA
19,NA,NA,NA,NA,0.06188084993385191,NA
20,NA,NA,NA,NA,0.07639332771135805,NA
21,NA,NA,NA,NA,0.0905614829708322,NA
22,NA,NA,NA,NA,0.09577053660033152,NA
23,NA,NA,NA,NA,0.07857140861831201,NA
24,NA,NA,NA,NA,0.04550740686175583,NA
25,NA,NA,NA,NA,0.039539731002186954,NA
26,NA,NA,NA,NA,0.042668563588634495,NA
27,NA,NA,NA,NA,0.052730930731218054,NA
28,NA,NA,NA,NA,0.055990264794277905,NA
