mos_into_deployment,pdf_resolution,statistic,plottype,value
0,27,mean,meas,0.1994258384226417
0,27,mean,ref,0.18849481865284973
0,27,sd,meas,0.08614682698017652
0,27,sd,ref,0.06652894086849655
0,27,kurtosis,meas,73.30009743076907
0,27,kurtosis,ref,18.363492815846204
0,27,skewness,meas,6.534690580571716
0,27,skewness,ref,3.6039526858476116
0,27,KL,NA,0.1271986706198831
0,27,hellinger,NA,0.19032609590899566
0,27,euclidean,NA,0.23337812216881054
1,16,mean,meas,0.18974731852649376
1,16,mean,ref,0.19057215189873417
1,16,sd,meas,0.06051656451526351
1,16,sd,ref,0.07767788972715581
1,16,kurtosis,meas,9.04001207355218
1,16,kurtosis,ref,16.52348004776579
1,16,skewness,meas,2.0561520084998905
1,16,skewness,ref,3.1283070985916273
1,16,KL,NA,0.07139654519095628
1,16,hellinger,NA,0.09460057795068912
1,16,euclidean,NA,0.06922240023245103
2,11,mean,meas,0.19691143186045962
2,11,mean,ref,0.16908356545961004
2,11,sd,meas,0.05393766725408866
2,11,sd,ref,0.04599245423403567
2,11,kurtosis,meas,13.755010464076742
2,11,kurtosis,ref,11.171288077449319
2,11,skewness,meas,2.3685574021406532
2,11,skewness,ref,2.3867365272619057
2,11,KL,NA,0.3022223784522153
2,11,hellinger,NA,0.26933874195770086
2,11,euclidean,NA,0.32220519537517694
3,12,mean,meas,0.2287869763407128
3,12,mean,ref,0.18090371991247264
3,12,sd,meas,0.07832887580459542
3,12,sd,ref,0.06034941684328762
3,12,kurtosis,meas,6.091266749015092
3,12,kurtosis,ref,4.5204204270591575
3,12,skewness,meas,1.2774025971305591
3,12,skewness,ref,1.3238039629329803
3,12,KL,NA,0.41011457504728593
3,12,hellinger,NA,0.317836264179927
3,12,euclidean,NA,0.37279630155432153
4,15,mean,meas,0.28067862791333037
4,15,mean,ref,0.32643382352941175
4,15,sd,meas,0.14234037553795725
4,15,sd,ref,0.21420414984415573
4,15,kurtosis,meas,6.559062019159018
4,15,kurtosis,ref,2.5875521333826765
4,15,skewness,meas,2.121666938846852
4,15,skewness,ref,1.105990460725419
4,15,KL,NA,0.4173961467580309
4,15,hellinger,NA,0.28889832924126474
4,15,euclidean,NA,0.23186514238087294
5,12,mean,meas,0.25855216766262096
5,12,mean,ref,0.22592
5,12,sd,meas,0.06000702659935466
5,12,sd,ref,0.062068782190628946
5,12,kurtosis,meas,3.0742397946852553
5,12,kurtosis,ref,14.446147320626286
5,12,skewness,meas,0.38506435767590685
5,12,skewness,ref,2.215370553933862
5,12,KL,NA,0.23092689478144293
5,12,hellinger,NA,0.22223584515740702
5,12,euclidean,NA,0.23440706231011407
6,9,mean,meas,0.27573624023143595
6,9,mean,ref,0.2373953488372093
6,9,sd,meas,0.06884845710154897
6,9,sd,ref,0.05430429017665088
6,9,kurtosis,meas,3.6477388220540226
6,9,kurtosis,ref,5.911433305571497
6,9,skewness,meas,0.9359704286843376
6,9,skewness,ref,1.257802661057937
6,9,KL,NA,0.21469736812998222
6,9,hellinger,NA,0.24334165800922306
6,9,euclidean,NA,0.19233408453834014
7,13,mean,meas,0.26096816032933295
7,13,mean,ref,0.21935263157894738
7,13,sd,meas,0.08122552577568141
7,13,sd,ref,0.05558507344479764
7,13,kurtosis,meas,7.722461801273032
7,13,kurtosis,ref,18.458875318294083
7,13,skewness,meas,1.7910334458832031
7,13,skewness,ref,2.9466903243398286
7,13,KL,NA,0.2299291266489412
7,13,hellinger,NA,0.2628256278417731
7,13,euclidean,NA,0.2823228486414675
8,18,mean,meas,0.2639592900313854
8,18,mean,ref,0.21526315789473685
8,18,sd,meas,0.10683407072531896
8,18,sd,ref,0.0773450318489233
8,18,kurtosis,meas,8.774389129427986
8,18,kurtosis,ref,13.645465309186756
8,18,skewness,meas,2.0500244630063524
8,18,skewness,ref,2.662420001600496
8,18,KL,NA,0.2195299304838271
8,18,hellinger,NA,0.2467331605926763
8,18,euclidean,NA,0.250963259923987
9,16,mean,meas,0.2469192111278739
9,16,mean,ref,0.2295668449197861
9,16,sd,meas,0.11531565690244894
9,16,sd,ref,0.10101882909027134
9,16,kurtosis,meas,9.775244791291916
9,16,kurtosis,ref,14.354891593221504
9,16,skewness,meas,2.417089458263276
9,16,skewness,ref,3.029873302808937
9,16,KL,NA,0.04096964539300948
9,16,hellinger,NA,0.12706359193086036
9,16,euclidean,NA,0.05243446135649113
10,19,mean,meas,0.2397807266325081
10,19,mean,ref,0.22694985250737462
10,19,sd,meas,0.12161605636961877
10,19,sd,ref,0.11422709327797664
10,19,kurtosis,meas,13.720136032127039
10,19,kurtosis,ref,11.42967105949864
10,19,skewness,meas,2.826625951988659
10,19,skewness,ref,2.855154414765484
10,19,KL,NA,0.06660703575819568
10,19,hellinger,NA,0.13987592567126902
10,19,euclidean,NA,0.10263267329655983
11,16,mean,meas,0.21323447275969717
11,16,mean,ref,0.201409972299169
11,16,sd,meas,0.07365852031210834
11,16,sd,ref,0.047916980407660494
11,16,kurtosis,meas,15.439710759947088
11,16,kurtosis,ref,18.928361093868563
11,16,skewness,meas,2.573412970456967
11,16,skewness,ref,2.9168239085936953
11,16,KL,NA,0.16789165747889043
11,16,hellinger,NA,0.22455118336616284
11,16,euclidean,NA,0.20984992152007723
12,11,mean,meas,0.19706755354129013
12,11,mean,ref,0.19274285714285713
12,11,sd,meas,0.07712446971129243
12,11,sd,ref,0.049509574813162795
12,11,kurtosis,meas,11.373854074559105
12,11,kurtosis,ref,11.080534980293516
12,11,skewness,meas,2.632110661151698
12,11,skewness,ref,2.479378026536018
12,11,KL,NA,0.19239127234667192
12,11,hellinger,NA,0.24442107699669813
12,11,euclidean,NA,0.29684653544731765
13,15,mean,meas,0.18496352466344926
13,15,mean,ref,0.18760643564356436
13,15,sd,meas,0.06469297236398405
13,15,sd,ref,0.077034529064291285
13,15,kurtosis,meas,18.150634885631916
13,15,kurtosis,ref,32.177313186329165
13,15,skewness,meas,3.0317529942571757
13,15,skewness,ref,4.725819968344077
13,15,KL,NA,0.10290916870523968
13,15,hellinger,NA,0.14247480724676673
13,15,euclidean,NA,0.20564132111910274
14,7,mean,meas,0.1828507546708004
14,7,mean,ref,0.16373684210526315
14,7,sd,meas,0.04174851121516247
14,7,sd,ref,0.010130724502589557
14,7,kurtosis,meas,6.330425885311698
14,7,kurtosis,ref,2.3805727280454927
14,7,skewness,meas,1.3693350284265604
14,7,skewness,ref,-0.32605930460527266
14,7,KL,NA,0.37119011188566126
14,7,hellinger,NA,0.3931909706996615
14,7,euclidean,NA,0.4100572035646829
15,0,mean,meas,0.20161992160838424
15,0,mean,ref,NA
15,0,sd,meas,0.05345371771802926
15,0,sd,ref,NA
15,0,kurtosis,meas,19.006075070713933
15,0,kurtosis,ref,NA
15,0,skewness,meas,2.41134088033851
15,0,skewness,ref,NA
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,0.2022441388772595
16,0,mean,ref,NA
16,0,sd,meas,0.04444153812223439
16,0,sd,ref,NA
16,0,kurtosis,meas,6.0892471688686785
16,0,kurtosis,ref,NA
16,0,skewness,meas,1.340768137897066
16,0,skewness,ref,NA
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,0.22640161326853123
17,0,mean,ref,NA
17,0,sd,meas,0.05159391830812361
17,0,sd,ref,NA
17,0,kurtosis,meas,6.31737577960049
17,0,kurtosis,ref,NA
17,0,skewness,meas,1.484695513644008
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,0.2659371378695859
18,0,mean,ref,NA
18,0,sd,meas,0.0634493822824961
18,0,sd,ref,NA
18,0,kurtosis,meas,3.5243842181324845
18,0,kurtosis,ref,NA
18,0,skewness,meas,0.7757323872274474
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
