mos_into_deployment,pdf_resolution,statistic,plottype,value
0,27,mean,meas,0.1994258384226417
0,27,mean,ref,0.20294090202177295
0,27,sd,meas,0.08614682698017652
0,27,sd,ref,0.07952461710871604
0,27,kurtosis,meas,73.30009743076907
0,27,kurtosis,ref,17.3588764451595
0,27,skewness,meas,6.534690580571716
0,27,skewness,ref,3.3782104155091757
0,27,KL,NA,0.08079219005655956
0,27,hellinger,NA,0.1445090410659079
0,27,euclidean,NA,0.18312579219216493
1,16,mean,meas,0.18960409047935994
1,16,mean,ref,0.19762307692307693
1,16,sd,meas,0.06036760479293976
1,16,sd,ref,0.0819998558178874
1,16,kurtosis,meas,9.08865835703736
1,16,kurtosis,ref,15.411004925687006
1,16,skewness,meas,2.0632509111625454
1,16,skewness,ref,3.091673307470261
1,16,KL,NA,0.0946373329877307
1,16,hellinger,NA,0.10794079912697337
1,16,euclidean,NA,0.09403775727868192
2,11,mean,meas,0.19168465826496014
2,11,mean,ref,0.16673925925925925
2,11,sd,meas,0.05694552780534573
2,11,sd,ref,0.04008004064623935
2,11,kurtosis,meas,11.106366447577251
2,11,kurtosis,ref,12.449557681849036
2,11,skewness,meas,1.8551143585605157
2,11,skewness,ref,2.4977194187387495
2,11,KL,NA,0.25465756885340696
2,11,hellinger,NA,0.2649235875512889
2,11,euclidean,NA,0.284598151226876
3,16,mean,meas,0.21448250402345964
3,16,mean,ref,0.1870154711673699
3,16,sd,meas,0.0799870395541104
3,16,sd,ref,0.07265336212393403
3,16,kurtosis,meas,5.568642542716552
3,16,kurtosis,ref,11.647970419693822
3,16,skewness,meas,1.0774022525624325
3,16,skewness,ref,2.2873600108141545
3,16,KL,NA,0.26454057540555537
3,16,hellinger,NA,0.2697290525344465
3,16,euclidean,NA,0.287940386628772
4,17,mean,meas,0.2767865564892585
4,17,mean,ref,0.2669393019726859
4,17,sd,meas,0.14072106556205172
4,17,sd,ref,0.1744272414835151
4,17,kurtosis,meas,6.056707963845101
4,17,kurtosis,ref,5.872662767541227
4,17,skewness,meas,1.9508044887250073
4,17,skewness,ref,1.9990126980571266
4,17,KL,NA,0.28878794232292443
4,17,hellinger,NA,0.22636829846686088
4,17,euclidean,NA,0.1766367114759066
5,13,mean,meas,0.24735077597997826
5,13,mean,ref,0.22275037821482602
5,13,sd,meas,0.06773206340581985
5,13,sd,ref,0.06276400981364272
5,13,kurtosis,meas,3.48508588622614
5,13,kurtosis,ref,7.773780531226723
5,13,skewness,meas,0.350552674038743
5,13,skewness,ref,1.103068527103724
5,13,KL,NA,0.10506210107517477
5,13,hellinger,NA,0.15904507699969145
5,13,euclidean,NA,0.14755275491009262
6,13,mean,meas,0.2632030017165138
6,13,mean,ref,0.24012164073550213
6,13,sd,meas,0.07816310214380569
6,13,sd,ref,0.0652541939530759
6,13,kurtosis,meas,3.6500956074700968
6,13,kurtosis,ref,7.560564164718586
6,13,skewness,meas,0.8461527973640318
6,13,skewness,ref,1.5492976235661822
6,13,KL,NA,0.09364166871558707
6,13,hellinger,NA,0.15639970618921847
6,13,euclidean,NA,0.1429992505125514
7,14,mean,meas,0.25178066689566875
7,14,mean,ref,0.2326029411764706
7,14,sd,meas,0.0812613470537679
7,14,sd,ref,0.08205561280003938
7,14,kurtosis,meas,7.543605126368292
7,14,kurtosis,ref,8.378043628158403
7,14,skewness,meas,1.717042695333496
7,14,skewness,ref,1.9707688113822295
7,14,KL,NA,0.11202128835364772
7,14,hellinger,NA,0.16252028020114367
7,14,euclidean,NA,0.18237464584910962
8,18,mean,meas,0.26345846042275933
8,18,mean,ref,0.24847167138810197
8,18,sd,meas,0.10599759802980101
8,18,sd,ref,0.10901798884306615
8,18,kurtosis,meas,8.701830991720392
8,18,kurtosis,ref,7.387145442273614
8,18,skewness,meas,2.0239291740995937
8,18,skewness,ref,1.9260850993661518
8,18,KL,NA,0.08120528226899482
8,18,hellinger,NA,0.13974850975479705
8,18,euclidean,NA,0.11481311956424184
9,21,mean,meas,0.24682070869753164
9,21,mean,ref,0.2730043541364296
9,21,sd,meas,0.1152621257697271
9,21,sd,ref,0.16296958531219222
9,21,kurtosis,meas,9.787778466446623
9,21,kurtosis,ref,9.712306041924315
9,21,skewness,meas,2.4192403210756406
9,21,skewness,ref,2.539623147451692
9,21,KL,NA,0.11555318183680305
9,21,hellinger,NA,0.10930139486318612
9,21,euclidean,NA,0.052297999394724876
10,22,mean,meas,0.2397807266325081
10,22,mean,ref,0.27309776536312846
10,22,sd,meas,0.12161605636961877
10,22,sd,ref,0.16090897029771878
10,22,kurtosis,meas,13.720136032127039
10,22,kurtosis,ref,10.505864141260052
10,22,skewness,meas,2.826625951988659
10,22,skewness,ref,2.470145718132795
10,22,KL,NA,0.13021110258533292
10,22,hellinger,NA,0.13103784176063943
10,22,euclidean,NA,0.07185776838794343
11,22,mean,meas,0.21323447275969717
11,22,mean,ref,0.23613865546218488
11,22,sd,meas,0.07365852031210834
11,22,sd,ref,0.10294278202876694
11,22,kurtosis,meas,15.439710759947088
11,22,kurtosis,ref,23.208628130741104
11,22,skewness,meas,2.573412970456967
11,22,skewness,ref,3.691159969498924
11,22,KL,NA,0.2538447236800775
11,22,hellinger,NA,0.21479650222782018
11,22,euclidean,NA,0.10850869986681583
12,18,mean,meas,0.1969765120901474
12,18,mean,ref,0.22212824427480915
12,18,sd,meas,0.07710112929880916
12,18,sd,ref,0.10717738895200894
12,18,kurtosis,meas,11.383268171904552
12,18,kurtosis,ref,18.523987788656804
12,18,skewness,meas,2.6333195096253648
12,18,skewness,ref,3.5680100136735597
12,18,KL,NA,0.3205063158723089
12,18,hellinger,NA,0.2710661522412001
12,18,euclidean,NA,0.26463331603443513
13,16,mean,meas,0.18425297236710217
13,16,mean,ref,0.19825903614457832
13,16,sd,meas,0.06476110691055745
13,16,sd,ref,0.07915455837339234
13,16,kurtosis,meas,17.900466129190427
13,16,kurtosis,ref,21.681590732302364
13,16,skewness,meas,2.9766664431129635
13,16,skewness,ref,3.6495695120783744
13,16,KL,NA,0.13898188556820554
13,16,hellinger,NA,0.18781676157375443
13,16,euclidean,NA,0.251969922497825
14,7,mean,meas,0.1810839033577171
14,7,mean,ref,0.1711078431372549
14,7,sd,meas,0.041836034780244204
14,7,sd,ref,0.033482641243020445
14,7,kurtosis,meas,6.229501793254524
14,7,kurtosis,ref,14.188914357504554
14,7,skewness,meas,1.3222747356483284
14,7,skewness,ref,2.8174392467918685
14,7,KL,NA,0.14870471002044003
14,7,hellinger,NA,0.21171808973629336
14,7,euclidean,NA,0.2600721577430301
15,0,mean,meas,0.1962279470954371
15,0,mean,ref,NA
15,0,sd,meas,0.07443262648306924
15,0,sd,ref,NA
15,0,kurtosis,meas,147.18170139804778
15,0,kurtosis,ref,NA
