mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.08614682698017652,0.08614682698017652
1,1,0,0,0,0.06051656451526351,0.06051656451526351
2,1,0,0,0,0.05393766725408866,0.05393766725408866
3,1,0,0,0,0.07832887580459542,0.07832887580459542
4,1,0,0,0,0.14234037553795725,0.14234037553795725
5,1,0,0,0,0.06000702659935466,0.06000702659935466
6,1,0,0,0,0.06884845710154897,0.06884845710154897
7,1,0,0,0,0.08122552577568141,0.08122552577568141
8,1,0,0,0,0.10683407072531896,0.10683407072531896
9,1,0,0,0,0.11531565690244894,0.11531565690244894
10,1,0,0,0,0.12161605636961877,0.12161605636961877
11,1,0,0,0,0.07365852031210834,0.07365852031210834
12,1.2655360570150664e-4,0.11798363014095584,-0.001209750650394599,-7.719991421381023e-4,0.07712446971129243,0.08614682698017652
13,0.002260431551960351,0.08671171295707367,-0.005703944836593288,-0.0039220781838053,0.06469297236398405,0.06051656451526351
14,0.00481264844565555,0.0680198316265553,-0.013868121195235816,-0.006872526308924043,0.04174851121516247,0.05393766725408866
15,0.02488409612180569,0.09251492644318636,-0.027034006058577968,-0.018016878650011406,0.05345371771802926,0.07832887580459542
16,0.006259481271230688,0.1858467964015393,-0.08847621239816267,-0.02892521919335439,0.04444153812223439,0.14234037553795725
17,6.309712780024276e-4,0.08775263503142977,-0.037529837948572224,-0.03891973917498595,0.05159391830812361,0.06000702659935466
18,3.772266689291782e-7,0.09554499700289833,-0.014337930942204008,-0.019133982961389295,0.0634493822824961,0.06884845710154897
19,0.020525146283299395,0.10160209886815125,-0.03529906840942714,-0.022878754803576762,0.058846796809275743,0.08122552577568141
20,8.012624012180995e-4,0.14570432494901012,-0.054702142531150265,-0.042946618940177594,0.07551158829185715,0.10683407072531896
21,0.07713339380622704,0.13640726340698292,-0.05280888407666032,-0.03942697322739541,0.09057067498556222,0.11531565690244894
22,0.01253098144148896,0.15186051475897416,-0.041567719415765036,-0.03018613938769829,0.09577053660033152,0.12161605636961877
23,4.122674187568302e-5,0.1108400738666248,-0.025056892976129203,-0.023848737326228303,0.07857140861831201,0.07365852031210834
24,0.0013091556836397136,0.10703478026632317,-0.044969426282311153,-0.03699729090381468,0.04550740686175583,0.08614682698017652
25,0.0066490592108437215,0.07649395576551063,-0.030679418654236672,-0.020216237067921902,0.039549950100356196,0.06051656451526351
26,0.0027652750028059696,0.07680999137732336,-0.033781041458982815,-0.029953979035657996,0.04251474759732695,0.05393766725408866
27,0.18906686801090927,0.08079929616161789,-0.03863619257370089,-0.0372023064018524,0.04933196231353459,0.07832887580459542
28,0.03895221160094879,0.09214861782481054,-0.02843449200473116,-0.018133121751730097,0.052875314542224175,0.0787498322189904
