mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.08614682698017652,0.08614682698017652
1,1,0,0,0,0.06036760479293976,0.06036760479293976
2,1,0,0,0,0.05694552780534573,0.05694552780534573
3,1,0,0,0,0.0799870395541104,0.0799870395541104
4,1,0,0,0,0.14072106556205172,0.14072106556205172
5,1,0,0,0,0.06773206340581985,0.06773206340581985
6,1,0,0,0,0.07816310214380569,0.07816310214380569
7,1,0,0,0,0.0812613470537679,0.0812613470537679
8,1,0,0,0,0.10599759802980101,0.10599759802980101
9,1,0,0,0,0.1152621257697271,0.1152621257697271
10,1,0,0,0,0.12161605636961877,0.12161605636961877
11,1,0,0,0,0.07365852031210834,0.07365852031210834
12,1.2739074032723076e-4,0.11792004717712579,-0.001312592469223632,-8.553373773715067e-4,0.07710112929880916,0.08614682698017652
13,0.003776681821649026,0.08588645198091059,-0.00535111811225778,-0.003977193884286356,0.06476110691055745,0.06036760479293976
14,0.014213573968460255,0.0673143395205889,-0.010600754907243043,-0.004223145003964798,0.041836034780244204,0.05694552780534573
15,0.03647966185317051,0.10012529387234774,-0.017240958487761457,-0.011277062670659782,0.07443262648306924,0.0799870395541104
16,8.68132621339652e-6,0.170518629695378,-0.07857002297141044,-0.03231405069367521,0.05576334700249426,0.14072106556205172
17,0.01413024438753203,0.08868527961622412,-0.021608812006025754,-0.027421949793861533,0.06173402634523063,0.06773206340581985
18,0.08559175355593039,0.09157290965494383,-0.022756037687361837,-0.023700500959749154,0.07074019305444663,0.07816310214380569
19,0.055610286521695335,0.09652194050319027,-0.03559030381062469,-0.02596107837569324,0.06188084993385191,0.0812613470537679
20,7.564770638069393e-5,0.141050748094839,-0.05446070927781605,-0.044553749347354704,0.07639332771135805,0.10599759802980101
21,0.07766812069600322,0.1362302324726264,-0.05277159236819394,-0.03942697322739541,0.0905614829708322,0.1152621257697271
22,0.01253098144148896,0.15186051475897416,-0.041567719415765036,-0.03018613938769829,0.09577053660033152,0.12161605636961877
23,4.122674187568302e-5,0.1108400738666248,-0.025056892976129203,-0.023848737326228303,0.07857140861831201,0.07365852031210834
24,0.0013091556836397136,0.10703478026632317,-0.044969426282311153,-0.03699729090381468,0.04550740686175583,0.08614682698017652
25,0.007990796586231069,0.07601095090382355,-0.03063133166476857,-0.02060260610907999,0.039539731002186954,0.06036760479293976
26,0.017493087838525698,0.07262496956719114,-0.029323369156282468,-0.026334272480697155,0.042668563588634495,0.05694552780534573
27,0.21815423467484796,0.07795060209772779,-0.02906657425507485,-0.027407933759039743,0.052730930731218054,0.0799870395541104
28,0.08046828463244173,0.08116434109628944,-0.017120709524223367,-0.013248238055227346,0.055990264794277905,0.07465454884262311
