mos_into_deployment,pdf_resolution,statistic,plottype,value
0,32,mean,meas,0.20045014009374332
0,32,mean,ref,0.20045014009374332
0,32,sd,meas,0.1070170434314687
0,32,sd,ref,0.1070170434314687
0,32,kurtosis,meas,58.20640317736354
0,32,kurtosis,ref,58.20640317736354
0,32,skewness,meas,5.1433487454512585
0,32,skewness,ref,5.1433487454512585
0,32,KL,NA,0
0,32,hellinger,NA,0
0,32,euclidean,NA,0
1,12,mean,meas,0.18509180365449054
1,12,mean,ref,0.18509180365449054
1,12,sd,meas,0.05425271813199009
1,12,sd,ref,0.05425271813199009
1,12,kurtosis,meas,13.432347059310448
1,12,kurtosis,ref,13.432347059310448
1,12,skewness,meas,2.247836469982975
1,12,skewness,ref,2.247836469982975
1,12,KL,NA,0
1,12,hellinger,NA,0
1,12,euclidean,NA,0
2,11,mean,meas,0.22725560731842254
2,11,mean,ref,0.22725560731842254
2,11,sd,meas,0.07850104720638476
2,11,sd,ref,0.07850104720638476
2,11,kurtosis,meas,4.777054462853093
2,11,kurtosis,ref,4.777054462853093
2,11,skewness,meas,0.8433617406273067
2,11,skewness,ref,0.8433617406273067
2,11,KL,NA,0
2,11,hellinger,NA,0
2,11,euclidean,NA,0
3,14,mean,meas,0.28211525795796194
3,14,mean,ref,0.28211525795796194
3,14,sd,meas,0.14917401141092682
3,14,sd,ref,0.14917401141092682
3,14,kurtosis,meas,5.9220087983872585
3,14,kurtosis,ref,5.9220087983872585
3,14,skewness,meas,1.9742388105382702
3,14,skewness,ref,1.9742388105382702
3,14,KL,NA,0
3,14,hellinger,NA,0
3,14,euclidean,NA,0
4,8,mean,meas,0.2826878679067406
4,8,mean,ref,0.2826878679067406
4,8,sd,meas,0.05657332971153818
4,8,sd,ref,0.05657332971153818
4,8,kurtosis,meas,2.758180874872994
4,8,kurtosis,ref,2.758180874872994
4,8,skewness,meas,0.28543219488705984
4,8,skewness,ref,0.28543219488705984
4,8,KL,NA,0
4,8,hellinger,NA,0
4,8,euclidean,NA,0
5,12,mean,meas,0.27058881860052114
5,12,mean,ref,0.27058881860052114
5,12,sd,meas,0.07117533823139385
5,12,sd,ref,0.07117533823139385
5,12,kurtosis,meas,8.005391503390257
5,12,kurtosis,ref,8.005391503390257
5,12,skewness,meas,1.5456774122657264
5,12,skewness,ref,1.5456774122657264
5,12,KL,NA,0
5,12,hellinger,NA,0
5,12,euclidean,NA,0
6,11,mean,meas,0.24896499598568322
6,11,mean,ref,0.24896499598568322
6,11,sd,meas,0.08650256483910208
6,11,sd,ref,0.08650256483910208
6,11,kurtosis,meas,7.1490305587033625
6,11,kurtosis,ref,7.1490305587033625
6,11,skewness,meas,1.8833489259628218
6,11,skewness,ref,1.8833489259628218
6,11,KL,NA,0
6,11,hellinger,NA,0
6,11,euclidean,NA,0
7,19,mean,meas,0.24503236673873297
7,19,mean,ref,0.24503236673873297
7,19,sd,meas,0.1256897630153002
7,19,sd,ref,0.1256897630153002
7,19,kurtosis,meas,9.087939830898218
7,19,kurtosis,ref,9.087939830898218
7,19,skewness,meas,2.163501167846335
7,19,skewness,ref,2.163501167846335
7,19,KL,NA,0
7,19,hellinger,NA,0
7,19,euclidean,NA,0
8,32,mean,meas,0.24140004890775
8,32,mean,ref,0.24140004890775
8,32,sd,meas,0.17853119638594747
8,32,sd,ref,0.17853119638594747
8,32,kurtosis,meas,14.864745946425112
8,32,kurtosis,ref,14.864745946425112
8,32,skewness,meas,3.0248137606249252
8,32,skewness,ref,3.0248137606249252
8,32,KL,NA,0
8,32,hellinger,NA,0
8,32,euclidean,NA,0
9,20,mean,meas,0.2066433419794885
9,20,mean,ref,0.2066433419794885
9,20,sd,meas,0.12126308579162183
9,20,sd,ref,0.12126308579162183
9,20,kurtosis,meas,12.171103039932328
9,20,kurtosis,ref,12.171103039932328
9,20,skewness,meas,2.7251520236319715
9,20,skewness,ref,2.7251520236319715
9,20,KL,NA,0
9,20,hellinger,NA,0
9,20,euclidean,NA,0
10,13,mean,meas,0.17458850470874426
10,13,mean,ref,0.17458850470874426
10,13,sd,meas,0.07974819293197853
10,13,sd,ref,0.07974819293197853
10,13,kurtosis,meas,12.358267746544346
10,13,kurtosis,ref,12.358267746544346
10,13,skewness,meas,2.5037359819788434
10,13,skewness,ref,2.5037359819788434
10,13,KL,NA,0
10,13,hellinger,NA,0
10,13,euclidean,NA,0
11,10,mean,meas,0.1796481564802418
11,10,mean,ref,0.1796481564802418
11,10,sd,meas,0.0814092138042806
11,10,sd,ref,0.0814092138042806
11,10,kurtosis,meas,6.098222269292634
