mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.16583466598123373,NA
1,NA,NA,NA,NA,0.16477092077125,NA
2,NA,NA,NA,NA,0.12247087222249778,NA
3,NA,NA,NA,NA,0.11877170780789427,NA
4,NA,NA,NA,NA,0.10244665173431727,NA
5,NA,NA,NA,NA,0.08024134127097418,NA
6,NA,NA,NA,NA,0.08463580280287936,NA
7,NA,NA,NA,NA,0.14583295442814986,NA
8,NA,NA,NA,NA,0.0754541194201849,NA
9,NA,NA,NA,NA,0.0829083853609798,NA
10,NA,NA,NA,NA,0.07933744440469442,NA
11,NA,NA,NA,NA,0.14198427049601442,NA
12,NA,NA,NA,NA,0.13260423486658207,NA
13,NA,NA,NA,NA,0.17157696533938996,NA
14,NA,NA,NA,NA,0.08226411851103603,NA
15,NA,NA,NA,NA,0.1007886118294242,NA
16,NA,NA,NA,NA,0.08925795608631437,NA
17,NA,NA,NA,NA,0.06969540322978451,NA
18,NA,NA,NA,NA,0.06265383190370259,NA
19,NA,NA,NA,NA,0.0642890891569939,NA
20,NA,NA,NA,NA,0.0657173978940652,NA
21,NA,NA,NA,NA,0.07014955011829596,NA
22,NA,NA,NA,NA,0.07139901979607209,NA
23,NA,NA,NA,NA,0.1259501021353313,NA
24,NA,NA,NA,NA,0.13874250751421827,NA
25,NA,NA,NA,NA,0.1446885858578231,NA
26,NA,NA,NA,NA,0.11444429413585992,NA
27,NA,NA,NA,NA,0.06410032622128915,NA
28,NA,NA,NA,NA,0.07746892845312549,NA
29,NA,NA,NA,NA,0.06956333700414018,NA
30,NA,NA,NA,NA,0.06399223023408784,NA
31,NA,NA,NA,NA,0.06595846999754071,NA
