mos_into_deployment,pdf_resolution,statistic,plottype,value
0,39,mean,meas,0.2406790302687016
0,39,mean,ref,0.4361118568232662
0,39,sd,meas,0.19764526376562797
0,39,sd,ref,0.2709718285258012
0,39,kurtosis,meas,19.437692595511017
0,39,kurtosis,ref,9.007376769598096
0,39,skewness,meas,3.537393096336568
0,39,skewness,ref,2.140913999356977
0,39,KL,NA,1.1549945975040397
0,39,hellinger,NA,0.4798537064821809
0,39,euclidean,NA,0.33204167100659604
1,37,mean,meas,0.24991983915472557
1,37,mean,ref,0.42451139601139604
1,37,sd,meas,0.20049238129792427
1,37,sd,ref,0.268208202093506
1,37,kurtosis,meas,11.934877839094074
1,37,kurtosis,ref,10.386535339422588
1,37,skewness,meas,2.8437235996483117
1,37,skewness,ref,2.402353186467197
1,37,KL,NA,0.8342553670421724
1,37,hellinger,NA,0.44574293841140145
1,37,euclidean,NA,0.37105070484480135
2,35,mean,meas,0.21902898084940145
2,35,mean,ref,0.40436804564907275
2,35,sd,meas,0.13054860557820805
2,35,sd,ref,0.18996233853891947
2,35,kurtosis,meas,20.61787248818103
2,35,kurtosis,ref,11.795328389224812
2,35,skewness,meas,3.3503374233741736
2,35,skewness,ref,2.161352758119117
2,35,KL,NA,1.186518678338007
2,35,hellinger,NA,0.5101372078115175
2,35,euclidean,NA,0.4039518789500268
3,26,mean,meas,0.20492856848598348
3,26,mean,ref,0.36815251572327046
3,26,sd,meas,0.11306279513519844
3,26,sd,ref,0.1628857490804634
3,26,kurtosis,meas,26.002963987244403
3,26,kurtosis,ref,7.785387716026022
3,26,skewness,meas,3.855201704967948
3,26,skewness,ref,1.6850663813581714
3,26,KL,NA,1.2333767956455863
3,26,hellinger,NA,0.5177538094410515
3,26,euclidean,NA,0.42946185384198343
4,23,mean,meas,0.19364768510882832
4,23,mean,ref,0.3320975609756098
4,23,sd,meas,0.1081819127558525
4,23,sd,ref,0.1663199058381514
4,23,kurtosis,meas,20.705889268528757
4,23,kurtosis,ref,8.4957502501874
4,23,skewness,meas,3.5170604179910416
4,23,skewness,ref,1.9952814419431915
4,23,KL,NA,0.9227262797439286
4,23,hellinger,NA,0.48004498901047254
4,23,euclidean,NA,0.3891419661489702
5,19,mean,meas,0.18515443503054901
5,19,mean,ref,0.29986506746626684
5,19,sd,meas,0.07911196974006472
5,19,sd,ref,0.13095922305133822
5,19,kurtosis,meas,14.958920209852318
5,19,kurtosis,ref,5.304260342204757
