mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.16583466598123373,0.16583466598123373
1,1,0,0,0,0.16477092077125,0.16477092077125
2,1,0,0,0,0.12247087222249778,0.12247087222249778
3,1,0,0,0,0.11877170780789427,0.11877170780789427
4,1,0,0,0,0.10244665173431727,0.10244665173431727
5,1,0,0,0,0.08024134127097418,0.08024134127097418
6,1,0,0,0,0.08463580280287936,0.08463580280287936
7,1,0,0,0,0.14583295442814986,0.14583295442814986
8,1,0,0,0,0.0754541194201849,0.0754541194201849
9,1,0,0,0,0.0829083853609798,0.0829083853609798
10,1,0,0,0,0.07933744440469442,0.07933744440469442
11,1,0,0,0,0.14198427049601442,0.14198427049601442
12,0.0036259787285327864,0.1948633894934633,0.01457094529571965,0.012299172985202889,0.13260423486658207,0.16583466598123373
13,2.2894663991613243e-4,0.23714344119626982,0.017181492866357215,0.01424522558126809,0.17157696533938996,0.16477092077125
14,0.013666020077504917,0.13550808528306782,-0.011104319705611947,-0.0037788539707551,0.08226411851103603,0.12247087222249778
15,4.098756650764445e-6,0.144250556269865,0.001494316996803312,0.0073268522396084945,0.1007886118294242,0.11877170780789427
16,0.004242877015792332,0.11396101476102931,-0.0018187505002799185,0.002555748219661813,0.08925795608631437,0.10244665173431727
17,0.00960484499367135,0.10444955472328427,-0.001281295908479037,0.004643817744500484,0.06969540322978451,0.08024134127097418
18,0.1060419303625097,0.09212521239791492,-0.006510460831162042,0.004602469648691446,0.06265383190370259,0.08463580280287936
19,0.06888449480029854,0.184108559060998,-0.10349130163328533,-0.058836257277467274,0.0642890891569939,0.14583295442814986
20,0.013029998792239383,0.0999351647090352,-0.047016977110710206,-0.04351103586497801,0.0657173978940652,0.0754541194201849
21,0.05532088719266828,0.11160452070967009,-0.03420773209561004,-0.0350769644862923,0.07014955011829596,0.0829083853609798
22,0.10396414853724373,0.10428642696298379,-0.0529587643659359,-0.05259246201365822,0.07139901979607209,0.07933744440469442
23,0.009380651821252398,0.2055433507631058,-0.03414032710564722,-0.028579889911758194,0.1259501021353313,0.14198427049601442
24,0.014716313733046988,0.20746958961258044,-0.0022559343160339323,-0.004129984240396595,0.13874250751421827,0.16583466598123373
25,0.0035589953194921074,0.23820016054693277,0.007353124656091583,0.025381076797941993,0.1446885858578231,0.16477092077125
26,0.025819805309193197,0.1495658327728219,-0.03210396992609622,-0.02569485277595379,0.11444429413585992,0.12247087222249778
27,8.19530219611019e-4,0.14387556811911853,-0.0477799368182846,-0.03175344098365045,0.06410032622128915,0.11877170780789427
28,0.007192702037050301,0.10878104219885978,-0.011490614259782832,-0.01459023375487839,0.07746892845312549,0.10244665173431727
29,0.003978869501616929,0.10920113551918151,-0.012524815959558516,-0.0068041930235812065,0.06956333700414018,0.08024134127097418
30,0.13069065822901552,0.09314667172732986,-0.009807329450085498,-0.007742647223911853,0.06399223023408784,0.08463580280287936
31,0.33543871700322625,0.08704195671836232,-0.022165330617578666,-0.014825612319225981,0.06595846999754071,0.08361390233669501
