mos_into_deployment,pdf_resolution,statistic,plottype,value
0,37,mean,meas,0.2406790302687016
0,37,mean,ref,0.2406790302687016
0,37,sd,meas,0.19764526376562797
0,37,sd,ref,0.19764526376562797
0,37,kurtosis,meas,19.437692595511017
0,37,kurtosis,ref,19.437692595511017
0,37,skewness,meas,3.537393096336568
0,37,skewness,ref,3.537393096336568
0,37,KL,NA,0
0,37,hellinger,NA,0
0,37,euclidean,NA,0
1,27,mean,meas,0.24991983915472557
1,27,mean,ref,0.24991983915472557
1,27,sd,meas,0.20049238129792427
1,27,sd,ref,0.20049238129792427
1,27,kurtosis,meas,11.934877839094074
1,27,kurtosis,ref,11.934877839094074
1,27,skewness,meas,2.8437235996483117
1,27,skewness,ref,2.8437235996483117
1,27,KL,NA,0
1,27,hellinger,NA,0
1,27,euclidean,NA,0
2,27,mean,meas,0.21902898084940145
2,27,mean,ref,0.21902898084940145
2,27,sd,meas,0.13054860557820805
2,27,sd,ref,0.13054860557820805
2,27,kurtosis,meas,20.61787248818103
2,27,kurtosis,ref,20.61787248818103
2,27,skewness,meas,3.3503374233741736
2,27,skewness,ref,3.3503374233741736
2,27,KL,NA,0
2,27,hellinger,NA,0
2,27,euclidean,NA,0
3,26,mean,meas,0.20492856848598348
3,26,mean,ref,0.20492856848598348
3,26,sd,meas,0.11306279513519844
3,26,sd,ref,0.11306279513519844
3,26,kurtosis,meas,26.002963987244403
3,26,kurtosis,ref,26.002963987244403
3,26,skewness,meas,3.855201704967948
3,26,skewness,ref,3.855201704967948
3,26,KL,NA,0
3,26,hellinger,NA,0
3,26,euclidean,NA,0
4,21,mean,meas,0.19364768510882832
4,21,mean,ref,0.19364768510882832
4,21,sd,meas,0.1081819127558525
4,21,sd,ref,0.1081819127558525
4,21,kurtosis,meas,20.705889268528757
4,21,kurtosis,ref,20.705889268528757
4,21,skewness,meas,3.5170604179910416
4,21,skewness,ref,3.5170604179910416
4,21,KL,NA,0
4,21,hellinger,NA,0
4,21,euclidean,NA,0
5,16,mean,meas,0.18515443503054901
5,16,mean,ref,0.18515443503054901
5,16,sd,meas,0.07911196974006472
5,16,sd,ref,0.07911196974006472
5,16,kurtosis,meas,14.958920209852318
5,16,kurtosis,ref,14.958920209852318
5,16,skewness,meas,2.5699268619268794
5,16,skewness,ref,2.5699268619268794
5,16,KL,NA,0
5,16,hellinger,NA,0
5,16,euclidean,NA,0
6,11,mean,meas,0.19708297828955892
6,11,mean,ref,0.19708297828955892
6,11,sd,meas,0.08164449121736117
6,11,sd,ref,0.08164449121736117
6,11,kurtosis,meas,5.074084814120572
6,11,kurtosis,ref,5.074084814120572
6,11,skewness,meas,1.0212581765420774
6,11,skewness,ref,1.0212581765420774
6,11,KL,NA,0
6,11,hellinger,NA,0
6,11,euclidean,NA,0
7,17,mean,meas,0.2848190796845639
7,17,mean,ref,0.2848190796845639
7,17,sd,meas,0.144862060902432
7,17,sd,ref,0.144862060902432
7,17,kurtosis,meas,5.600344405209238
7,17,kurtosis,ref,5.600344405209238
7,17,skewness,meas,1.6859836788651557
7,17,skewness,ref,1.6859836788651557
7,17,KL,NA,0
7,17,hellinger,NA,0
7,17,euclidean,NA,0
8,11,mean,meas,0.24445261075880703
8,11,mean,ref,0.24445261075880703
8,11,sd,meas,0.0799805965642267
8,11,sd,ref,0.0799805965642267
8,11,kurtosis,meas,2.8446249614829675
8,11,kurtosis,ref,2.8446249614829675
8,11,skewness,meas,0.4672738573329873
8,11,skewness,ref,0.4672738573329873
8,11,KL,NA,0
8,11,hellinger,NA,0
8,11,euclidean,NA,0
9,13,mean,meas,0.26226511399520286
9,13,mean,ref,0.26226511399520286
9,13,sd,meas,0.08645677265441022
9,13,sd,ref,0.08645677265441022
9,13,kurtosis,meas,5.269640906215093
9,13,kurtosis,ref,5.269640906215093
9,13,skewness,meas,1.093868416143561
9,13,skewness,ref,1.093868416143561
9,13,KL,NA,0
9,13,hellinger,NA,0
9,13,euclidean,NA,0
10,17,mean,meas,0.26660600510828486
10,17,mean,ref,0.26660600510828486
10,17,sd,meas,0.10128265278712642
10,17,sd,ref,0.10128265278712642
10,17,kurtosis,meas,7.335095904575273
10,17,kurtosis,ref,7.335095904575273
10,17,skewness,meas,1.5486009801425655
10,17,skewness,ref,1.5486009801425655
10,17,KL,NA,0
10,17,hellinger,NA,0
10,17,euclidean,NA,0
11,25,mean,meas,0.27147593729969216
11,25,mean,ref,0.27147593729969216
11,25,sd,meas,0.14669429100377207
11,25,sd,ref,0.14669429100377207
11,25,kurtosis,meas,11.85382750474625
11,25,kurtosis,ref,11.85382750474625
11,25,skewness,meas,2.4469392135865418
11,25,skewness,ref,2.4469392135865418
11,25,KL,NA,0
11,25,hellinger,NA,0
11,25,euclidean,NA,0
12,37,mean,meas,0.24211265345450547
12,37,mean,ref,0.2406790302687016
12,37,sd,meas,0.14475775092418078
12,37,sd,ref,0.19764526376562797
12,37,kurtosis,meas,12.160883068095051
12,37,kurtosis,ref,19.437692595511017
12,37,skewness,meas,2.6962479457979636
12,37,skewness,ref,3.537393096336568
12,37,KL,NA,0.3032059801063586
12,37,hellinger,NA,0.2155574436864175
12,37,euclidean,NA,0.1146814428272074
13,27,mean,meas,0.27057882789044513
13,27,mean,ref,0.24991983915472557
13,27,sd,meas,0.17410280259296745
13,27,sd,ref,0.20049238129792427
13,27,kurtosis,meas,8.208771726265697
13,27,kurtosis,ref,11.934877839094074
13,27,skewness,meas,2.1628983594684423
13,27,skewness,ref,2.8437235996483117
13,27,KL,NA,0.16074621593671667
13,27,hellinger,NA,0.16499296026797147
13,27,euclidean,NA,0.1122062751016911
14,27,mean,meas,0.21224005149412956
14,27,mean,ref,0.21902898084940145
14,27,sd,meas,0.11506429819045576
14,27,sd,ref,0.13054860557820805
14,27,kurtosis,meas,16.312200581964042
14,27,kurtosis,ref,20.61787248818103
14,27,skewness,meas,3.1205971063484004
14,27,skewness,ref,3.3503374233741736
14,27,KL,NA,0.27814895238644094
14,27,hellinger,NA,0.15898903883888563
14,27,euclidean,NA,0.051886760985055035
15,26,mean,meas,0.22012896932022852
15,26,mean,ref,0.20492856848598348
15,26,sd,meas,0.12780517136707237
15,26,sd,ref,0.11306279513519844
15,26,kurtosis,meas,7.706420154433821
15,26,kurtosis,ref,26.002963987244403
15,26,skewness,meas,2.080114087494831
15,26,skewness,ref,3.855201704967948
15,26,KL,NA,0.08333413769066463
15,26,hellinger,NA,0.1305893381691045
15,26,euclidean,NA,0.11419917630266718
16,21,mean,meas,0.1878451366650789
16,21,mean,ref,0.19364768510882832
16,21,sd,meas,0.09621135448009471
16,21,sd,ref,0.1081819127558525
16,21,kurtosis,meas,13.85614266607369
16,21,kurtosis,ref,20.705889268528757
16,21,skewness,meas,2.7972605255233547
16,21,skewness,ref,3.5170604179910416
16,21,KL,NA,0.03252828975365012
16,21,hellinger,NA,0.07315871113285205
16,21,euclidean,NA,0.07302729950110817
17,17,mean,meas,0.18324217783267144
17,17,mean,ref,0.18515443503054901
17,17,sd,meas,0.07158208563233394
17,17,sd,ref,0.07911196974006472
17,17,kurtosis,meas,17.45260296756231
17,17,kurtosis,ref,14.958920209852318
17,17,skewness,meas,2.7288621252371197
17,17,skewness,ref,2.5699268619268794
17,17,KL,NA,0.06541384881176661
17,17,hellinger,NA,0.09473234211418244
17,17,euclidean,NA,0.0438325939946097
18,12,mean,meas,0.20099248836400294
18,12,mean,ref,0.19708297828955892
18,12,sd,meas,0.06458188574367493
18,12,sd,ref,0.08164449121736117
