mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.26977287254783483
0,0,mean,ref,NA
0,0,sd,meas,0.567364445188144
0,0,sd,ref,NA
0,0,kurtosis,meas,112.45570601182813
0,0,kurtosis,ref,NA
0,0,skewness,meas,10.226094792204323
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,0,mean,meas,0.198224309694944
2,0,mean,ref,NA
2,0,sd,meas,0.10101981901878729
2,0,sd,ref,NA
2,0,kurtosis,meas,321.9697289784672
2,0,kurtosis,ref,NA
2,0,skewness,meas,16.600620721903287
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.20569576150318683
3,0,mean,ref,NA
3,0,sd,meas,0.0348336364840228
3,0,sd,ref,NA
3,0,kurtosis,meas,5.207095291440914
3,0,kurtosis,ref,NA
3,0,skewness,meas,1.0368762556431557
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.1988807431013099
4,0,mean,ref,NA
4,0,sd,meas,0.028784418516594888
4,0,sd,ref,NA
4,0,kurtosis,meas,5.453542049565761
4,0,kurtosis,ref,NA
4,0,skewness,meas,1.1333573012065752
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.20948736644075663
5,0,mean,ref,NA
5,0,sd,meas,0.08792948693433025
5,0,sd,ref,NA
5,0,kurtosis,meas,399.41754398331034
5,0,kurtosis,ref,NA
5,0,skewness,meas,17.41681217256508
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.22016053925030624
6,0,mean,ref,NA
6,0,sd,meas,0.1062262338792448
6,0,sd,ref,NA
6,0,kurtosis,meas,7.1186253551429965
6,0,kurtosis,ref,NA
6,0,skewness,meas,1.7829907929158024
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.22781650960944463
7,0,mean,ref,NA
7,0,sd,meas,0.08103928004754023
7,0,sd,ref,NA
7,0,kurtosis,meas,11.475743721702713
7,0,kurtosis,ref,NA
7,0,skewness,meas,2.5381207140666393
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.22234421104653748
8,0,mean,ref,NA
8,0,sd,meas,0.10580553879813301
8,0,sd,ref,NA
8,0,kurtosis,meas,21.322145077076406
8,0,kurtosis,ref,NA
8,0,skewness,meas,3.753311791708774
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.23651016806349473
9,0,mean,ref,NA
9,0,sd,meas,0.08452164846075388
9,0,sd,ref,NA
9,0,kurtosis,meas,12.319006270965442
9,0,kurtosis,ref,NA
9,0,skewness,meas,2.4557170585029366
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.22960733235647587
10,0,mean,ref,NA
10,0,sd,meas,0.07328012349270797
10,0,sd,ref,NA
10,0,kurtosis,meas,17.013268194977904
10,0,kurtosis,ref,NA
10,0,skewness,meas,2.845161777992796
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.2241975069697239
11,0,mean,ref,NA
11,0,sd,meas,0.3104954642969482
11,0,sd,ref,NA
11,0,kurtosis,meas,149.86672273713955
11,0,kurtosis,ref,NA
11,0,skewness,meas,11.75437673913929
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.20132906178433674
12,0,mean,ref,NA
12,0,sd,meas,0.08429555303166014
12,0,sd,ref,NA
12,0,kurtosis,meas,5.306893845011174
12,0,kurtosis,ref,NA
12,0,skewness,meas,1.3606315466598866
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.20250201398158754
13,0,mean,ref,NA
13,0,sd,meas,0.0633691498427646
13,0,sd,ref,NA
13,0,kurtosis,meas,7.2297914841361495
13,0,kurtosis,ref,NA
13,0,skewness,meas,1.1755994714145173
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.23284894493929803
14,0,mean,ref,NA
14,0,sd,meas,0.07289776148390766
14,0,sd,ref,NA
14,0,kurtosis,meas,3.892715913109167
14,0,kurtosis,ref,NA
14,0,skewness,meas,0.7918372670301578
14,0,skewness,ref,NA
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,0.28781447562296225
