mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.26977287254783483
0,0,mean,ref,NA
0,0,sd,meas,0.567364445188144
0,0,sd,ref,NA
0,0,kurtosis,meas,112.45570601182813
0,0,kurtosis,ref,NA
0,0,skewness,meas,10.226094792204323
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,0,mean,meas,0.1992707749699007
2,0,mean,ref,NA
2,0,sd,meas,0.0974727564498926
2,0,sd,ref,NA
2,0,kurtosis,meas,341.38875835709507
2,0,kurtosis,ref,NA
2,0,skewness,meas,16.997538984434613
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.20569576150318683
3,0,mean,ref,NA
3,0,sd,meas,0.0348336364840228
3,0,sd,ref,NA
3,0,kurtosis,meas,5.207095291440914
3,0,kurtosis,ref,NA
3,0,skewness,meas,1.0368762556431557
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.1988807431013099
4,0,mean,ref,NA
4,0,sd,meas,0.028784418516594888
4,0,sd,ref,NA
4,0,kurtosis,meas,5.453542049565761
4,0,kurtosis,ref,NA
4,0,skewness,meas,1.1333573012065752
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.2094933484295702
5,0,mean,ref,NA
5,0,sd,meas,0.08770990343679622
5,0,sd,ref,NA
5,0,kurtosis,meas,399.52740017612024
5,0,kurtosis,ref,NA
5,0,skewness,meas,17.383827321342388
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.2144324419880145
6,0,mean,ref,NA
6,0,sd,meas,0.10400011573986177
6,0,sd,ref,NA
6,0,kurtosis,meas,7.433330226192411
6,0,kurtosis,ref,NA
6,0,skewness,meas,1.8447588928720466
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,19,mean,meas,0.22781650960944463
7,19,mean,ref,0.35678947368421055
7,19,sd,meas,0.08103928004754023
7,19,sd,ref,0.15367676790731027
7,19,kurtosis,meas,11.475743721702713
7,19,kurtosis,ref,5.083871859575348
7,19,skewness,meas,2.5381207140666393
7,19,skewness,ref,1.1221727269220372
7,19,KL,NA,0.9698385381455149
7,19,hellinger,NA,0.4313424064154004
7,19,euclidean,NA,0.4038318628807985
8,38,mean,meas,0.22234421104653748
8,38,mean,ref,0.42129812606473593
8,38,sd,meas,0.10580553879813301
8,38,sd,ref,0.28462069492469716
8,38,kurtosis,meas,21.322145077076406
8,38,kurtosis,ref,9.317227217281129
8,38,skewness,meas,3.753311791708774
8,38,skewness,ref,2.30009940034608
8,38,KL,NA,1.3433460653335454
8,38,hellinger,NA,0.467690624839014
8,38,euclidean,NA,0.431238469145551
9,36,mean,meas,0.23651016806349473
9,36,mean,ref,0.43749420289855073
9,36,sd,meas,0.08452164846075388
9,36,sd,ref,0.23230485349877636
9,36,kurtosis,meas,12.319006270965442
9,36,kurtosis,ref,11.767369584784793
9,36,skewness,meas,2.4557170585029366
9,36,skewness,ref,2.3931503169136628
9,36,KL,NA,1.911570786923598
9,36,hellinger,NA,0.5083328216878655
9,36,euclidean,NA,0.4141147761686771
10,33,mean,meas,0.22960733235647587
10,33,mean,ref,0.406015558698727
10,33,sd,meas,0.07328012349270797
10,33,sd,ref,0.2020061102939981
10,33,kurtosis,meas,17.013268194977904
10,33,kurtosis,ref,10.839659441873705
10,33,skewness,meas,2.845161777992796
10,33,skewness,ref,2.2398218343461447
10,33,KL,NA,1.8098034446349869
10,33,hellinger,NA,0.5197576830719471
10,33,euclidean,NA,0.4096966570070584
11,83,mean,meas,0.22367489471711055
11,83,mean,ref,0.3297013651877133
11,83,sd,meas,0.30881696104338147
11,83,sd,ref,0.15286887705083285
11,83,kurtosis,meas,151.50146907842839
11,83,kurtosis,ref,8.134190543352705
11,83,skewness,meas,11.81743241439214
11,83,skewness,ref,1.7759581770509676
11,83,KL,NA,1.0748421373336612
11,83,hellinger,NA,0.4373098944375939
11,83,euclidean,NA,0.32014694362506496
12,24,mean,meas,0.19950836475682085
12,24,mean,ref,0.3206121297602257
12,24,sd,meas,0.08499748175274283
12,24,sd,ref,0.15353138923288537
12,24,kurtosis,meas,5.263889228842241
12,24,kurtosis,ref,7.331018642132316
12,24,skewness,meas,1.336928183014196
12,24,skewness,ref,1.733174801971297
12,24,KL,NA,0.8413829612102661
12,24,hellinger,NA,0.40642409580635674
12,24,euclidean,NA,0.2802009877933896
13,16,mean,meas,0.1907681816981139
13,16,mean,ref,0.32036875
13,16,sd,meas,0.06649338068450647
13,16,sd,ref,0.13642625697258318
13,16,kurtosis,meas,5.914089628399401
13,16,kurtosis,ref,4.013735113462598
13,16,skewness,meas,0.9471516886598234
