mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.567364445188144,0.567364445188144
2,1,0,0,0,0.0974727564498926,0.0974727564498926
3,1,0,0,0,0.0348336364840228,0.0348336364840228
4,1,0,0,0,0.028784418516594888,0.028784418516594888
5,1,0,0,0,0.08770990343679622,0.08770990343679622
6,1,0,0,0,0.10400011573986177,0.10400011573986177
7,1,0,0,0,0.08103928004754023,0.08103928004754023
8,1,0,0,0,0.10580553879813301,0.10580553879813301
9,1,0,0,0,0.08452164846075388,0.08452164846075388
10,1,0,0,0,0.07328012349270797,0.07328012349270797
11,1,0,0,0,0.30881696104338147,0.30881696104338147
12,0.0019470354415638208,0.5790617685306095,-0.08189170347426905,-0.013394351749926814,0.08499748175274283,0.567364445188144
13,NA,NA,NA,NA,0.06649338068450647,NA
14,9.694050788410692e-6,0.12799117866809115,0.033570222752799236,0.03422591454433249,0.07355645422131436,0.0974727564498926
15,0.0017681642680367918,0.14888486026807807,0.06455477892377617,0.032108279238535375,0.13113716392534583,0.0348336364840228
16,0.024971362753558653,0.09285739539307661,0.04188679083089243,0.03393911653159137,0.08244005460998763,0.028784418516594888
17,0.0015976310627910815,0.1363547720491282,0.042361299021017436,0.031970178988535686,0.09039234248927314,0.08770990343679622
18,0.024993238356085783,0.15428801912156723,0.039193938355023716,0.04148793628147451,0.09248327183202475,0.10400011573986177
19,0.0021334921237306866,0.14020008213324103,0.01391479797058442,-0.0018253803988583922,0.11747656601641497,0.08103928004754023
20,0.0033373301484341915,0.315283204721877,0.031701265788070886,-0.019615544045560193,0.2894852383631163,0.10580553879813301
21,1.7408556364355247e-4,0.13901463696273803,-0.027989149329749923,-0.0428688594723923,0.10523058287495994,0.08452164846075388
22,0.005020265414984231,0.11878688227464422,-0.011912623847011711,-0.018614014929109912,0.09614987741617591,0.07328012349270797
23,1.2343970854636452e-4,0.31958002554072723,-0.06767170480092137,-0.026474448847156898,0.08274729598463831,0.30881696104338147
24,0.0018254850624134396,0.5811648788120398,-0.07917678175759493,-0.03641121974843566,0.08727954633506595,0.567364445188144
25,NA,NA,NA,NA,0.0690923679801999,NA
26,0.027954898253993533,0.10926637347523972,-0.005216532300172105,-0.0032968210811387955,0.06691437207115973,0.0974727564498926
27,0.00666239811356256,0.07705601254850328,-0.003209004648814883,-0.009618332993618597,0.07160540745426035,0.0348336364840228
28,6.023450001907056e-4,0.0948965332217075,0.04039422138742541,0.026044681185882185,0.08167971798917019,0.028784418516594888
29,0.005557393611633448,0.11793485146789735,0.03096522118468718,0.02935467735400965,0.07928907912518923,0.08770990343679622
30,0.028178772475526352,0.12616682758209063,0.021479072131901797,0.025843049919389696,0.08825002946463929,0.10400011573986177
31,0.00688611717951017,0.28630950538613203,-0.04130339620346045,-0.057655661770077,0.25863238969334296,0.08103928004754023
32,0.024699756549957066,0.16985180228339203,-0.01965353343771358,-0.0277309780137331,0.11597859255194755,0.10580553879813301
33,0.01581390814740741,0.14322328078776503,-0.04753826041002657,-0.05648633103971564,0.11667911803222632,0.08452164846075388
34,0.003480196416892487,0.12642002477133116,-0.05383434389754017,-0.060642341579357106,0.09035037215545931,0.07328012349270797
35,0.0028202448799679483,0.33615314368392335,-0.043203570412726086,-0.0468608320781497,0.09398620736706698,0.30881696104338147
36,0.002339988242978234,0.5795390461802756,-0.07233746492063156,-0.018370250512672243,0.0718093471119825,0.567364445188144
37,NA,NA,NA,NA,0.30440974505710966,NA
38,0.0013504904830994539,0.1580852899615543,0.04742593111328276,0.05025125903505605,0.08737862949839262,0.11716504825752985
