mos_into_deployment,pdf_resolution,statistic,plottype,value
0,130,mean,meas,0.26977287254783483
0,130,mean,ref,0.26977287254783483
0,130,sd,meas,0.567364445188144
0,130,sd,ref,0.567364445188144
0,130,kurtosis,meas,112.45570601182813
0,130,kurtosis,ref,112.45570601182813
0,130,skewness,meas,10.226094792204323
0,130,skewness,ref,10.226094792204323
0,130,KL,NA,0
0,130,hellinger,NA,0
0,130,euclidean,NA,0
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,42,mean,meas,0.198224309694944
2,42,mean,ref,0.198224309694944
2,42,sd,meas,0.10101981901878729
2,42,sd,ref,0.10101981901878729
2,42,kurtosis,meas,321.9697289784672
2,42,kurtosis,ref,321.9697289784672
2,42,skewness,meas,16.600620721903287
2,42,skewness,ref,16.600620721903287
2,42,KL,NA,0
2,42,hellinger,NA,0
2,42,euclidean,NA,0
3,7,mean,meas,0.20569576150318683
3,7,mean,ref,0.20569576150318683
3,7,sd,meas,0.0348336364840228
3,7,sd,ref,0.0348336364840228
3,7,kurtosis,meas,5.207095291440914
3,7,kurtosis,ref,5.207095291440914
3,7,skewness,meas,1.0368762556431557
3,7,skewness,ref,1.0368762556431557
3,7,KL,NA,0
3,7,hellinger,NA,0
3,7,euclidean,NA,0
4,5,mean,meas,0.1988807431013099
4,5,mean,ref,0.1988807431013099
4,5,sd,meas,0.028784418516594888
4,5,sd,ref,0.028784418516594888
4,5,kurtosis,meas,5.453542049565761
4,5,kurtosis,ref,5.453542049565761
4,5,skewness,meas,1.1333573012065752
4,5,skewness,ref,1.1333573012065752
4,5,KL,NA,0
4,5,hellinger,NA,0
4,5,euclidean,NA,0
5,44,mean,meas,0.20948736644075663
5,44,mean,ref,0.20948736644075663
5,44,sd,meas,0.08792948693433025
5,44,sd,ref,0.08792948693433025
5,44,kurtosis,meas,399.41754398331034
5,44,kurtosis,ref,399.41754398331034
5,44,skewness,meas,17.41681217256508
5,44,skewness,ref,17.41681217256508
5,44,KL,NA,0
5,44,hellinger,NA,0
5,44,euclidean,NA,0
6,15,mean,meas,0.22016053925030624
