mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.12131065982982232,0.12131065982982232
1,1,0,0,0,0.07874005330445243,0.07874005330445243
2,1,0,0,0,0.4621296793760339,0.4621296793760339
3,1,0,0,0,0.16690159538879495,0.16690159538879495
4,1,0,0,0,0.14601314153825468,0.14601314153825468
5,1,0,0,0,0.13522834235993042,0.13522834235993042
6,1,0,0,0,0.06627710923291433,0.06627710923291433
7,1,0,0,0,0.07888632622602208,0.07888632622602208
8,1,0,0,0,0.06602812484584983,0.06602812484584983
9,1,0,0,0,0.10585713855854845,0.10585713855854845
10,1,0,0,0,0.22252191316601888,0.22252191316601888
11,1,0,0,0,0.09472503980745381,0.09472503980745381
12,0.018164523491279037,0.15272298580966187,0.025270253554972012,0.037827847215520155,0.08162379365528367,0.12131065982982232
13,0.2610457063515829,0.16417260198315617,0.09302815278116723,0.06841066194196069,0.09716608855903043,0.07874005330445243
14,4.3570418019868917e-4,0.4777129536104914,-0.004550128248044869,0.02507128524991241,0.12417643497873143,0.4621296793760339
15,0.020963824524459513,0.26877174115157504,0.0543208295523032,0.03380034080909536,0.174711137958694,0.16690159538879495
16,0.08440438527962321,0.20242352778972728,0.036965123245182856,0.0253079788554334,0.10156064861454019,0.14601314153825468
17,0.012035286946660275,0.17186986120363063,0.02479755890436963,0.0191707090493395,0.11734558753745263,0.13522834235993042
18,0.015111551041381418,0.10390017659930888,-0.002221326877862664,0.003617838287230106,0.07138649209430513,0.06627710923291433
19,0.007146132250329941,0.10461522984790164,-0.002634198086698202,-5.165769863337e-4,0.07568295810783365,0.07888632622602208
20,0.030685009358504836,0.10099690914407534,0.0035088675160148955,0.002372463292676208,0.08935841479482674,0.06602812484584983
21,0.06533718071059107,0.11137442637355341,-0.02557861672557755,-0.0172173941802152,0.05855395747790506,0.10585713855854845
22,2.851003678389734e-6,0.2630436468252837,-0.12374553198219239,-0.06243698563637358,0.06482870394986417,0.22252191316601888
23,0.046085739136628986,0.12740087445597742,-0.007384000649683204,-0.022038129198498208,0.11667270384176535,0.09472503980745381
24,0.021173400553861334,0.15073242353461572,0.021233150112276493,0.022276562641884795,0.09884710916073233,0.12131065982982232
25,0.011008915950938466,0.11822896411432919,0.017640530471774538,0.01637232525582956,0.10442817386243312,0.07874005330445243
26,0.003855517412044446,0.49666119507278783,-0.06171302505998885,-0.014952978137621656,0.09119554439846751,0.4621296793760339
27,0.014147187268349437,0.25049326386454945,-0.00111094719468361,0.0035447879803360005,0.16095372497923097,0.16690159538879495
28,0.02114114597326964,0.27273328826826515,0.07588486318785732,0.03592590324820451,0.140474249189677,0.14601314153825468
29,0.0038240162048347862,0.158358326091353,-0.02878027236501473,-0.029273211326205695,0.08117867965888662,0.13522834235993042
30,0.0040116112994147985,0.12146741165285976,-0.002466621802257067,-0.011392050337273363,0.09651955710238155,0.06627710923291433
31,0.019568803992344362,0.14185757005393618,-0.01270525554485395,-0.005792485839492406,0.12718667216621665,0.07888632622602208
32,0.0652634422074874,0.07386016511413247,-0.010920319940457085,-0.008266645378831691,0.05235311571820347,0.06602812484584983
33,0.08671800625794317,0.11832157410701452,-0.02295455463026339,-0.00912520055285268,0.05175112071104522,0.12036948929749593
