mos_into_deployment,pdf_resolution,statistic,plottype,value
0,35,mean,meas,0.2017321369586365
0,35,mean,ref,0.2017321369586365
0,35,sd,meas,0.12131065982982232
0,35,sd,ref,0.12131065982982232
0,35,kurtosis,meas,105.22459353306928
0,35,kurtosis,ref,105.22459353306928
0,35,skewness,meas,8.741834493037533
0,35,skewness,ref,8.741834493037533
0,35,KL,NA,0
0,35,hellinger,NA,0
0,35,euclidean,NA,0
1,10,mean,meas,0.1941421236450525
1,10,mean,ref,0.1941421236450525
1,10,sd,meas,0.07874005330445243
1,10,sd,ref,0.07874005330445243
1,10,kurtosis,meas,5.613974875485186
1,10,kurtosis,ref,5.613974875485186
1,10,skewness,meas,1.462106146133013
1,10,skewness,ref,1.462106146133013
1,10,KL,NA,0
1,10,hellinger,NA,0
1,10,euclidean,NA,0
2,182,mean,meas,0.257550600883454
2,182,mean,ref,0.257550600883454
2,182,sd,meas,0.4621296793760339
2,182,sd,ref,0.4621296793760339
2,182,kurtosis,meas,276.4204766785805
2,182,kurtosis,ref,276.4204766785805
2,182,skewness,meas,15.639556037224848
2,182,skewness,ref,15.639556037224848
2,182,KL,NA,0
2,182,hellinger,NA,0
2,182,euclidean,NA,0
3,27,mean,meas,0.2102816713714421
3,27,mean,ref,0.2102816713714421
3,27,sd,meas,0.16690159538879495
3,27,sd,ref,0.16690159538879495
3,27,kurtosis,meas,20.62606256115419
3,27,kurtosis,ref,20.62606256115419
3,27,skewness,meas,3.842011972343516
3,27,skewness,ref,3.842011972343516
3,27,KL,NA,0
3,27,hellinger,NA,0
3,27,euclidean,NA,0
4,16,mean,meas,0.24306911265132874
4,16,mean,ref,0.24306911265132874
4,16,sd,meas,0.14601314153825468
4,16,sd,ref,0.14601314153825468
4,16,kurtosis,meas,7.8694127562687655
4,16,kurtosis,ref,7.8694127562687655
4,16,skewness,meas,2.1149294474863756
4,16,skewness,ref,2.1149294474863756
4,16,KL,NA,0
4,16,hellinger,NA,0
4,16,euclidean,NA,0
5,54,mean,meas,0.1901498720521686
5,54,mean,ref,0.1901498720521686
5,54,sd,meas,0.13522834235993042
5,54,sd,ref,0.13522834235993042
5,54,kurtosis,meas,165.44219923181186
5,54,kurtosis,ref,165.44219923181186
5,54,skewness,meas,10.03596247367014
5,54,skewness,ref,10.03596247367014
5,54,KL,NA,0
5,54,hellinger,NA,0
5,54,euclidean,NA,0
6,11,mean,meas,0.17544612235451656
6,11,mean,ref,0.17544612235451656
6,11,sd,meas,0.06627710923291433
6,11,sd,ref,0.06627710923291433
6,11,kurtosis,meas,8.33826075854276
6,11,kurtosis,ref,8.33826075854276
6,11,skewness,meas,1.8895173047955935
6,11,skewness,ref,1.8895173047955935
6,11,KL,NA,0
6,11,hellinger,NA,0
6,11,euclidean,NA,0
7,19,mean,meas,0.1763165532521918
7,19,mean,ref,0.1763165532521918
7,19,sd,meas,0.07888632622602208
7,19,sd,ref,0.07888632622602208
7,19,kurtosis,meas,20.910870213860065
7,19,kurtosis,ref,20.910870213860065
7,19,skewness,meas,3.0650251513874274
7,19,skewness,ref,3.0650251513874274
7,19,KL,NA,0
7,19,hellinger,NA,0
7,19,euclidean,NA,0
8,10,mean,meas,0.17588329412420523
8,10,mean,ref,0.17588329412420523
8,10,sd,meas,0.06602812484584983
8,10,sd,ref,0.06602812484584983
8,10,kurtosis,meas,4.074243011292574
8,10,kurtosis,ref,4.074243011292574
8,10,skewness,meas,0.8122727850554373
8,10,skewness,ref,0.8122727850554373
8,10,KL,NA,0
8,10,hellinger,NA,0
8,10,euclidean,NA,0
9,39,mean,meas,0.21288126357917933
9,39,mean,ref,0.21288126357917933
