mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.0016515362716050346,0.09466789723709679,0.013795519249755778,0.009877998893552939,0.05916271413741072,0.061166601814485126
2,0.012172800860815281,0.10866909967429071,-0.09928836096708374,-0.08591840914841171,0.002472503355921753,0.041295047289189424
3,0.006483079401806683,0.2827761887215693,0.038057901129225045,-0.0632223230544101,0.23502099820460093,0.04419925460023013
4,0.362810820735327,0.08230402884762864,0.07220101796767782,0.06895828435936242,0.032243232809285774,0.04957944386896046
5,0.2842735992189644,0.06954297658698406,0.0418329073896715,0.04686511423916781,0.08533263057485845,0.06455918428866132
6,0.6453026199557899,0.066151266218123,0.028135276694217934,0.022547350803386143,0.08057461261223907,0.06019590552170326
7,NA,NA,NA,NA,NA,0.08406312860920567
8,NA,NA,NA,NA,NA,0.08767720431849564
9,NA,NA,NA,NA,NA,0.09297306165906158
10,NA,NA,NA,NA,NA,0.0796625436607374
11,NA,NA,NA,NA,NA,0.06682693169798119
12,NA,NA,NA,NA,NA,0.07794419587741468
13,NA,NA,NA,NA,NA,0.04575906790792426
14,NA,NA,NA,NA,NA,0.06020659519272117
15,NA,NA,NA,NA,NA,0.2137815637484016
16,NA,NA,NA,NA,NA,0.0612347989328213
17,NA,NA,NA,NA,NA,0.05507219190991018
18,NA,NA,NA,NA,NA,0.05573623057966413
19,0.733363656955542,3.205152898790144,2.639751145872438,3.046750992648016,2.1623525298089286,0.07721675892018384
20,0.2977169595403057,0.06593781940720726,-0.013187990322201188,-0.044542630101686215,0.15726418228782083,0.10088920472098842
21,0.5998372437745998,0.02719757985594996,1.0071987236853763e-4,-0.007302536294326686,0.1046238922092388,0.11422709327797664
22,0.701120866939657,0.03291110209047673,-0.02188857660387719,-0.022207365517231126,0.050780771539979945,0.047916980407660494
23,0.02994069287270502,0.09157760163227079,-0.02592847789024329,-0.03899934121640211,0.07875556900855514,0.049565482983998536
24,0.07722031730617643,0.1212332308434513,-0.010396005401866637,-0.0217462242813021,0.10375075062728677,0.07755104811253052
25,0.05830942793178516,0.02414426513808265,-0.005652937665539194,0.004795773666486619,0.4152844920457011,0.017476737785878795
26,NA,NA,NA,NA,0.04644426718373463,NA
27,NA,NA,NA,NA,0.044756670173383584,NA
28,NA,NA,NA,NA,0.05249284407853223,NA
29,NA,NA,NA,NA,0.059522190459300205,NA
30,NA,NA,NA,NA,0.06480182952475012,NA
31,NA,NA,NA,NA,0.0908665105168484,NA
32,NA,NA,NA,NA,0.11746028670524171,NA
33,NA,NA,NA,NA,0.11166930781991743,NA
34,NA,NA,NA,NA,0.07678860014861405,NA
35,NA,NA,NA,NA,0.04485228208120978,NA
36,NA,NA,NA,NA,0.05367307537665669,NA
37,NA,NA,NA,NA,0.044686345950439424,NA
38,NA,NA,NA,NA,0.05207710034912343,NA
39,NA,NA,NA,NA,0.05354397759915462,NA
