mos_into_deployment,pdf_resolution,statistic,plottype,value
0,18,mean,meas,0.18928591301702888
0,18,mean,ref,0.18437269372693726
0,18,sd,meas,0.05916271413741072
0,18,sd,ref,0.061166601814485126
0,18,kurtosis,meas,26.5573531073636
0,18,kurtosis,ref,94.25557002392584
0,18,skewness,meas,3.3683940530318703
0,18,skewness,ref,7.917382717457513
0,18,KL,NA,0.10137691523964713
0,18,hellinger,NA,0.1403709391984606
0,18,euclidean,NA,0.11828069133566192
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,7,mean,meas,0.05306265468924213
2,7,mean,ref,0.16003932584269662
2,7,sd,meas,0.002472503355921753
2,7,sd,ref,0.041295047289189424
2,7,kurtosis,meas,4.566096445491441
2,7,kurtosis,ref,6.524481175093562
2,7,skewness,meas,-1.5959916798082747
2,7,skewness,ref,1.6202434811459523
2,7,KL,NA,12.69687896426217
2,7,hellinger,NA,0.9999999999999998
2,7,euclidean,NA,1.054619779851877
3,56,mean,meas,0.16638503624045578
3,56,mean,ref,0.1448454106280193
3,56,sd,meas,0.23502099820460093
3,56,sd,ref,0.04419925460023013
3,56,kurtosis,meas,56.009006899222
3,56,kurtosis,ref,9.10034381504717
3,56,skewness,meas,6.021942170843627
3,56,skewness,ref,1.881450190254064
3,56,KL,NA,9.1607650100972
3,56,hellinger,NA,0.8021214798657081
3,56,euclidean,NA,0.8544147162083191
4,7,mean,meas,0.2242681098144562
4,7,mean,ref,0.16041463414634147
4,7,sd,meas,0.032243232809285774
4,7,sd,ref,0.04957944386896046
4,7,kurtosis,meas,3.3085613777475866
4,7,kurtosis,ref,3.334277507378575
4,7,skewness,meas,0.16915334224801698
4,7,skewness,ref,0.4051758312972023
4,7,KL,NA,2.8860240475031285
4,7,hellinger,NA,0.5734348966187903
4,7,euclidean,NA,0.6475153229402292
5,43,mean,meas,0.209356449246265
5,43,mean,ref,0.16147706422018349
5,43,sd,meas,0.08533263057485845
5,43,sd,ref,0.06455918428866132
5,43,kurtosis,meas,444.73441144492926
5,43,kurtosis,ref,113.48957967553109
5,43,skewness,meas,18.969239364485585
5,43,skewness,ref,8.629392584842693
5,43,KL,NA,1.1344115947757099
5,43,hellinger,NA,0.45964479013482673
5,43,euclidean,NA,0.5128205217971481
6,13,mean,meas,0.21249052287096054
6,13,mean,ref,0.1533482142857143
6,13,sd,meas,0.08057461261223907
6,13,sd,ref,0.06019590552170326
6,13,kurtosis,meas,10.345531247904852
6,13,kurtosis,ref,13.102143728574923
6,13,skewness,meas,2.1490700875056605
6,13,skewness,ref,2.7152950140502856
6,13,KL,NA,0.6162369461379742
6,13,hellinger,NA,0.3827293584914878
6,13,euclidean,NA,0.4810349348818857
7,0,mean,meas,NA
7,0,mean,ref,0.18729710144927536
7,0,sd,meas,NA
7,0,sd,ref,0.08406312860920567
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,19.295611980226834
7,0,skewness,meas,NA
7,0,skewness,ref,3.247084441730924
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,0.19470822942643393
8,0,sd,meas,NA
8,0,sd,ref,0.08767720431849564
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,12.239701199094982
8,0,skewness,meas,NA
