mos_into_deployment,pdf_resolution,statistic,plottype,value
0,18,mean,meas,0.18928591301702888
0,18,mean,ref,0.20575652173913042
0,18,sd,meas,0.05916271413741072
0,18,sd,ref,0.0782479263290948
0,18,kurtosis,meas,26.5573531073636
0,18,kurtosis,ref,43.157742148989634
0,18,skewness,meas,3.3683940530318703
0,18,skewness,ref,5.087010252468114
0,18,KL,NA,0.18728453615504553
0,18,hellinger,NA,0.15358402725094272
0,18,euclidean,NA,0.1284131437539855
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,7,mean,meas,0.05359516419450129
2,7,mean,ref,0.15663271604938273
2,7,sd,meas,0.0026675901032581855
2,7,sd,ref,0.03694491310539169
2,7,kurtosis,meas,4.441686877719778
2,7,kurtosis,ref,6.829081451018971
2,7,skewness,meas,-1.2112506527701654
2,7,skewness,ref,1.5555783383922348
2,7,KL,NA,12.575273717476705
2,7,hellinger,NA,0.9543718467449298
2,7,euclidean,NA,1.0642317027276822
3,56,mean,meas,0.16638503624045578
3,56,mean,ref,0.15745577211394302
3,56,sd,meas,0.23502099820460093
3,56,sd,ref,0.05396731083308299
3,56,kurtosis,meas,56.009006899222
3,56,kurtosis,ref,7.4122072462681645
3,56,skewness,meas,6.021942170843627
3,56,skewness,ref,1.6494695429770976
3,56,KL,NA,8.031400605675058
3,56,hellinger,NA,0.7689814945870878
3,56,euclidean,NA,0.7945263368388263
4,8,mean,meas,0.2242681098144562
4,8,mean,ref,0.16523047619047618
4,8,sd,meas,0.032243232809285774
4,8,sd,ref,0.04549664681002344
4,8,kurtosis,meas,3.3085613777475866
4,8,kurtosis,ref,4.046265023537234
4,8,skewness,meas,0.16915334224801698
4,8,skewness,ref,0.449487802442696
4,8,KL,NA,2.35978048542252
4,8,hellinger,NA,0.5410494582646792
4,8,euclidean,NA,0.619039645388189
5,44,mean,meas,0.20714440361793846
5,44,mean,ref,0.16779336349924584
5,44,sd,meas,0.08449821250108021
5,44,sd,ref,0.05946392811975267
5,44,kurtosis,meas,444.69327164965205
5,44,kurtosis,ref,78.37829941425846
5,44,skewness,meas,18.751157291094938
5,44,skewness,ref,6.025924449074708
5,44,KL,NA,0.7774812098730434
5,44,hellinger,NA,0.38172823782531295
5,44,euclidean,NA,0.4524231002997304
6,13,mean,meas,0.20818747646182517
6,13,mean,ref,0.16778335724533716
6,13,sd,meas,0.07758613557302804
6,13,sd,ref,0.06558139943997698
6,13,kurtosis,meas,9.39820558169076
6,13,kurtosis,ref,8.56306230894368
6,13,skewness,meas,1.9732908049778206
6,13,skewness,ref,2.127118696904936
6,13,KL,NA,0.3293140150958974
6,13,hellinger,NA,0.2793656411402946
6,13,euclidean,NA,0.35320134828806693
7,0,mean,meas,NA
7,0,mean,ref,0.22888375350140056
7,0,sd,meas,NA
7,0,sd,ref,0.12789096947121395
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,7.6983001094969605
7,0,skewness,meas,NA
7,0,skewness,ref,2.1543627180674063
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,0.22273813169984685
8,0,sd,meas,NA
8,0,sd,ref,0.13741505028104953
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,16.302255595092007
8,0,skewness,meas,NA
8,0,skewness,ref,3.075598304005623
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,NA
9,0,mean,ref,0.24635825105782794
9,0,sd,meas,NA
9,0,sd,ref,0.16396967735139992
9,0,kurtosis,meas,NA
9,0,kurtosis,ref,10.851394328631855
9,0,skewness,meas,NA
9,0,skewness,ref,2.7715550710295096
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,NA
10,0,mean,ref,0.21795416666666667
10,0,sd,meas,NA
10,0,sd,ref,0.10285725750146767
10,0,kurtosis,meas,NA
10,0,kurtosis,ref,25.44930085061149
10,0,skewness,meas,NA
10,0,skewness,ref,3.863692379187789
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,NA
11,0,mean,ref,0.202701399688958
11,0,sd,meas,NA
11,0,sd,ref,0.07921197426650026
11,0,kurtosis,meas,NA
11,0,kurtosis,ref,17.66026610203218
11,0,skewness,meas,NA
11,0,skewness,ref,3.417079954905351
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,NA
12,0,mean,ref,0.19830508474576272
12,0,sd,meas,NA
12,0,sd,ref,0.08236571181847893
12,0,kurtosis,meas,NA
12,0,kurtosis,ref,15.077781128163167
12,0,skewness,meas,NA
12,0,skewness,ref,3.0432137854465617
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,NA
13,0,mean,ref,0.16754531946508172
13,0,sd,meas,NA
13,0,sd,ref,0.04007297784304034
13,0,kurtosis,meas,NA
13,0,kurtosis,ref,12.303529269817956
13,0,skewness,meas,NA
13,0,skewness,ref,2.470138045469679
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,NA
14,0,mean,ref,0.1851097046413502
14,0,sd,meas,NA
14,0,sd,ref,0.07252099689189559
14,0,kurtosis,meas,NA
14,0,kurtosis,ref,11.966034448989973
14,0,skewness,meas,NA
14,0,skewness,ref,2.3585724472404874
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,NA
15,0,mean,ref,0.26923298033282905
15,0,sd,meas,NA
15,0,sd,ref,0.172932383532657
15,0,kurtosis,meas,NA
15,0,kurtosis,ref,5.939532246130731
15,0,skewness,meas,NA
15,0,skewness,ref,2.018616788332511
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,NA
16,0,mean,ref,0.2192761760242792
16,0,sd,meas,NA
16,0,sd,ref,0.06371221075537051
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,7.597133448018467
16,0,skewness,meas,NA
16,0,skewness,ref,1.0629690597751322
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,NA
17,0,mean,ref,0.24092220650636492
17,0,sd,meas,NA
17,0,sd,ref,0.06467654015263907
17,0,kurtosis,meas,NA
17,0,kurtosis,ref,7.7363554833719554
17,0,skewness,meas,NA
17,0,skewness,ref,1.5614867220326385
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,NA
18,0,mean,ref,0.23173529411764707
18,0,sd,meas,NA
18,0,sd,ref,0.08194512472301693
18,0,kurtosis,meas,NA
18,0,kurtosis,ref,8.348380437660444
18,0,skewness,meas,NA
18,0,skewness,ref,1.9585862480648566
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,119,mean,meas,2.921151145872438
19,119,mean,ref,0.24585331452750353
19,119,sd,meas,2.1623525298089286
19,119,sd,ref,0.10632503163078075
19,119,kurtosis,meas,1.8300491117562907
19,119,kurtosis,ref,8.062054913107325
19,119,skewness,meas,0.3281258710886753
19,119,skewness,ref,2.034883052512328
19,119,KL,NA,11.981304291639939
19,119,hellinger,NA,0.9880524449257807
19,119,euclidean,NA,0.6607021571031619
20,21,mean,meas,0.25868692884303346
20,21,mean,ref,0.27519241982507286
20,21,sd,meas,0.15726418228782083
20,21,sd,ref,0.16451521616925344
20,21,kurtosis,meas,3.4006303410896384
20,21,kurtosis,ref,9.296153840846582
20,21,skewness,meas,1.2724258658141008
20,21,skewness,ref,2.4622850503011176
20,21,KL,NA,3.2491286050453283
20,21,hellinger,NA,0.5253719285911377
20,21,euclidean,NA,0.3870969227125748
21,22,mean,meas,0.2217157165298616
21,22,mean,ref,0.27616201117318434
21,22,sd,meas,0.10330727919899019
21,22,sd,ref,0.16043694361495722
21,22,kurtosis,meas,7.545073627066691
21,22,kurtosis,ref,10.438308052046466
21,22,skewness,meas,2.2126662971364417
21,22,skewness,ref,2.4459355447717464
21,22,KL,NA,1.9775428113294402
21,22,hellinger,NA,0.3417248373236399
21,22,euclidean,NA,0.19099946500404455
22,22,mean,meas,0.19582926843995774
22,22,mean,ref,0.23403361344537815
22,22,sd,meas,0.05536081941195001
22,22,sd,ref,0.10334397141661879
22,22,kurtosis,meas,4.837467604355166
22,22,kurtosis,ref,23.154309691055232
22,22,skewness,meas,1.2935016493507416
22,22,skewness,ref,3.69798505077665
22,22,KL,NA,0.4951106117755041
22,22,hellinger,NA,0.28455725362246953
22,22,euclidean,NA,0.18705298338374046
23,18,mean,meas,0.1776847864631682
23,18,mean,ref,0.22435572519083968
23,18,sd,meas,0.07843832480890159
23,18,sd,ref,0.10706098833509935
23,18,kurtosis,meas,39.861601292130565
23,18,kurtosis,ref,18.309925844300224
23,18,skewness,meas,5.585960859502767
23,18,skewness,ref,3.525334532279607
23,18,KL,NA,1.2079251372689657
23,18,hellinger,NA,0.40440624299057015
23,18,euclidean,NA,0.3432181460764553
24,31,mean,meas,0.16397696452491353
24,31,mean,ref,0.197509009009009
24,31,sd,meas,0.09178928466666178
24,31,sd,ref,0.07908075672456126
24,31,kurtosis,meas,179.56310290444793
24,31,kurtosis,ref,21.835537753067676
24,31,skewness,meas,11.719770058699007
24,31,skewness,ref,3.674688104889401
24,31,KL,NA,0.5373918128415197
24,31,hellinger,NA,0.3425294755451739
24,31,euclidean,NA,0.4938694459636224
25,33,mean,meas,0.2821719462618403
25,33,mean,ref,0.17406896551724138
25,33,sd,meas,0.37721046818994836
25,33,sd,ref,0.03418103316878759
25,33,kurtosis,meas,14.813322966540825
25,33,kurtosis,ref,11.367136120271471
