mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.05916271413741072,0.05916271413741072
2,1,0,0,0,0.002472503355921753,0.002472503355921753
3,1,0,0,0,0.23502099820460093,0.23502099820460093
4,1,0,0,0,0.032243232809285774,0.032243232809285774
5,1,0,0,0,0.08533263057485845,0.08533263057485845
6,1,0,0,0,0.08057461261223907,0.08057461261223907
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,0.05916271413741072
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,0.002472503355921753
15,NA,NA,NA,NA,NA,0.23502099820460093
16,NA,NA,NA,NA,NA,0.032243232809285774
17,NA,NA,NA,NA,NA,0.08533263057485845
18,NA,NA,NA,NA,NA,0.08057461261223907
19,NA,NA,NA,NA,2.1623525298089286,NA
20,NA,NA,NA,NA,0.15726418228782083,NA
21,NA,NA,NA,NA,0.1046238922092388,NA
22,NA,NA,NA,NA,0.050780771539979945,NA
23,NA,NA,NA,NA,0.07875556900855514,NA
24,0.013395532581832905,0.15034520462553055,-0.00928952881253788,-1.8850325450925354e-4,0.10375075062728677,0.05916271413741072
25,NA,NA,NA,NA,0.4152844920457011,NA
26,0.058877132797057405,0.15433160777854246,0.14418478035649748,0.13492580866292891,0.04644426718373463,0.002472503355921753
27,0.0038786102976144177,0.2090785777114699,0.026496047512567254,0.1071358047328999,0.044756670173383584,0.23502099820460093
28,0.035259730593560044,0.05641872979310625,-0.006236529144647702,-0.011063727714006183,0.05249284407853223,0.032243232809285774
29,0.023147583327228254,0.07156755388337492,0.027935863336416074,0.027859708474381295,0.059522190459300205,0.08533263057485845
30,0.016010521105776745,0.10329425419210607,-0.010705961644089986,-0.010370701341043842,0.06480182952475012,0.08057461261223907
31,NA,NA,NA,NA,0.0908665105168484,NA
32,NA,NA,NA,NA,0.11746028670524171,NA
33,NA,NA,NA,NA,0.11166930781991743,NA
34,NA,NA,NA,NA,0.07678860014861405,NA
35,NA,NA,NA,NA,0.04485228208120978,NA
36,0.018634774825251846,0.09764052726047523,-0.028828571823786966,-0.028381144303578104,0.05367307537665669,0.05916271413741072
37,NA,NA,NA,NA,0.044686345950439424,NA
38,0.07998011363831589,0.18558684714298038,0.17884829945634154,0.1783578442644243,0.05207710034912343,0.002472503355921753
39,0.024679987417393884,0.1795301116833479,0.17138207168929565,0.1623395772392406,0.05354397759915462,0.0011964189355714544
