mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.05916271413741072,0.05916271413741072
2,1,0,0,0,0.0026675901032581855,0.0026675901032581855
3,1,0,0,0,0.23502099820460093,0.23502099820460093
4,1,0,0,0,0.032243232809285774,0.032243232809285774
5,1,0,0,0,0.08449821250108021,0.08449821250108021
6,1,0,0,0,0.07758613557302804,0.07758613557302804
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,0.05916271413741072
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,0.0026675901032581855
15,NA,NA,NA,NA,NA,0.23502099820460093
16,NA,NA,NA,NA,NA,0.032243232809285774
17,NA,NA,NA,NA,NA,0.08449821250108021
18,NA,NA,NA,NA,NA,0.07758613557302804
19,NA,NA,NA,NA,2.1623525298089286,NA
20,NA,NA,NA,NA,0.15726418228782083,NA
21,NA,NA,NA,NA,0.10330727919899019,NA
22,NA,NA,NA,NA,0.05536081941195001,NA
23,NA,NA,NA,NA,0.07843832480890159,NA
24,0.01296338147570849,0.14033720361950536,-0.011712604724600591,-0.005522627053910101,0.09178928466666178,0.05916271413741072
25,NA,NA,NA,NA,0.37721046818994836,NA
26,0.021150866182053134,0.13527048587866852,0.1251601232185702,0.11737838220523356,0.04588783482690196,0.0026675901032581855
27,7.149193590891203e-4,0.24225245371651258,0.009020305587965717,0.09026828423233775,0.04588819721791134,0.23502099820460093
28,0.012469319984005836,0.06208675449057476,-0.01906221865729261,-0.020933745680319332,0.05379678096832986,0.032243232809285774
29,7.925309539900066e-4,0.10551280982119553,0.008176905529790513,0.010711645423733998,0.06497119722184143,0.08449821250108021
30,0.041833401269680805,0.09089219859749673,-0.003574732412033248,-0.009731863412886947,0.0629887469703513,0.07758613557302804
31,NA,NA,NA,NA,0.08946750394838072,NA
32,NA,NA,NA,NA,0.1141689332438761,NA
33,NA,NA,NA,NA,0.10617938186551165,NA
34,NA,NA,NA,NA,0.07772179068646906,NA
35,NA,NA,NA,NA,0.04467745364875669,NA
36,0.019116714198764147,0.09470638669991692,-0.030875561146845764,-0.03425351282280839,0.0514428392768156,0.05916271413741072
37,NA,NA,NA,NA,0.0424836771202221,NA
38,0.033791695222962444,0.17167493715498353,0.16339213635285588,0.1652864098272841,0.05200031442663254,0.0026675901032581855
39,0.01614834125469874,0.1740081155149396,0.16485485952512435,0.1582991367881664,0.055696772407443244,0.0011964189355714544
