mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.30594125063714883
0,0,mean,ref,NA
0,0,sd,meas,0.21654521969324256
0,0,sd,ref,NA
0,0,kurtosis,meas,9.348426436434673
0,0,kurtosis,ref,NA
0,0,skewness,meas,2.415379294510267
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.2895314538581247
1,0,mean,ref,NA
1,0,sd,meas,0.1574826273202392
1,0,sd,ref,NA
1,0,kurtosis,meas,18.236198917597573
1,0,kurtosis,ref,NA
1,0,skewness,meas,3.2315486824276314
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.26967496215290593
2,0,mean,ref,NA
2,0,sd,meas,0.15507603749540214
2,0,sd,ref,NA
2,0,kurtosis,meas,14.945064668765161
2,0,kurtosis,ref,NA
2,0,skewness,meas,2.7487366267774456
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.23914602469775612
3,0,mean,ref,NA
3,0,sd,meas,0.12464307009070504
3,0,sd,ref,NA
3,0,kurtosis,meas,17.22762472755449
3,0,kurtosis,ref,NA
3,0,skewness,meas,3.0360881136606506
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.2293865253703265
4,0,mean,ref,NA
4,0,sd,meas,0.11913739774898074
4,0,sd,ref,NA
4,0,kurtosis,meas,20.600236267944595
4,0,kurtosis,ref,NA
4,0,skewness,meas,3.5122153790390103
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.23201659141655195
5,0,mean,ref,NA
5,0,sd,meas,0.08732447470000394
5,0,sd,ref,NA
5,0,kurtosis,meas,11.629112654588033
5,0,kurtosis,ref,NA
5,0,skewness,meas,1.843781800958155
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.2957969194829475
6,0,mean,ref,NA
6,0,sd,meas,0.16792891217643824
6,0,sd,ref,NA
6,0,kurtosis,meas,18.098019985312707
6,0,kurtosis,ref,NA
6,0,skewness,meas,3.018716626546045
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.30137874807331294
7,0,mean,ref,NA
7,0,sd,meas,0.09629903860748995
7,0,sd,ref,NA
7,0,kurtosis,meas,6.826145020818061
7,0,kurtosis,ref,NA
7,0,skewness,meas,1.5218446989990355
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.291733833448005
8,0,mean,ref,NA
8,0,sd,meas,0.12849653251823948
8,0,sd,ref,NA
8,0,kurtosis,meas,131.7241976603801
8,0,kurtosis,ref,NA
8,0,skewness,meas,9.674511081623734
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.3063415160776224
9,0,mean,ref,NA
9,0,sd,meas,0.09791831678449593
9,0,sd,ref,NA
9,0,kurtosis,meas,13.204191760057206
9,0,kurtosis,ref,NA
9,0,skewness,meas,2.402279544628437
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.32509820390249755
10,0,mean,ref,NA
10,0,sd,meas,0.17096882601945723
10,0,sd,ref,NA
10,0,kurtosis,meas,8.324003602403915
10,0,kurtosis,ref,NA
10,0,skewness,meas,2.044686388671349
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.31626802722682557
11,0,mean,ref,NA
11,0,sd,meas,0.19942494880626355
11,0,sd,ref,NA
11,0,kurtosis,meas,10.403225425492497
11,0,kurtosis,ref,NA
11,0,skewness,meas,2.397820967264681
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.3596048374745522
12,0,mean,ref,NA
12,0,sd,meas,0.22288613673816932
12,0,sd,ref,NA
12,0,kurtosis,meas,6.4286666788269695
12,0,kurtosis,ref,NA
12,0,skewness,meas,1.810913619508572
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.2725358115660498
13,0,mean,ref,NA
13,0,sd,meas,0.1596013748007296
13,0,sd,ref,NA
13,0,kurtosis,meas,11.623510862327446
13,0,kurtosis,ref,NA
13,0,skewness,meas,2.7093143643760027
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.2668273033142833
14,0,mean,ref,NA
