mos_into_deployment,pdf_resolution,statistic,plottype,value
0,37,mean,meas,0.30052722616455446
0,37,mean,ref,0.40857887323943665
0,37,sd,meas,0.213133982433201
0,37,sd,ref,0.25973411348565395
0,37,kurtosis,meas,9.684851086182103
0,37,kurtosis,ref,11.328331370818045
0,37,skewness,meas,2.461688344407322
0,37,skewness,ref,2.5292896190163936
0,37,KL,NA,0.4373421725315997
0,37,hellinger,NA,0.3066385645437753
0,37,euclidean,NA,0.2693974934153751
1,66,mean,meas,0.29205057320620476
1,66,mean,ref,0.4443739130434783
1,66,sd,meas,0.19782034927340403
1,66,sd,ref,0.24345283390700326
1,66,kurtosis,meas,93.29991586850038
1,66,kurtosis,ref,10.950325869216265
1,66,skewness,meas,7.165496447038518
1,66,skewness,ref,2.362150791260972
1,66,KL,NA,0.8820578876228057
1,66,hellinger,NA,0.3827499284859682
1,66,euclidean,NA,0.29700830232478154
2,35,mean,meas,0.26967496215290593
2,35,mean,ref,0.3851808176100629
2,35,sd,meas,0.15507603749540214
2,35,sd,ref,0.18385658655282933
2,35,kurtosis,meas,14.945064668765161
2,35,kurtosis,ref,12.080423902137165
2,35,skewness,meas,2.7487366267774456
2,35,skewness,ref,2.294426545248965
2,35,KL,NA,0.5695519274766976
2,35,hellinger,NA,0.3554368924922724
2,35,euclidean,NA,0.25935737963052785
3,23,mean,meas,0.23926764502187528
3,23,mean,ref,0.3356018376722818
3,23,sd,meas,0.12439597889258652
3,23,sd,ref,0.16100801373663154
3,23,kurtosis,meas,17.205823195160562
3,23,kurtosis,ref,7.676922819444772
3,23,skewness,meas,3.0309414916881536
3,23,skewness,ref,1.777618755540895
3,23,KL,NA,0.5366557844507917
3,23,hellinger,NA,0.32309183840521005
3,23,euclidean,NA,0.25737470434108034
4,24,mean,meas,0.22362531098287008
4,24,mean,ref,0.30021185185185184
4,24,sd,meas,0.11616198038798815
4,24,sd,ref,0.14097495781779387
4,24,kurtosis,meas,21.033666588497272
4,24,kurtosis,ref,7.635349196733946
4,24,skewness,meas,3.450237738310824
4,24,skewness,ref,1.7121155679010152
4,24,KL,NA,0.3994035251188252
4,24,hellinger,NA,0.29807664673495726
4,24,euclidean,NA,0.2041558954074793
5,19,mean,meas,0.21705624292476025
5,19,mean,ref,0.32340595611285267
5,19,sd,meas,0.08893151671000138
5,19,sd,ref,0.13325108708512282
5,19,kurtosis,meas,10.132055486960814
5,19,kurtosis,ref,4.098848568143885
5,19,skewness,meas,1.5627291299748778
5,19,skewness,ref,1.0112634169344668
5,19,KL,NA,0.7416370918949711
5,19,hellinger,NA,0.3796321286290054
5,19,euclidean,NA,0.2500197083655358
6,53,mean,meas,0.28548976501958784
6,53,mean,ref,0.40142880258899677
6,53,sd,meas,0.15737168466617987
6,53,sd,ref,0.2720561225567365
6,53,kurtosis,meas,18.266485599221248
6,53,kurtosis,ref,14.833224318198537
6,53,skewness,meas,2.9740936175113437
6,53,skewness,ref,2.723497755943041
6,53,KL,NA,0.6097896769315673
6,53,hellinger,NA,0.2739476478654795
6,53,euclidean,NA,0.17064732535423152
7,26,mean,meas,0.2762854996521014
7,26,mean,ref,0.6639906542056074
7,26,sd,meas,0.09575412587849491
7,26,sd,ref,0.17024778649038452
7,26,kurtosis,meas,6.759601509288437
7,26,kurtosis,ref,3.952488632308954
7,26,skewness,meas,1.4214090463850464
7,26,skewness,ref,0.7504764591920031
7,26,KL,NA,4.90437118691758
7,26,hellinger,NA,0.866985392353983
7,26,euclidean,NA,0.4882103003226415
8,43,mean,meas,0.2704626557714342
8,43,mean,ref,0.4450243553008596
8,43,sd,meas,0.11896955489716596
8,43,sd,ref,0.17758549009596863
8,43,kurtosis,meas,129.17142674535683
8,43,kurtosis,ref,2.8310191802673734
8,43,skewness,meas,8.741757070040983
8,43,skewness,ref,0.5786609053997377
8,43,KL,NA,2.139059203871687
8,43,hellinger,NA,0.4984991942896451
8,43,euclidean,NA,0.30706278766235584
9,21,mean,meas,0.27866139432393816
9,21,mean,ref,0.3947869127516779
9,21,sd,meas,0.09806646180223133
