mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.213133982433201,0.213133982433201
1,1,0,0,0,0.19782034927340403,0.19782034927340403
2,1,0,0,0,0.15507603749540214,0.15507603749540214
3,1,0,0,0,0.12439597889258652,0.12439597889258652
4,1,0,0,0,0.11616198038798815,0.11616198038798815
5,1,0,0,0,0.08893151671000138,0.08893151671000138
6,1,0,0,0,0.15737168466617987,0.15737168466617987
7,1,0,0,0,0.09575412587849491,0.09575412587849491
8,1,0,0,0,0.11896955489716596,0.11896955489716596
9,1,0,0,0,0.09806646180223133,0.09806646180223133
10,1,0,0,0,0.1652326921451993,0.1652326921451993
11,1,0,0,0,0.19770162621014914,0.19770162621014914
12,0.017384981520428142,0.32449975995587077,0.04265614215444203,0.03108350683736201,0.21459801123349265,0.213133982433201
13,0.007183485356598352,0.2360647272409326,-0.0342055425005256,-0.020376061030270898,0.15487899072476347,0.19782034927340403
14,0.11783009278728415,0.1762393597306721,-0.0033682267723169046,-0.0013603042259629494,0.14874336737989702,0.15507603749540214
15,0.0022406358316037047,0.16487160091699982,-0.010345221310325147,-0.004284682497802859,0.11392709386482021,0.12439597889258652
16,0.0034448447899560453,0.14358386180664007,-0.011882189064077614,-0.0016487721955851936,0.09082081166249137,0.11616198038798815
17,0.1054328814721811,0.09337018148427696,-0.002789128879073725,0.003934282243785794,0.0694593120301956,0.08893151671000138
18,0.003825119237796515,0.18365078927755787,-0.06773281645461429,-0.034447530479481986,0.07471101860081586,0.15737168466617987
19,0.04472957881785539,0.11309033636027697,-0.038574991543437354,-0.03030802633591459,0.07073984327355344,0.09575412587849491
20,0.06651125148089855,0.12512882890481986,-0.007194742226988137,-0.006089031386545762,0.07981538900589427,0.11896955489716596
21,0.16763755502004224,0.1057815418972064,-0.03403273871811824,-0.030519237829952806,0.08534548260337559,0.09806646180223133
22,0.019604866851627115,0.21398565160565833,-0.035656671293576685,-0.033362947008454213,0.15639829369695166,0.1652326921451993
23,0.04795122684210335,0.23182287466362198,-0.05598424774208581,-0.032839235219881,0.1604209094801203,0.19770162621014914
24,2.7836097873701852e-5,0.278313971615338,-0.024692993768667692,1.4701089248170263e-4,0.1763813113721939,0.213133982433201
25,0.0068853124314849495,0.2436133184104417,-0.06673438218405188,-0.05792387677745231,0.1384586708940253,0.19782034927340403
26,0.0033222414703745675,0.20064515629079108,-0.07360032849372072,-0.05339312024941495,0.1134597616516873,0.15507603749540214
27,0.007622957337025672,0.1633521124187275,-0.04052173348205701,-0.030586175986785702,0.10729335169453778,0.12439597889258652
28,0.02563803085737386,0.13006677979957434,-0.027558755698375115,-0.014596876379886353,0.07366966086751647,0.11616198038798815
29,0.13567451300468983,0.09335641644639453,-0.01022910451740691,-0.007496179221770649,0.07502506825175892,0.08893151671000138
30,0.09093663283691046,0.1326764052910624,-0.007727267277107094,0.0016420679656597992,0.07624987967009615,0.1339293194064485
