mos_into_deployment,pdf_resolution,statistic,plottype,value
0,27,mean,meas,0.30052722616455446
0,27,mean,ref,0.30052722616455446
0,27,sd,meas,0.213133982433201
0,27,sd,ref,0.213133982433201
0,27,kurtosis,meas,9.684851086182103
0,27,kurtosis,ref,9.684851086182103
0,27,skewness,meas,2.461688344407322
0,27,skewness,ref,2.461688344407322
0,27,KL,NA,0
0,27,hellinger,NA,0
0,27,euclidean,NA,0
1,66,mean,meas,0.29205057320620476
1,66,mean,ref,0.29205057320620476
1,66,sd,meas,0.19782034927340403
1,66,sd,ref,0.19782034927340403
1,66,kurtosis,meas,93.29991586850038
1,66,kurtosis,ref,93.29991586850038
1,66,skewness,meas,7.165496447038518
1,66,skewness,ref,7.165496447038518
1,66,KL,NA,0
1,66,hellinger,NA,0
1,66,euclidean,NA,0
2,31,mean,meas,0.26967496215290593
2,31,mean,ref,0.26967496215290593
2,31,sd,meas,0.15507603749540214
2,31,sd,ref,0.15507603749540214
2,31,kurtosis,meas,14.945064668765161
2,31,kurtosis,ref,14.945064668765161
2,31,skewness,meas,2.7487366267774456
2,31,skewness,ref,2.7487366267774456
2,31,KL,NA,0
2,31,hellinger,NA,0
2,31,euclidean,NA,0
3,23,mean,meas,0.23926764502187528
3,23,mean,ref,0.23926764502187528
3,23,sd,meas,0.12439597889258652
3,23,sd,ref,0.12439597889258652
3,23,kurtosis,meas,17.205823195160562
3,23,kurtosis,ref,17.205823195160562
3,23,skewness,meas,3.0309414916881536
3,23,skewness,ref,3.0309414916881536
3,23,KL,NA,0
3,23,hellinger,NA,0
3,23,euclidean,NA,0
4,22,mean,meas,0.22362531098287008
4,22,mean,ref,0.22362531098287008
4,22,sd,meas,0.11616198038798815
4,22,sd,ref,0.11616198038798815
4,22,kurtosis,meas,21.033666588497272
4,22,kurtosis,ref,21.033666588497272
4,22,skewness,meas,3.450237738310824
4,22,skewness,ref,3.450237738310824
4,22,KL,NA,0
4,22,hellinger,NA,0
4,22,euclidean,NA,0
5,19,mean,meas,0.21705624292476025
5,19,mean,ref,0.21705624292476025
5,19,sd,meas,0.08893151671000138
5,19,sd,ref,0.08893151671000138
5,19,kurtosis,meas,10.132055486960814
5,19,kurtosis,ref,10.132055486960814
5,19,skewness,meas,1.5627291299748778
5,19,skewness,ref,1.5627291299748778
5,19,KL,NA,0
5,19,hellinger,NA,0
5,19,euclidean,NA,0
6,35,mean,meas,0.28548976501958784
6,35,mean,ref,0.28548976501958784
6,35,sd,meas,0.15737168466617987
6,35,sd,ref,0.15737168466617987
6,35,kurtosis,meas,18.266485599221248
6,35,kurtosis,ref,18.266485599221248
6,35,skewness,meas,2.9740936175113437
6,35,skewness,ref,2.9740936175113437
6,35,KL,NA,0
6,35,hellinger,NA,0
6,35,euclidean,NA,0
7,14,mean,meas,0.2762854996521014
7,14,mean,ref,0.2762854996521014
7,14,sd,meas,0.09575412587849491
7,14,sd,ref,0.09575412587849491
7,14,kurtosis,meas,6.759601509288437
7,14,kurtosis,ref,6.759601509288437
7,14,skewness,meas,1.4214090463850464
7,14,skewness,ref,1.4214090463850464
7,14,KL,NA,0
7,14,hellinger,NA,0
7,14,euclidean,NA,0
8,43,mean,meas,0.2704626557714342
8,43,mean,ref,0.2704626557714342
8,43,sd,meas,0.11896955489716596
