mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.22618944675439437,0.08803868109788826,0.02955436001503764,0.026569833820987515,0.09126906529013873,0.06060147092182634
1,0.6724438296817888,0.08067840011745572,0.030356811528565276,0.023371688465793586,0.1305768633994201,0.09973775616724657
2,0.6748638542808635,0.08571616241394647,0.022373720831141534,0.010563303091176202,0.14433563485742026,0.12118650913589711
3,0.8538031303939683,0.06976989905794519,-0.015386487972902247,-0.024129251578546403,0.17616508819921742,0.15845940956167376
4,0.747506065131741,0.07632988013137001,-0.008452409606492444,-0.019753621680399097,0.1496571150776748,0.1327934480673716
5,0.7210268054091482,0.08219412234052617,-0.018562726054885074,-0.026004627571894548,0.14695976764398921,0.11393691996340763
6,0.6442574899786393,0.05411229612125513,-0.01995058567935711,-0.023444488858324897,0.08732392450928157,0.07095795025813174
7,0.49305994972925654,0.07106135606735071,8.055366573762995e-4,-0.0053416345616026095,0.10022672101160766,0.0656588595518826
8,0.35809925753467314,0.05725205370986379,0.012667799764418229,0.012124786820779943,0.06902777912602379,0.04074321910397573
9,0.5106870012852606,0.055746279691059004,0.005131024212916662,0.010367993698017386,0.07309435713506691,0.07326047791499095
10,0.7699849178285522,0.08940251003389497,-0.008999535977735446,0.013385431333753847,0.11730386674295898,0.17126582466262977
11,0.2876663837613221,0.058004328716326055,-0.0017027050324082001,0.0031939856368843333,0.06141906332000638,0.05943745068614143
12,0.38040309899290164,0.059336721187475204,0.00894394639579407,0.0089781792633227,0.07558837176776213,0.06158492494845716
13,0.5505204264658228,0.08301126241949806,0.011428554295325978,2.717570077548914e-4,0.12142175815242572,0.0940384228125681
14,0.658007351378772,0.11685756447442806,0.007771003388419376,-0.016574007339241303,0.18847765938900327,0.11077430991529984
15,0.7292974096970954,0.1183538460583727,-0.00816004792272509,-0.027719270057887546,0.22484544380247262,0.18966463635478456
16,0.09879921965769964,0.18349432808209315,-0.030226661368433484,-0.048248966598855206,0.18857905977993333,0.11926500271460833
17,0.7564502506138926,0.08112331832233717,-0.05048000894376517,-0.04855802642687029,0.11227825338936866,0.12815486793954325
18,0.6523413235518877,0.05216954267321962,-0.02674701693421281,-0.032474101985919504,0.07759060143676821,0.061925234014278366
19,0.7018838025708496,0.06284781995470752,-0.021210732087934687,-0.030459970024970306,0.08904894131456666,0.08243185597700411
20,NA,NA,NA,NA,0.05686990312420352,NA
21,NA,NA,NA,NA,0.049226834676964454,NA
22,NA,NA,NA,NA,0.05573493034040267,NA
23,NA,NA,NA,NA,0.06351583699523876,NA
24,NA,NA,NA,NA,0.06818273579979552,NA
25,NA,NA,NA,NA,0.12670015753555894,NA
26,NA,NA,NA,NA,0.09817481834624808,NA
27,NA,NA,NA,NA,0.15008293158687375,NA
28,NA,NA,NA,NA,0.13151721281541878,NA
29,NA,NA,NA,NA,0.08581399180383162,NA
30,NA,NA,NA,NA,0.07824973300943484,NA
31,NA,NA,NA,NA,0.055046909753599424,NA
32,NA,NA,NA,NA,0.0515157250930576,NA
33,NA,NA,NA,NA,0.0544501586609554,NA
