mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.2150316450617244
0,11,mean,ref,0.16431003039513678
0,11,sd,meas,0.06738796660328568
0,11,sd,ref,0.058410823652951055
0,11,kurtosis,meas,5.701101960274276
0,11,kurtosis,ref,12.957551597792616
0,11,skewness,meas,1.084490642286731
0,11,skewness,ref,2.620973193897451
0,11,KL,NA,0.49344406119840395
0,11,hellinger,NA,0.3457893935803444
0,11,euclidean,NA,0.37691459429605373
1,20,mean,meas,0.2401674804753902
1,20,mean,ref,0.16539261744966444
1,20,sd,meas,0.12829705627243818
1,20,sd,ref,0.06745800698402823
1,20,kurtosis,meas,8.878022441844994
1,20,kurtosis,ref,39.43490304598688
1,20,skewness,meas,2.0552941564504916
1,20,skewness,ref,4.3600709192166445
1,20,KL,NA,0.3613859897861715
1,20,hellinger,NA,0.33456915984497737
1,20,euclidean,NA,0.276646004702959
2,19,mean,meas,0.234298860278672
2,19,mean,ref,0.19036438356164384
2,19,sd,meas,0.14603731312502813
2,19,sd,ref,0.0923341479726244
2,19,kurtosis,meas,8.07695716924234
2,19,kurtosis,ref,8.956558009901734
2,19,skewness,meas,2.1648023188358407
2,19,skewness,ref,2.301797511419147
2,19,KL,NA,0.21163146580716874
2,19,hellinger,NA,0.28097694698631465
2,19,euclidean,NA,0.21865506555473613
3,25,mean,meas,0.21294587941020465
3,25,mean,ref,0.1816
3,25,sd,meas,0.18408011042745065
3,25,sd,ref,0.06081045319008707
3,25,kurtosis,meas,11.636784868158465
3,25,kurtosis,ref,24.203295114104712
3,25,skewness,meas,2.8261922625576346
3,25,skewness,ref,3.6952362704262742
3,25,KL,NA,0.36111314245066434
3,25,hellinger,NA,0.36346073461968353
3,25,euclidean,NA,0.349020142267369
4,22,mean,meas,0.22684805074806974
4,22,mean,ref,0.22301712328767123
4,22,sd,meas,0.14376457114659258
4,22,sd,ref,0.10791206351233353
4,22,kurtosis,meas,13.040264665591383
4,22,kurtosis,ref,14.996655920919148
4,22,skewness,meas,2.845982642061589
4,22,skewness,ref,3.1848837943970736
4,22,KL,NA,0.2182128943726449
4,22,hellinger,NA,0.2568220863647041
4,22,euclidean,NA,0.28534740098220135
5,23,mean,meas,0.206761854596573
5,23,mean,ref,0.20383932346723044
5,23,sd,meas,0.14997675518519
5,23,sd,ref,0.08261570967005667
5,23,kurtosis,meas,15.662363523874042
5,23,kurtosis,ref,11.816893040823281
5,23,skewness,meas,3.1655196931388536
5,23,skewness,ref,2.7637061190521828
5,23,KL,NA,0.262516972248005
5,23,hellinger,NA,0.3124585505279032
5,23,euclidean,NA,0.29040324267602513
6,15,mean,meas,0.17601359993470408
6,15,mean,ref,0.18532326283987915
6,15,sd,meas,0.08763630768346754
6,15,sd,ref,0.05352332855516971
6,15,kurtosis,meas,16.872656719449306
6,15,kurtosis,ref,13.715363628339883
6,15,skewness,meas,3.1417828240710324
6,15,skewness,ref,2.857581901316421
6,15,KL,NA,0.2957322591692247
6,15,hellinger,NA,0.30401024400179866
6,15,euclidean,NA,0.3946767295681164
7,21,mean,meas,0.1887666690268585
7,21,mean,ref,0.18316856492027334
7,21,sd,meas,0.10229408344299307
7,21,sd,ref,0.0699859660784635
7,21,kurtosis,meas,18.937783427634983
7,21,kurtosis,ref,21.87735955545028
7,21,skewness,meas,3.1711462722044828
7,21,skewness,ref,3.59509315302323
7,21,KL,NA,0.18519369393332846
7,21,hellinger,NA,0.25055920194343145
7,21,euclidean,NA,0.21186368192295607
8,15,mean,meas,0.1875580922262019
8,15,mean,ref,0.16164775413711585
8,15,sd,meas,0.07059122525818522
8,15,sd,ref,0.042605334072034276
8,15,kurtosis,meas,19.381898028398734
8,15,kurtosis,ref,6.564104217718212
8,15,skewness,meas,3.0215786424653914
8,15,skewness,ref,1.75309733452466
8,15,KL,NA,0.20587811340050582
8,15,hellinger,NA,0.24623598643810654
8,15,euclidean,NA,0.2963555626792359
9,14,mean,meas,0.2202424854146446
9,14,mean,ref,0.19732958801498127
9,14,sd,meas,0.07563135501615037
9,14,sd,ref,0.06256470323739267
9,14,kurtosis,meas,10.564141562247874
9,14,kurtosis,ref,4.022046060476614
