mos_into_deployment,pdf_resolution,statistic,plottype,value
0,38,mean,meas,0.20090483301255616
0,38,mean,ref,0.17231276297335205
0,38,sd,meas,0.09126906529013873
0,38,sd,ref,0.06060147092182634
0,38,kurtosis,meas,165.95950993758606
0,38,kurtosis,ref,10.00485052051423
0,38,skewness,meas,9.102305547463448
0,38,skewness,ref,2.2737337937419477
0,38,KL,NA,0.2442714257649555
0,38,hellinger,NA,0.2468706334027512
0,38,euclidean,NA,0.2814054375620794
1,21,mean,meas,0.2274489000545337
1,21,mean,ref,0.19646771879483502
1,21,sd,meas,0.1305768633994201
1,21,sd,ref,0.09973775616724657
1,21,kurtosis,meas,8.227132164151834
1,21,kurtosis,ref,12.789679457679256
1,21,skewness,meas,2.0201300462123237
1,21,skewness,ref,2.6725556890502475
1,21,KL,NA,0.0793723626937055
1,21,hellinger,NA,0.14880318761102157
1,21,euclidean,NA,0.11514419815459029
2,19,mean,meas,0.23311169937514564
2,19,mean,ref,0.2131042584434655
2,19,sd,meas,0.14433563485742026
2,19,sd,ref,0.12118650913589711
2,19,kurtosis,meas,7.878100609327757
2,19,kurtosis,ref,8.049192069863032
2,19,skewness,meas,2.100740967757321
2,19,skewness,ref,2.252648394308791
2,19,KL,NA,0.12694740059684498
2,19,hellinger,NA,0.21522724894394515
2,19,euclidean,NA,0.15092503933848983
3,26,mean,meas,0.20481189198298025
3,26,mean,ref,0.22123893805309736
3,26,sd,meas,0.17616508819921742
3,26,sd,ref,0.15845940956167376
3,26,kurtosis,meas,12.830033703060897
3,26,kurtosis,ref,15.768353623467112
3,26,skewness,meas,2.9983369770962756
3,26,skewness,ref,3.3942822117133113
3,26,KL,NA,0.3251918343232885
3,26,hellinger,NA,0.32337583779817336
3,26,euclidean,NA,0.2970845632928387
4,22,mean,meas,0.23452938265972598
4,22,mean,ref,0.24421617852161787
4,22,sd,meas,0.1496571150776748
4,22,sd,ref,0.1327934480673716
4,22,kurtosis,meas,12.440501255571926
4,22,kurtosis,ref,13.11032851089303
4,22,skewness,meas,2.7851033452879133
4,22,skewness,ref,2.937544950157594
4,22,KL,NA,0.1812878289082642
4,22,hellinger,NA,0.22829031128979868
4,22,euclidean,NA,0.25148009361076445
5,24,mean,meas,0.20542014291733993
5,24,mean,ref,0.22446348314606743
5,24,sd,meas,0.14695976764398921
5,24,sd,ref,0.11393691996340763
5,24,kurtosis,meas,16.352443157085332
5,24,kurtosis,ref,18.806249370287308
5,24,skewness,meas,3.239912532992513
5,24,skewness,ref,3.3780349837433215
5,24,KL,NA,0.2564806530324747
5,24,hellinger,NA,0.3035359715162134
5,24,euclidean,NA,0.26648497541713884
6,15,mean,meas,0.17629956522229406
6,15,mean,ref,0.19726495726495727
6,15,sd,meas,0.08732392450928157
6,15,sd,ref,0.07095795025813174
6,15,kurtosis,meas,16.34291102543572
6,15,kurtosis,ref,15.928194885020293
6,15,skewness,meas,3.051777264896366
6,15,skewness,ref,3.0617960841292624
6,15,KL,NA,0.27401616855350697
6,15,hellinger,NA,0.2947270576674371
6,15,euclidean,NA,0.3621681954435008
7,21,mean,meas,0.18457685683316277
7,21,mean,ref,0.1838022440392707
7,21,sd,meas,0.10022672101160766
7,21,sd,ref,0.0656588595518826
7,21,kurtosis,meas,18.88254705267192
7,21,kurtosis,ref,23.308487853640212
7,21,skewness,meas,3.0777617060028004
7,21,skewness,ref,3.719595859257025
7,21,KL,NA,0.2141844727450504
7,21,hellinger,NA,0.2770198334904337
7,21,euclidean,NA,0.26760384843135926
8,16,mean,meas,0.17504429110162173
8,16,mean,ref,0.16304451038575668
8,16,sd,meas,0.06902777912602379
8,16,sd,ref,0.04074321910397573
8,16,kurtosis,meas,18.46742814344899
8,16,kurtosis,ref,6.643496493771548
8,16,skewness,meas,2.7235095626224997
8,16,skewness,ref,1.7655046575199562
8,16,KL,NA,0.15490761580867599
8,16,hellinger,NA,0.24370555442262723
8,16,euclidean,NA,0.20751411183787294
9,16,mean,meas,0.2079657481533497
9,16,mean,ref,0.20244363103953147
9,16,sd,meas,0.07309435713506691
9,16,sd,ref,0.07326047791499095
9,16,kurtosis,meas,10.305363638061019
9,16,kurtosis,ref,10.372906338091932
9,16,skewness,meas,1.7713910396993167
9,16,skewness,ref,2.031878460352806
9,16,KL,NA,0.07893729045346673
9,16,hellinger,NA,0.15305820560669392
9,16,euclidean,NA,0.11108074522015761
10,17,mean,meas,0.2636950961055098
10,17,mean,ref,0.27265312046444123
10,17,sd,meas,0.11730386674295898
10,17,sd,ref,0.17126582466262977
10,17,kurtosis,meas,5.924498203022001
10,17,kurtosis,ref,5.843670623404328
10,17,skewness,meas,1.7326869397447071
10,17,skewness,ref,1.9421028026589437
10,17,KL,NA,0.48544717058322384
10,17,hellinger,NA,0.22392868996620244
10,17,euclidean,NA,0.11875226388552232
11,14,mean,meas,0.2294325166451278
11,14,mean,ref,0.2335344563552833
11,14,sd,meas,0.06141906332000638
11,14,sd,ref,0.05943745068614143
11,14,kurtosis,meas,3.054883852192715
11,14,kurtosis,ref,9.22692272309163
11,14,skewness,meas,0.2508309541296839
11,14,skewness,ref,1.550357286347591
11,14,KL,NA,0.08448722717803668
11,14,hellinger,NA,0.13606083910991315
11,14,euclidean,NA,0.07026677046021144
12,12,mean,meas,0.22779046655703683
12,12,mean,ref,0.21891917591125198
12,12,sd,meas,0.07558837176776213
12,12,sd,ref,0.06158492494845716
12,12,kurtosis,meas,7.903796029023716
12,12,kurtosis,ref,6.02756124887966
12,12,skewness,meas,1.5769509944326319
12,12,skewness,ref,1.5502724677047672
12,12,KL,NA,0.08624784529357296
