mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.06738796660328568,0.06738796660328568
1,1,0,0,0,0.12829705627243818,0.12829705627243818
2,1,0,0,0,0.14603731312502813,0.14603731312502813
3,1,0,0,0,0.18408011042745065,0.18408011042745065
4,1,0,0,0,0.14376457114659258,0.14376457114659258
5,1,0,0,0,0.14997675518519,0.14997675518519
6,1,0,0,0,0.08763630768346754,0.08763630768346754
7,1,0,0,0,0.10229408344299307,0.10229408344299307
8,1,0,0,0,0.07059122525818522,0.07059122525818522
9,1,0,0,0,0.07563135501615037,0.07563135501615037
10,1,0,0,0,0.13496459674968667,0.13496459674968667
11,1,0,0,0,0.05250538610098759,0.05250538610098759
12,0.051863498169296605,0.09450147282556841,0.033281195427783475,0.030056718221241785,0.07404249437726797,0.06738796660328568
13,0.01706171487263398,0.2013648313579773,0.024604188075943233,0.03555102524423834,0.12305871173277154,0.12829705627243818
14,0.0651911237976446,0.21541933378284242,0.03671794642333983,0.019386197661009297,0.19309079087186104,0.14603731312502813
15,0.00634639470870693,0.31566425148040367,0.06548028584680744,0.03871712144091549,0.22801699889635288,0.18408011042745065
16,0.004330694776827742,0.22208429521598175,0.01067771038292516,-0.004200970601209358,0.19546953485561763,0.14376457114659258
17,0.008775488086770918,0.18106300782027399,-0.010599612417312288,0.004674133473395001,0.11311094197804626,0.14997675518519
18,0.009483977854858862,0.12631288809907662,-0.010777927035062031,-0.0016378150175606482,0.08065738308672732,0.08763630768346754
19,0.0040142064741039195,0.13470688449798238,-0.017116745123098093,-0.008055095079561814,0.08968309788791423,0.10229408344299307
20,0.010351075335939458,0.08988911985242953,-0.009110167250096012,-0.00353322721475291,0.057189250484250276,0.07059122525818522
21,0.017746160262762753,0.09421907994515587,-0.03342285946993679,-0.021692597178683243,0.040668068670403984,0.07563135501615037
22,0.04895739281624566,0.20214223495292633,-0.1167337600721254,-0.059363407485834505,0.04650424216828885,0.13496459674968667
23,0.0064711690078345105,0.08335956079109713,-0.005379361013309074,-0.009812621812704883,0.057934205744310546,0.05250538610098759
24,0.017463344727039087,0.08699747777596492,0.01250347579716846,0.014641482153109814,0.06352860171545384,0.06738796660328568
25,0.05332909441619471,0.16187738406104965,0.011115918572063354,0.01770786913496561,0.12927969037126055,0.12829705627243818
26,0.054692757412337895,0.16567390118471131,-0.04993628687067676,-0.024928647518804643,0.09963573165193199,0.14603731312502813
27,0.029980867778355066,0.24859767723715756,-0.01636057747723457,0.007484564262951396,0.1509815337862135,0.18408011042745065
28,0.0038688270689408136,0.19342748286237554,-0.04339779302818762,-0.0360625198951062,0.1319811278016841,0.14376457114659258
29,0.013649482990264366,0.17399498416119288,-0.057367010199764805,-0.0433310643672222,0.08581399180383162,0.14997675518519
30,6.683572470557869e-4,0.10830681004268168,-0.007655023009963766,-0.017247659172904495,0.07984403889939475,0.08763630768346754
31,3.3126291770485017e-6,0.12357369718206225,-0.036657538268025314,-0.021559318787475502,0.05571904026874845,0.10229408344299307
32,0.03593900482395388,0.08592085859528249,-0.018398075940978847,-0.010628304960491261,0.052919986130559274,0.07059122525818522
33,0.1108778620170089,0.08638110632158152,-0.017149206120824108,-0.01194926345026709,0.053983186261995074,0.08401650305455623
