mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.09808882934517425,NA
1,NA,NA,NA,NA,0.13496866526619597,NA
2,0.47851296803006416,0.18220056798327325,-0.13942050551484678,-0.14986723009693678,0.1395552128049706,0.16271029745566762
3,0.7954390738869198,0.21084428986824819,-0.15390474468392848,-0.1354193405272665,0.1767535226619344,0.283213847913334
4,0.6467736808952645,0.21653604265180643,-0.16316652411534904,-0.15708595928282085,0.14328022825506,0.2303918580141322
5,0.6230827676685698,0.1990679817598211,-0.15437859843982593,-0.14606948347952617,0.12920279171410035,0.20031130931882002
6,0.4319391386099176,0.17414196193311793,-0.1282249768487606,-0.12596330780136544,0.08596509295290944,0.15499320166721886
7,0.3358032056534663,0.17063042188137656,-0.11612307190624789,-0.09635345304175652,0.08471238934624073,0.153346504499316
8,0.20709062639972456,0.17050388158340818,-0.12000042982114678,-0.09912881526049849,0.07042102200242827,0.13573878218279758
9,0.34890704426680724,0.16536155848272474,-0.10607715651866205,-0.09330932486383131,0.08863132923859557,0.15732935075079987
10,0.44925139572862466,0.4116429292252375,-0.3556591705031386,-0.34672784521572064,0.13877268090547554,0.2694413265763215
11,0.12787328024093886,0.32193636638782025,-0.2618426798615625,-0.2727345261503935,0.07555034586373872,0.2006355411853375
12,0.1966509159485855,0.18869851588523573,-0.12318174093113857,-0.09632331057265145,0.0846730134904878,0.15802295165206048
13,0.5292393928050081,0.1961891139070972,-0.13980241532703408,-0.1302205817654736,0.11108715258479321,0.19369086975056207
14,0.48777590704914425,0.21687010389060812,-0.15712564562014278,-0.16366469480092027,0.1687553999966411,0.20787289983601645
15,0.7158677826076516,0.2660208012564698,-0.20861847069674488,-0.2016332843580098,0.21952822267791022,0.29998569720266255
16,0.6174890692065536,0.22270110069504703,-0.1785085613477418,-0.17186410779994632,0.13183470474787612,0.2090570377249843
17,0.5904256983887046,0.21151551955116127,-0.16478059539709639,-0.14922985385273124,0.12231024017246464,0.19668571190361947
18,0.34611840265387395,0.1706905152872512,-0.11775946282504807,-0.10953813083922934,0.09041579920902545,0.1527870280998996
19,0.5406159636051229,0.16598601214292075,-0.11400417562282711,-0.10054010705954765,0.09013489204906501,0.17030849016719973
20,0.26057455215363046,0.13659718620989947,-0.07217482900132986,-0.039093864653676924,0.06433248090048221,0.13357699253613511
21,0.05244169333348942,0.1755148105934469,-0.12372202111515397,-0.11863371727760991,0.06469766363528037,0.12184278905597556
22,0.022674528588845166,0.32265941164054435,-0.12099935980007459,-0.12149181466167272,0.2847121216211103,0.12962077930349522
23,0.1816801065648635,0.21171100767553136,-0.15643673161148022,-0.16194782075744846,0.07525373365619464,0.15749199648765336
24,0.22707445744416158,0.17377359017337393,-0.10187191726930049,-0.07927321010270791,0.07256289369054243,0.1601864501610267
25,0.4825449523842792,0.19940946983647778,-0.12924386265923746,-0.11286809671711753,0.11774473821883992,0.20876636613045407
26,0.481067305852946,0.21323830910962857,-0.16064819332248204,-0.1561103942393237,0.09854763473972274,0.18967439346776369
27,0.693346099130313,0.23328941004108025,-0.19079633814833052,-0.18203650937942928,0.15554248415201563,0.23361564413709268
28,0.5803511394434956,0.2159773358491553,-0.1277902641333623,-0.10381278623608173,0.13574167025136596,0.263006767431553
29,NA,NA,NA,NA,0.09045368296097521,NA
30,NA,NA,NA,NA,0.08805878520680235,NA
31,NA,NA,NA,NA,0.05735981894620981,NA
32,NA,NA,NA,NA,0.06284975504695309,NA
33,NA,NA,NA,NA,0.06711543854364721,NA
