mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,1,0,0,0,NA,NA
1,1,0,0,0,NA,NA
2,1,0,0,0,NA,NA
3,1,0,0,0,NA,NA
4,1,0,0,0,NA,NA
5,1,0,0,0,NA,NA
6,1,0,0,0,NA,NA
7,1,0,0,0,NA,NA
8,1,0,0,0,NA,NA
9,1,0,0,0,NA,NA
10,1,0,0,0,NA,NA
11,1,0,0,0,NA,NA
12,0.019439963576226953,0.12805835158788112,0.0439039723857623,0.04377775431408508,68.49894995100765,-4.248959528304864
13,0.002251722340482747,0.18708662057120454,0.046314249241186295,0.06397443920008206,6.320707799107646,-0.9581396584013038
14,0.03113903170706931,0.20502463664501103,0.049250593046777195,0.0474501687773234,7.270691972148203,0.2983571315956551
15,0.013511229973605985,0.305038102468535,0.0683811118394683,0.036456028763586334,6.46821823814525,0.4441813881101169
16,0.08212686541535369,0.16575306515171773,-0.02067320158457736,-0.02396581027707606,6.781581012886143,-0.49250083638712006
17,0.01441517871659831,0.16977390902781614,1.4640508340713139e-4,0.007180848750387103,8.164140069477783,-0.5825583053938129
18,0.0019745137389947263,0.12851064212573124,0.01185107351709326,0.005171032347105302,11.565181833401988,-0.23133332838053156
19,0.004588604426284677,0.1193602598980231,-1.0177915118302018e-4,-0.0012636310881793955,8.864475983806598,0.4560506726236589
20,0.09426066261939517,0.07967506254716314,0.004057547109754409,0.0052224891878975,6.910664856571363,-0.23831351441611126
21,0.11196180112991705,0.09574216419703634,-0.030412546298195026,-0.021516713119434816,4.963600267430687,-0.7459138956644229
22,5.367990344330808e-5,0.3245000376137858,-0.06172735661836598,-0.03393086390748379,404.87981352994876,17.422063904090127
23,0.07547305536585126,0.09083114167422399,-0.0037754607553256957,-0.01383951056406775,3.449486023094905,0.33626024119771447
24,0.07342662310137561,0.10841238016626363,0.02717799308887987,0.0314197088646551,115.44526081772837,-6.854932965699289
25,0.18844681203594962,0.13708123349928497,0.023102907779009748,0.028871465142227548,4.603658039005453,-0.24089612205817468
26,0.07799013114787064,0.14956265652548756,-0.029866878647862555,-0.005997087376834895,8.022904346782774,-1.3850295240077692
27,0.019770245772924296,0.25197412351340415,0.020300424292169987,0.027713582012924565,7.496309047572172,-0.5179240066475493
28,0.001927680582547947,0.19477673997444606,-0.02721867439358452,-0.01618164482758265,7.834741793017426,-0.5737023924931617
29,0.01536138831657346,0.15194785763190916,-0.03375541229078142,-0.023981800190382457,8.58625029275107,-1.0776724907779844
30,5.343606711215764e-4,0.12301803950543953,0.0013674056581695604,-0.004962175751890396,11.688341472052642,-0.2896815713102477
31,0.019025609791170624,0.09613753428144563,-0.011349631389283302,-0.004570427261669341,9.108491833921041,-1.0552261778359204
32,0.1272199053682401,0.07579364631014608,-8.579422785724917e-4,0.00522570784415155,5.888472362790562,-0.3247483751592519
33,0.22070354197972397,0.08824963943807403,-0.008416063308621264,-0.005755511688945503,5.146019195732309,-0.6398705943816664
