mos_into_deployment,pdf_resolution,statistic,plottype,value
0,9,mean,meas,0.22913440466457793
0,9,mean,ref,0.22913440466457793
0,9,sd,meas,0.0763240688876188
0,9,sd,ref,0.0763240688876188
0,9,kurtosis,meas,5.108093952033137
0,9,kurtosis,ref,5.108093952033137
0,9,skewness,meas,1.3102488775775942
0,9,skewness,ref,1.3102488775775942
0,9,KL,NA,0
0,9,hellinger,NA,0
0,9,euclidean,NA,0
1,19,mean,meas,0.256614037584086
1,19,mean,ref,0.256614037584086
1,19,sd,meas,0.13621660208508954
1,19,sd,ref,0.13621660208508954
1,19,kurtosis,meas,8.47755725797127
1,19,kurtosis,ref,8.47755725797127
1,19,skewness,meas,2.107230238921601
1,19,skewness,ref,2.107230238921601
1,19,KL,NA,0
1,19,hellinger,NA,0
1,19,euclidean,NA,0
2,19,mean,meas,0.25822885548766006
2,19,mean,ref,0.25822885548766006
2,19,sd,meas,0.14065190158921603
2,19,sd,ref,0.14065190158921603
2,19,kurtosis,meas,9.2646342658293
2,19,kurtosis,ref,9.2646342658293
2,19,skewness,meas,2.295290447387769
2,19,skewness,ref,2.295290447387769
2,19,KL,NA,0
2,19,hellinger,NA,0
2,19,euclidean,NA,0
3,28,mean,meas,0.2540907078420535
3,28,mean,ref,0.2540907078420535
3,28,sd,meas,0.1829536358205046
3,28,sd,ref,0.1829536358205046
3,28,kurtosis,meas,12.87066988582179
3,28,kurtosis,ref,12.87066988582179
3,28,skewness,meas,3.0030395029007675
3,28,skewness,ref,3.0030395029007675
3,28,KL,NA,0
3,28,hellinger,NA,0
3,28,euclidean,NA,0
4,20,mean,meas,0.28140310160888554
4,20,mean,ref,0.28140310160888554
4,20,sd,meas,0.14270582620626934
4,20,sd,ref,0.14270582620626934
4,20,kurtosis,meas,10.808529545123001
4,20,kurtosis,ref,10.808529545123001
4,20,skewness,meas,2.4909198847917398
4,20,skewness,ref,2.4909198847917398
4,20,KL,NA,0
4,20,hellinger,NA,0
4,20,euclidean,NA,0
5,19,mean,meas,0.24668658547314
5,19,mean,ref,0.24668658547314
5,19,sd,meas,0.1298107077317464
5,19,sd,ref,0.1298107077317464
5,19,kurtosis,meas,12.101557877882831
5,19,kurtosis,ref,12.101557877882831
5,19,skewness,meas,2.6719268299246424
5,19,skewness,ref,2.6719268299246424
5,19,KL,NA,0
5,19,hellinger,NA,0
5,19,euclidean,NA,0
6,18,mean,meas,0.20545815293919956
6,18,mean,ref,0.20545815293919956
6,18,sd,meas,0.08634635324213717
6,18,sd,ref,0.08634635324213717
6,18,kurtosis,meas,22.731411515832324
6,18,kurtosis,ref,22.731411515832324
6,18,skewness,meas,3.53324416106536
6,18,skewness,ref,3.53324416106536
6,18,KL,NA,0
6,18,hellinger,NA,0
6,18,euclidean,NA,0
7,15,mean,meas,0.20643187477506303
7,15,mean,ref,0.20643187477506303
7,15,sd,meas,0.08499351901933865
7,15,sd,ref,0.08499351901933865
