mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.21726801869350057,NA
1,NA,NA,NA,NA,0.2164009383585809,NA
2,NA,NA,NA,NA,0.16954434900172655,NA
3,NA,NA,NA,NA,0.08729844316693286,NA
4,NA,NA,NA,NA,0.12775520457888243,NA
5,NA,NA,NA,NA,0.082338485412364,NA
6,NA,NA,NA,NA,0.08947911802957449,NA
7,NA,NA,NA,NA,0.15896415133509365,NA
8,NA,NA,NA,NA,0.07602391892053409,NA
9,NA,NA,NA,NA,0.101855348522291,NA
10,NA,NA,NA,NA,0.11314553746719873,NA
11,NA,NA,NA,NA,0.21268602393389624,NA
12,NA,NA,NA,NA,0.21056759962127444,NA
13,NA,NA,NA,NA,0.183460171405707,NA
14,NA,NA,NA,NA,0.1512989496254878,NA
15,NA,NA,NA,NA,0.10830694006275574,NA
16,NA,NA,NA,NA,0.09091651850627454,NA
17,NA,NA,NA,NA,0.06978638420651123,NA
18,NA,NA,NA,NA,0.07334732548305871,NA
19,NA,NA,NA,NA,0.06854461414393252,NA
20,NA,NA,NA,NA,0.07655954265074166,NA
21,NA,NA,NA,NA,0.08647121740709478,NA
22,NA,NA,NA,NA,0.10226160524490573,NA
23,NA,NA,NA,NA,0.22806329567323086,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,0.502430527721564,NA
27,NA,NA,NA,NA,0.10066846112305615,NA
28,NA,NA,NA,NA,0.07261877867522543,NA
29,NA,NA,NA,NA,0.08347163883310875,NA
30,NA,NA,NA,NA,0.0803405025331384,NA
